"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","AA","Heterosexual / straight","125","110","24290","23500"
"In post","2023","Declared disabled","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","AA","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","London","AA","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","London","AO","Heterosexual / straight","890","810","26910","25610"
"In post","2023","Declared disabled","London","AO","LGBO","80","75","28900","26400"
"In post","2023","Declared disabled","London","AO","Undeclared","135","120","26780","25610"
"In post","2023","Declared disabled","London","AO","Unknown","105","95","26620","26400"
"In post","2023","Declared disabled","London","EO","Heterosexual / straight","1765","1640","31680","32430"
"In post","2023","Declared disabled","London","EO","LGBO","200","195","31100","31280"
"In post","2023","Declared disabled","London","EO","Undeclared","275","250","31390","31450"
"In post","2023","Declared disabled","London","EO","Unknown","175","160","31830","32520"
"In post","2023","Declared disabled","London","G6","Heterosexual / straight","545","520","71000","70470"
"In post","2023","Declared disabled","London","G6","LGBO","85","80","70090","67770"
"In post","2023","Declared disabled","London","G6","Undeclared","70","70","71810","70840"
"In post","2023","Declared disabled","London","G6","Unknown","40","35","72070","70790"
"In post","2023","Declared disabled","London","G7","Heterosexual / straight","1240","1200","58430","56540"
"In post","2023","Declared disabled","London","G7","LGBO","250","250","57510","55940"
"In post","2023","Declared disabled","London","G7","Undeclared","155","150","58870","58180"
"In post","2023","Declared disabled","London","G7","Unknown","100","95","60940","59940"
"In post","2023","Declared disabled","London","HEO","Heterosexual / straight","1370","1330","37210","36530"
"In post","2023","Declared disabled","London","HEO","LGBO","285","285","36140","35410"
"In post","2023","Declared disabled","London","HEO","Undeclared","175","175","37270","36760"
"In post","2023","Declared disabled","London","HEO","Unknown","245","240","33440","30940"
"In post","2023","Declared disabled","London","SCS level","Heterosexual / straight","255","245","94530","85200"
"In post","2023","Declared disabled","London","SCS level","LGBO","45","45","90750","80700"
"In post","2023","Declared disabled","London","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","London","SEO","Heterosexual / straight","1060","1030","44620","43750"
"In post","2023","Declared disabled","London","SEO","LGBO","195","190","43580","43210"
"In post","2023","Declared disabled","London","SEO","Undeclared","135","130","44400","43650"
"In post","2023","Declared disabled","London","SEO","Unknown","65","60","44960","43880"
"In post","2023","Declared disabled","London","Unknown","Heterosexual / straight","355","340","35810","33820"
"In post","2023","Declared disabled","London","Unknown","LGBO","40","40","38090","34820"
"In post","2023","Declared disabled","London","Unknown","Undeclared","50","50","37040","33820"
"In post","2023","Declared disabled","London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Outside London","AA","Heterosexual / straight","1420","1255","21660","21380"
"In post","2023","Declared disabled","Outside London","AA","LGBO","165","155","22520","23230"
"In post","2023","Declared disabled","Outside London","AA","Undeclared","210","175","20920","19930"
"In post","2023","Declared disabled","Outside London","AA","Unknown","135","115","22460","22520"
"In post","2023","Declared disabled","Outside London","AO","Heterosexual / straight","9860","8595","23450","22150"
"In post","2023","Declared disabled","Outside London","AO","LGBO","1105","1045","23910","22220"
"In post","2023","Declared disabled","Outside London","AO","Undeclared","1410","1215","23380","21780"
"In post","2023","Declared disabled","Outside London","AO","Unknown","995","835","23380","22400"
"In post","2023","Declared disabled","Outside London","EO","Heterosexual / straight","10915","9800","28410","28120"
"In post","2023","Declared disabled","Outside London","EO","LGBO","1240","1185","28180","28120"
"In post","2023","Declared disabled","Outside London","EO","Undeclared","1450","1285","28390","28120"
"In post","2023","Declared disabled","Outside London","EO","Unknown","945","825","29370","28120"
"In post","2023","Declared disabled","Outside London","G6","Heterosexual / straight","665","640","70560","69010"
"In post","2023","Declared disabled","Outside London","G6","LGBO","75","70","69620","68440"
"In post","2023","Declared disabled","Outside London","G6","Undeclared","70","65","72770","71150"
"In post","2023","Declared disabled","Outside London","G6","Unknown","45","45","71910","70550"
"In post","2023","Declared disabled","Outside London","G7","Heterosexual / straight","2390","2285","55250","54840"
"In post","2023","Declared disabled","Outside London","G7","LGBO","295","285","54350","52600"
"In post","2023","Declared disabled","Outside London","G7","Undeclared","270","255","55270","54300"
"In post","2023","Declared disabled","Outside London","G7","Unknown","240","225","55540","54830"
"In post","2023","Declared disabled","Outside London","HEO","Heterosexual / straight","5390","5070","34360","34170"
"In post","2023","Declared disabled","Outside London","HEO","LGBO","765","745","34160","34170"
"In post","2023","Declared disabled","Outside London","HEO","Undeclared","660","625","34400","34300"
"In post","2023","Declared disabled","Outside London","HEO","Unknown","420","395","34350","34170"
"In post","2023","Declared disabled","Outside London","SCS level","Heterosexual / straight","175","170","90640","83210"
"In post","2023","Declared disabled","Outside London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Outside London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Outside London","SEO","Heterosexual / straight","3640","3480","42340","41700"
"In post","2023","Declared disabled","Outside London","SEO","LGBO","435","425","41300","40230"
"In post","2023","Declared disabled","Outside London","SEO","Undeclared","435","420","42350","41680"
"In post","2023","Declared disabled","Outside London","SEO","Unknown","205","195","42210","41100"
"In post","2023","Declared disabled","Outside London","Unknown","Heterosexual / straight","3110","2885","31200","29050"
"In post","2023","Declared disabled","Outside London","Unknown","LGBO","405","390","29330","26840"
"In post","2023","Declared disabled","Outside London","Unknown","Undeclared","275","255","33330","32050"
"In post","2023","Declared disabled","Outside London","Unknown","Unknown","45","45","32440","29120"
"In post","2023","Declared disabled","Overseas","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","HEO","Heterosexual / straight","55","55","37130","35250"
"In post","2023","Declared disabled","Overseas","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
