"Status","Year","Disability","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Commercial","55","50","46060","41260"
"In post","2023","Declared disabled","Asian","Communications","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","95","90","30060","28120"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","130","125","43490","39920"
"In post","2023","Declared disabled","Asian","Economics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","65","65","40660","38120"
"In post","2023","Declared disabled","Asian","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","100","95","40170","39150"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","90","85","51080","51240"
"In post","2023","Declared disabled","Asian","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Operational Delivery","2135","1910","28900","28120"
"In post","2023","Declared disabled","Asian","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Other","110","95","29510","28120"
"In post","2023","Declared disabled","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Policy","240","235","44290","40750"
"In post","2023","Declared disabled","Asian","Project Delivery","125","125","41930","39610"
"In post","2023","Declared disabled","Asian","Property","30","30","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","30","30","41430","37360"
"In post","2023","Declared disabled","Asian","Security","35","35","34370","34390"
"In post","2023","Declared disabled","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Tax","125","120","37740","35000"
"In post","2023","Declared disabled","Asian","Unknown","135","135","37080","33020"
"In post","2023","Declared disabled","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","85","70","30500","30930"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","70","65","42470","39790"
"In post","2023","Declared disabled","Black","Economics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","30","30","38070","37020"
"In post","2023","Declared disabled","Black","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","55","55","43410","41620"
"In post","2023","Declared disabled","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","55","55","49880","52790"
"In post","2023","Declared disabled","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Delivery","1425","1320","31040","29890"
"In post","2023","Declared disabled","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","45","45","32030","30840"
"In post","2023","Declared disabled","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Policy","150","150","41060","38840"
"In post","2023","Declared disabled","Black","Project Delivery","80","80","44160","41780"
"In post","2023","Declared disabled","Black","Property","20","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Statistics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Tax","50","50","37390","36990"
"In post","2023","Declared disabled","Black","Unknown","65","60","38150","34400"
"In post","2023","Declared disabled","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","40","35","30050","31270"
"In post","2023","Declared disabled","Mixed","Digital, Data and Technology","55","55","43920","40790"
"In post","2023","Declared disabled","Mixed","Economics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","55","55","42770","39170"
"In post","2023","Declared disabled","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Intelligence Analysis","10","10","[c]","[c]"
