"Status","Year","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","Heterosexual / straight","35","35","40040","38940"
"In post","2023","Attorney General's Departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Heterosexual / straight","70","70","43030","40540"
"In post","2023","Attorney General's Departments","Communications","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Heterosexual / straight","175","170","46950","41400"
"In post","2023","Attorney General's Departments","Counter Fraud","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Unknown","35","35","49970","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Heterosexual / straight","170","165","45050","40900"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Heterosexual / straight","190","175","32990","28170"
"In post","2023","Attorney General's Departments","Finance","LGBO","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Unknown","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Heterosexual / straight","205","200","40010","33620"
"In post","2023","Attorney General's Departments","Human Resources","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Unknown","35","35","42550","38860"
"In post","2023","Attorney General's Departments","Intelligence Analysis","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Heterosexual / straight","70","70","42620","38940"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","Heterosexual / straight","3930","3680","56750","54800"
"In post","2023","Attorney General's Departments","Legal","LGBO","255","245","57460","55170"
"In post","2023","Attorney General's Departments","Legal","Undeclared","270","260","57720","55290"
"In post","2023","Attorney General's Departments","Legal","Unknown","1150","1035","61080","60800"
