"Status","Year","Disability","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Female","500","475","43450","39590"
"In post","2023","Declared disabled","Commercial","Male","370","360","48870","42650"
"In post","2023","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Female","210","200","42840","39730"
"In post","2023","Declared disabled","Communications","Male","120","120","39430","37710"
"In post","2023","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Female","885","780","29980","28120"
"In post","2023","Declared disabled","Counter Fraud","Male","530","495","30880","28120"
"In post","2023","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data and Technology","Female","935","890","41890","38640"
"In post","2023","Declared disabled","Digital, Data and Technology","Male","1320","1290","43070","39190"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","Female","65","60","44780","39450"
"In post","2023","Declared disabled","Economics","Male","70","70","52360","55250"
"In post","2023","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Female","565","525","39640","35200"
"In post","2023","Declared disabled","Finance","Male","400","385","42390","37760"
"In post","2023","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Geography","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Female","1175","1105","40870","37520"
"In post","2023","Declared disabled","Human Resources","Male","570","555","39320","35150"
"In post","2023","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Female","60","60","61520","52750"
"In post","2023","Declared disabled","Inspector of Education and Training","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","Female","145","135","32660","30120"
"In post","2023","Declared disabled","Intelligence Analysis","Male","140","135","37370","34300"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Female","55","50","44400","40940"
"In post","2023","Declared disabled","Internal Audit","Male","35","35","46480","43160"
"In post","2023","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","International Trade","Female","85","80","45310","41750"
"In post","2023","Declared disabled","International Trade","Male","65","60","48300","41550"
"In post","2023","Declared disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Knowledge and Information Management","Female","200","190","33130","31200"
"In post","2023","Declared disabled","Knowledge and Information Management","Male","135","130","37330","33830"
"In post","2023","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Female","695","630","51100","52360"
"In post","2023","Declared disabled","Legal","Male","390","370","52930","54100"
"In post","2023","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Medicine","Female","90","80","53140","41150"
"In post","2023","Declared disabled","Medicine","Male","40","35","72150","68800"
"In post","2023","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Delivery","Female","23250","20370","28730","28120"
"In post","2023","Declared disabled","Operational Delivery","Male","12895","12095","29840","28120"
"In post","2023","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Operational Research","Female","60","55","41240","39890"
"In post","2023","Declared disabled","Operational Research","Male","85","80","43810","42900"
"In post","2023","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other","Female","1130","1005","30770","28120"
"In post","2023","Declared disabled","Other","Male","785","740","31100","28120"
"In post","2023","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Planning","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Policy","Female","1855","1780","46840","42280"
"In post","2023","Declared disabled","Policy","Male","1325","1305","48120","43760"
"In post","2023","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Female","1120","1065","42520","39150"
"In post","2023","Declared disabled","Project Delivery","Male","780","755","44850","41800"
"In post","2023","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Female","300","280","38480","34300"
"In post","2023","Declared disabled","Property","Male","325","310","38910","35020"
"In post","2023","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Female","130","125","35690","31670"
"In post","2023","Declared disabled","Psychology","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Science and Engineering","Female","455","435","37830","36300"
"In post","2023","Declared disabled","Science and Engineering","Male","940","915","40930","39890"
"In post","2023","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Female","245","235","34950","34170"
"In post","2023","Declared disabled","Security","Male","555","540","35520","33020"
"In post","2023","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Social Research","Female","120","110","43490","41060"
"In post","2023","Declared disabled","Social Research","Male","40","40","40210","39490"
"In post","2023","Declared disabled","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Statistics","Female","150","140","42800","39300"
"In post","2023","Declared disabled","Statistics","Male","150","140","44110","39300"
"In post","2023","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Tax","Female","820","745","38200","35000"
"In post","2023","Declared disabled","Tax","Male","710","670","39520","35000"
"In post","2023","Declared disabled","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Female","1570","1475","39280","34700"
"In post","2023","Declared disabled","Unknown","Male","1025","1010","40930","34730"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinarian","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Veterinarian","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Female","2630","2510","45990","41000"
"In post","2023","Declared non-disabled","Commercial","Male","2165","2130","51970","43790"
"In post","2023","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Female","1535","1440","43990","41200"
"In post","2023","Declared non-disabled","Communications","Male","995","985","44870","41560"
"In post","2023","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Corporate Finance","Female","30","30","46360","43950"
"In post","2023","Declared non-disabled","Corporate Finance","Male","30","30","54090","50340"
"In post","2023","Declared non-disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Female","3825","3425","30440","28120"
