"Status","Year","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","AA/AO","Female","76390","65980","23500","22500"
"In post","2023","AA/AO","Male","60210","57580","25240","22520"
"In post","2023","EO","Female","72420","65275","28770","28120"
"In post","2023","EO","Male","54915","52865","29440","28120"
"In post","2023","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","G6/G7","Female","37210","35370","60200","57970"
"In post","2023","G6/G7","Male","38005","37230","61080","59140"
"In post","2023","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","SCS level","Female","3535","3370","90000","82390"
"In post","2023","SCS level","Male","3845","3770","94540","85410"
"In post","2023","SEO/HEO","Female","76910","73030","38100","37540"
"In post","2023","SEO/HEO","Male","70610","69045","39000","38470"
"In post","2023","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","Female","17240","15975","30720","29050"
"In post","2023","Unknown","Male","8475","8165","35700","32500"
"Leaver CS","2023","AA/AO","Female","9495","[c]","22200","21690"
"Leaver CS","2023","AA/AO","Male","7775","[c]","23070","21780"
"Leaver CS","2023","EO","Female","5765","[c]","28330","28120"
"Leaver CS","2023","EO","Male","4675","[c]","28740","28090"
"Leaver CS","2023","G6/G7","Female","2415","[c]","60030","57230"
"Leaver CS","2023","G6/G7","Male","2770","[c]","61240","59220"
"Leaver CS","2023","SCS level","Female","325","[c]","94830","87340"
"Leaver CS","2023","SCS level","Male","395","[c]","103080","94060"
"Leaver CS","2023","SEO/HEO","Female","4955","[c]","37660","37300"
"Leaver CS","2023","SEO/HEO","Male","5125","[c]","38720","38330"
"Leaver CS","2023","Unknown","Female","1535","[c]","34340","31920"
"Leaver CS","2023","Unknown","Male","845","[c]","39430","35720"
"Leaver Dept.","2023","AA/AO","Female","1570","[c]","22180","21780"
"Leaver Dept.","2023","AA/AO","Male","1130","[c]","22500","21780"
"Leaver Dept.","2023","EO","Female","2070","[c]","28120","28120"
"Leaver Dept.","2023","EO","Male","1500","[c]","28140","28120"
"Leaver Dept.","2023","G6/G7","Female","1380","[c]","58150","56200"
"Leaver Dept.","2023","G6/G7","Male","1215","[c]","58330","56340"
"Leaver Dept.","2023","SCS level","Female","190","[c]","85000","78870"
"Leaver Dept.","2023","SCS level","Male","200","[c]","93840","84040"
"Leaver Dept.","2023","SEO/HEO","Female","3390","[c]","36370","35410"
"Leaver Dept.","2023","SEO/HEO","Male","2540","[c]","36790","35650"
"Leaver Dept.","2023","Unknown","Female","115","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Male","65","[c]","[c]","[c]"
"New entrant CS","2023","AA/AO","Female","13990","[c]","23500","22500"
"New entrant CS","2023","AA/AO","Male","11960","[c]","24450","22520"
"New entrant CS","2023","EO","Female","5710","[c]","27690","27650"
"New entrant CS","2023","EO","Male","5125","[c]","27780","27140"
"New entrant CS","2023","G6/G7","Female","1705","[c]","58230","54870"
"New entrant CS","2023","G6/G7","Male","1900","[c]","59030","55780"
"New entrant CS","2023","SCS level","Female","135","[c]","101120","93320"
"New entrant CS","2023","SCS level","Male","165","[c]","103640","95000"
"New entrant CS","2023","SEO/HEO","Female","6000","[c]","36380","35020"
"New entrant CS","2023","SEO/HEO","Male","5565","[c]","36790","35410"
"New entrant CS","2023","Unknown","Female","3180","[c]","23260","23640"
"New entrant CS","2023","Unknown","Male","1315","[c]","24970","23640"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
