"Status","Year","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Female","7110","6525","44470","42800"
"In post","2023","Attorney General's Departments","Male","3620","3535","48270","51270"
"In post","2023","Cabinet Office","Female","5455","5280","46280","39580"
"In post","2023","Cabinet Office","Male","4770","4720","51260","43730"
"In post","2023","Chancellor's other departments","Female","180","170","56960","49670"
"In post","2023","Chancellor's other departments","Male","245","240","63060","55180"
"In post","2023","Charity Commission","Female","300","285","36050","30170"
"In post","2023","Charity Commission","Male","200","195","35500","30170"
"In post","2023","Competition and Markets Authority","Female","455","430","60150","57000"
"In post","2023","Competition and Markets Authority","Male","455","450","64290","60260"
"In post","2023","Department for Business, Energy and Industrial Strategy","Female","7240","6805","41420","39360"
"In post","2023","Department for Business, Energy and Industrial Strategy","Male","7175","7025","44790","41360"
"In post","2023","Department for Digital, Culture, Media and Sport","Female","1060","1030","48340","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","Male","880","875","49750","52760"
"In post","2023","Department for Education","Female","5110","4845","44650","41440"
"In post","2023","Department for Education","Male","3375","3335","46730","43250"
"In post","2023","Department for Environment, Food and Rural Affairs","Female","7395","6885","35850","31080"
"In post","2023","Department for Environment, Food and Rural Affairs","Male","5680","5570","37930","33960"
"In post","2023","Department for International Trade","Female","1725","1685","47320","42050"
"In post","2023","Department for International Trade","Male","1810","1795","49650","44300"
"In post","2023","Department for Levelling Up, Housing and Communities","Female","2150","2040","46620","43180"
"In post","2023","Department for Levelling Up, Housing and Communities","Male","2030","1975","48780","48660"
"In post","2023","Department for Transport","Female","7475","6645","32300","27190"
"In post","2023","Department for Transport","Male","8910","8610","36290","31350"
"In post","2023","Department for Work and Pensions","Female","56020","48205","29120","28120"
"In post","2023","Department for Work and Pensions","Male","31750","30405","31290","28120"
"In post","2023","Department of Health and Social Care","Female","6590","6230","46350","41860"
"In post","2023","Department of Health and Social Care","Male","3680","3590","50380","44950"
"In post","2023","Estyn","Female","70","65","54960","60180"
"In post","2023","Estyn","Male","50","50","67010","78500"
"In post","2023","Food Standards Agency","Female","730","710","40360","38100"
"In post","2023","Food Standards Agency","Male","845","820","37730","32310"
"In post","2023","Foreign, Commonwealth and Development Office","Female","4270","4135","48550","44450"
"In post","2023","Foreign, Commonwealth and Development Office","Male","4530","4480","50270","47630"
"In post","2023","HM Land Registry","Female","4080","3610","31760","28080"
"In post","2023","HM Land Registry","Male","2635","2485","33760","28080"
"In post","2023","HM Revenue and Customs","Female","37725","33945","34270","29730"
"In post","2023","HM Revenue and Customs","Male","34660","33530","36490","34700"
"In post","2023","HM Treasury","Female","1330","1275","47290","45920"
"In post","2023","HM Treasury","Male","1375","1355","50460","53550"
"In post","2023","Home Office","Female","22435","20615","32570","27650"
"In post","2023","Home Office","Male","20695","19970","33760","29750"
"In post","2023","Ministry of Defence","Female","23565","22280","35240","32820"
"In post","2023","Ministry of Defence","Male","34615","33955","38090","34580"
"In post","2023","Ministry of Justice","Female","53125","49070","31270","28880"
"In post","2023","Ministry of Justice","Male","38750","37105","33480","32000"
"In post","2023","National Crime Agency","Female","2530","2415","40600","38640"
"In post","2023","National Crime Agency","Male","3040","3000","44400","42110"
"In post","2023","Northern Ireland Office","Female","90","85","45690","37680"
"In post","2023","Northern Ireland Office","Male","80","80","49240","43650"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Female","1395","1335","51330","52750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Male","640","635","54300","52750"
"In post","2023","Office of Gas and Electricity Markets","Female","720","700","44790","42170"
"In post","2023","Office of Gas and Electricity Markets","Male","835","835","46390","43470"
"In post","2023","Office of Qualifications and Examinations Regulation","Female","220","210","42790","39140"
"In post","2023","Office of Qualifications and Examinations Regulation","Male","125","125","48050","47500"
"In post","2023","Office of Rail and Road","Female","165","155","52770","53410"
"In post","2023","Office of Rail and Road","Male","205","200","57370","57200"
"In post","2023","Office of the Secretary of State for Scotland","Female","75","70","52030","52360"
"In post","2023","Office of the Secretary of State for Scotland","Male","55","55","52040","52360"
"In post","2023","Office of the Secretary of State for Wales","Female","15","15","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Male","30","30","[c]","[c]"
"In post","2023","Scottish Government","Female","15115","14160","38880","33520"
"In post","2023","Scottish Government","Male","12515","12105","39840","37060"
"In post","2023","The National Archives","Female","320","300","36950","34940"
"In post","2023","The National Archives","Male","270","265","38010","35270"
"In post","2023","UK Export Finance","Female","235","230","51140","45130"
"In post","2023","UK Export Finance","Male","285","285","57870","54000"
"In post","2023","UK Statistics Authority","Female","3450","3045","34560","31560"
"In post","2023","UK Statistics Authority","Male","2665","2455","36610","31780"
