"Status","Year","Age","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Counter Fraud","[c]","[c]","[c]","[c]"
