"Status","Year","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Female","13490","12190","31240","28120"
"In post","2023","East Midlands (England)","Male","10145","9790","33270","29730"
"In post","2023","East of England","Female","12245","11045","31720","28480"
"In post","2023","East of England","Male","10145","9765","33900","31280"
"In post","2023","London","Female","56705","53650","44340","39450"
"In post","2023","London","Male","47025","46135","47130","41950"
"In post","2023","London","Unknown","5","5","[c]","[c]"
"In post","2023","North East (England)","Female","19845","17455","30300","28120"
"In post","2023","North East (England)","Male","14415","13805","33140","28480"
"In post","2023","North West (England)","Female","38470","34840","31200","28120"
"In post","2023","North West (England)","Male","28640","27675","33430","28480"
"In post","2023","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland","Female","2135","1965","31500","28090"
"In post","2023","Northern Ireland","Male","2415","2350","30700","27650"
"In post","2023","Overseas","Female","1485","1475","53300","53750"
"In post","2023","Overseas","Male","2030","2025","53550","53630"
"In post","2023","Scotland","Female","29085","26545","34570","29100"
"In post","2023","Scotland","Male","24410","23570","36310","32310"
"In post","2023","South East (England)","Female","22345","20275","32630","29080"
"In post","2023","South East (England)","Male","20680","19815","35160","32000"
"In post","2023","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","South West (England)","Female","22840","20785","34570","31270"
"In post","2023","South West (England)","Male","24550","23830","38660","34760"
"In post","2023","Unknown","Female","665","635","35910","32640"
"In post","2023","Unknown","Male","2050","2025","40910","38710"
"In post","2023","Wales","Female","22160","19935","32130","28120"
"In post","2023","Wales","Male","16495","15940","35200","30610"
"In post","2023","Wales","Unknown","5","5","[c]","[c]"
"In post","2023","West Midlands (England)","Female","19745","17910","31740","28120"
"In post","2023","West Midlands (England)","Male","14700","14205","34120","30140"
"In post","2023","Yorkshire and The Humber","Female","22495","20295","32890","28130"
"In post","2023","Yorkshire and The Humber","Male","18365","17725","34590","30940"
"Leaver CS","2023","East Midlands (England)","Female","1290","[c]","28470","26930"
"Leaver CS","2023","East Midlands (England)","Male","1030","[c]","30800","27570"
"Leaver CS","2023","East of England","Female","1345","[c]","31000","28120"
"Leaver CS","2023","East of England","Male","1160","[c]","33290","28120"
"Leaver CS","2023","London","Female","5730","[c]","41230","34310"
"Leaver CS","2023","London","Male","4810","[c]","45370","39840"
"Leaver CS","2023","North East (England)","Female","1375","[c]","27840","22520"
"Leaver CS","2023","North East (England)","Male","1065","[c]","31850","27570"
