"Status","Year","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","AA/AO","235","230","22950","22520"
"In post","2023","Analysis","EO","910","875","27770","27470"
"In post","2023","Analysis","G6/G7","3500","3345","59910","57970"
"In post","2023","Analysis","SCS level","215","205","89260","82150"
"In post","2023","Analysis","SEO/HEO","5465","5310","37490","37760"
"In post","2023","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA/AO","360","335","23620","22500"
"In post","2023","Commercial","EO","745","710","27740","27140"
"In post","2023","Commercial","G6/G7","2380","2330","63330","62000"
"In post","2023","Commercial","SCS level","295","290","115280","110060"
"In post","2023","Commercial","SEO/HEO","3335","3240","38180","38050"
"In post","2023","Commercial","Unknown","165","165","42960","42620"
"In post","2023","Communications","AA/AO","175","165","23270","22490"
"In post","2023","Communications","EO","520","495","28770","28300"
"In post","2023","Communications","G6/G7","1075","1040","59910","57970"
"In post","2023","Communications","SCS level","135","130","91540","84560"
"In post","2023","Communications","SEO/HEO","2230","2155","39150","39430"
"In post","2023","Communications","Unknown","25","25","36910","34080"
"In post","2023","Counter Fraud","AA/AO","2280","1985","23180","22520"
"In post","2023","Counter Fraud","EO","7435","6865","29160","28120"
"In post","2023","Counter Fraud","G6/G7","1290","1230","62100","57970"
"In post","2023","Counter Fraud","SCS level","45","45","86320","81600"
"In post","2023","Counter Fraud","SEO/HEO","6085","5815","37890","35240"
"In post","2023","Debt","AA/AO","5935","5295","22600","22520"
"In post","2023","Debt","EO","1370","1255","28830","28130"
"In post","2023","Debt","G6/G7","45","45","61740","57970"
"In post","2023","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SEO/HEO","400","375","37040","35000"
"In post","2023","Digital, Data & Technology","AA/AO","890","855","22780","22220"
"In post","2023","Digital, Data & Technology","EO","3990","3815","28510","28120"
"In post","2023","Digital, Data & Technology","G6/G7","7695","7540","59210","57930"
"In post","2023","Digital, Data & Technology","SCS level","395","390","96570","90430"
"In post","2023","Digital, Data & Technology","SEO/HEO","13280","12935","38640","38470"
"In post","2023","Digital, Data & Technology","Unknown","100","100","36840","33780"
"In post","2023","Finance","AA/AO","1955","1685","22870","22520"
"In post","2023","Finance","EO","2020","1920","28370","28120"
"In post","2023","Finance","G6/G7","2930","2855","60300","58440"
"In post","2023","Finance","SCS level","335","330","91070","82570"
"In post","2023","Finance","SEO/HEO","5560","5355","38730","38470"
"In post","2023","Finance","Unknown","65","60","53310","48840"
"In post","2023","Grants Management","AA/AO","1425","1295","22130","22150"
"In post","2023","Grants Management","EO","650","605","26100","25920"
"In post","2023","Grants Management","G6/G7","105","100","55040","52850"
"In post","2023","Grants Management","SCS level","10","10","81130","76680"
"In post","2023","Grants Management","SEO/HEO","425","405","33730","31630"
"In post","2023","Human Resources","AA/AO","1250","1155","22640","22220"
"In post","2023","Human Resources","EO","3595","3415","28610","28120"
"In post","2023","Human Resources","G6/G7","2770","2690","59190","57970"
"In post","2023","Human Resources","SCS level","270","260","89560","82400"
"In post","2023","Human Resources","SEO/HEO","6435","6180","38240","37420"
"In post","2023","Human Resources","Unknown","105","100","38200","38290"
"In post","2023","Internal Audit","AA/AO","20","20","27970","26920"
"In post","2023","Internal Audit","EO","35","35","29160","27670"
"In post","2023","Internal Audit","G6/G7","225","215","59350","57990"
"In post","2023","Internal Audit","SCS level","25","25","96520","90680"
"In post","2023","Internal Audit","SEO/HEO","425","400","41730","42510"
"In post","2023","Legal","AA/AO","1835","1695","23280","22870"
"In post","2023","Legal","EO","2280","2140","28750","28200"
"In post","2023","Legal","G6/G7","6835","6345","60660","58820"
"In post","2023","Legal","SCS level","485","470","90040","85000"
"In post","2023","Legal","SEO/HEO","1940","1860","37830","37590"
"In post","2023","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","No function","AA/AO","107600","96755","24270","22520"
"In post","2023","No function","EO","93770","86475","29070","28120"
