"Status","Year","Disability","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","150","135","34150","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Heterosexual / straight","315","300","29910","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","LGBO","50","50","28020","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Undeclared","50","45","30220","28290"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Heterosexual / straight","580","555","43780","39350"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","LGBO","120","120","46680","43540"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Undeclared","80","80","46000","41170"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Heterosexual / straight","65","65","32260","32960"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","225","220","30050","30130"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Heterosexual / straight","85","75","31900","27260"
"In post","2023","Declared disabled","Companies House","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Heterosexual / straight","35","35","60940","61040"
"In post","2023","Declared disabled","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Heterosexual / straight","35","30","24910","25830"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Heterosexual / straight","55","55","42690","40620"
"In post","2023","Declared disabled","Crown Commercial Service","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Heterosexual / straight","120","115","39210","33120"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Heterosexual / straight","730","675","41750","35000"
"In post","2023","Declared disabled","Crown Prosecution Service","LGBO","75","75","40560","31180"
"In post","2023","Declared disabled","Crown Prosecution Service","Undeclared","45","40","41850","38940"
"In post","2023","Declared disabled","Crown Prosecution Service","Unknown","95","80","44150","39780"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Heterosexual / straight","895","855","38330","35020"
"In post","2023","Declared disabled","Defence Equipment and Support","LGBO","55","55","35240","32500"
"In post","2023","Declared disabled","Defence Equipment and Support","Undeclared","140","135","40030","39660"
"In post","2023","Declared disabled","Defence Equipment and Support","Unknown","40","40","31940","31920"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Heterosexual / straight","565","540","41860","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","LGBO","75","70","38020","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Unknown","180","175","45890","49260"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","420","415","49920","50250"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","95","90","45860","41360"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","60","55","48390","47410"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Heterosexual / straight","115","110","50150","52760"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","LGBO","50","50","43380","36250"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Heterosexual / straight","545","515","44390","38560"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","LGBO","100","95","44250","41440"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Undeclared","60","60","42400","38950"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","670","650","42540","37820"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","120","115","43300","37360"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","70","65","41380","37710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Heterosexual / straight","180","175","46880","41550"
"In post","2023","Declared disabled","Department for International Trade","LGBO","50","50","46700","41550"
"In post","2023","Declared disabled","Department for International Trade","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","295","285","45520","40800"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","85","85","44700","40800"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Heterosexual / straight","165","160","48670","45180"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","LGBO","45","45","48630","47420"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Undeclared","15","15","[c]","[c]"
