"Status","Year","Disability","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","AA","Female","Heterosexual / straight","755","635","21820","21380"
"In post","2023","Declared disabled","AA","Female","LGBO","100","95","22670","23230"
"In post","2023","Declared disabled","AA","Female","Undeclared","145","110","21030","19930"
"In post","2023","Declared disabled","AA","Female","Unknown","60","45","22570","22520"
"In post","2023","Declared disabled","AA","Male","Heterosexual / straight","785","725","21910","21380"
"In post","2023","Declared disabled","AA","Male","LGBO","70","65","22300","22520"
"In post","2023","Declared disabled","AA","Male","Undeclared","90","85","21690","21380"
"In post","2023","Declared disabled","AA","Male","Unknown","85","75","22600","22520"
"In post","2023","Declared disabled","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AO","Female","Heterosexual / straight","6660","5580","23120","22150"
"In post","2023","Declared disabled","AO","Female","LGBO","630","590","24400","22520"
"In post","2023","Declared disabled","AO","Female","Undeclared","945","780","23020","21780"
"In post","2023","Declared disabled","AO","Female","Unknown","680","550","23000","22400"
"In post","2023","Declared disabled","AO","Male","Heterosexual / straight","4110","3845","24750","22520"
"In post","2023","Declared disabled","AO","Male","LGBO","560","535","24070","22220"
"In post","2023","Declared disabled","AO","Male","Undeclared","600","555","24710","22220"
"In post","2023","Declared disabled","AO","Male","Unknown","420","380","24780","22520"
"In post","2023","Declared disabled","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Female","Heterosexual / straight","8305","7305","28670","28120"
"In post","2023","Declared disabled","EO","Female","LGBO","805","765","28510","28120"
"In post","2023","Declared disabled","EO","Female","Undeclared","1035","895","28710","28120"
"In post","2023","Declared disabled","EO","Female","Unknown","705","600","29250","28120"
"In post","2023","Declared disabled","EO","Male","Heterosexual / straight","4410","4170","29250","28120"
"In post","2023","Declared disabled","EO","Male","LGBO","640","620","28660","28120"
"In post","2023","Declared disabled","EO","Male","Undeclared","700","650","29120","28120"
"In post","2023","Declared disabled","EO","Male","Unknown","420","385","30620","28130"
"In post","2023","Declared disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6","Female","Heterosexual / straight","695","665","70160","68960"
"In post","2023","Declared disabled","G6","Female","LGBO","65","65","69970","67530"
"In post","2023","Declared disabled","G6","Female","Undeclared","75","65","70960","70250"
"In post","2023","Declared disabled","G6","Female","Unknown","35","35","72100","69940"
"In post","2023","Declared disabled","G6","Male","Heterosexual / straight","525","510","71450","70740"
"In post","2023","Declared disabled","G6","Male","LGBO","95","90","69610","68610"
"In post","2023","Declared disabled","G6","Male","Undeclared","70","70","73650","71300"
"In post","2023","Declared disabled","G6","Male","Unknown","50","50","71420","70320"
"In post","2023","Declared disabled","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G7","Female","Heterosexual / straight","2095","1995","56020","55400"
"In post","2023","Declared disabled","G7","Female","LGBO","280","270","55160","55110"
"In post","2023","Declared disabled","G7","Female","Undeclared","220","210","56250","55150"
"In post","2023","Declared disabled","G7","Female","Unknown","155","145","57540","56450"
"In post","2023","Declared disabled","G7","Male","Heterosexual / straight","1565","1525","56750","56180"
"In post","2023","Declared disabled","G7","Male","LGBO","275","270","56430","55720"
"In post","2023","Declared disabled","G7","Male","Undeclared","210","200","57030","56430"
"In post","2023","Declared disabled","G7","Male","Unknown","185","185","56780","56450"
"In post","2023","Declared disabled","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HEO","Female","Heterosexual / straight","4000","3745","34670","34300"
"In post","2023","Declared disabled","HEO","Female","LGBO","600","580","34500","34280"
"In post","2023","Declared disabled","HEO","Female","Undeclared","450","425","34790","34320"
"In post","2023","Declared disabled","HEO","Female","Unknown","390","375","33340","33720"
"In post","2023","Declared disabled","HEO","Male","Heterosexual / straight","2830","2730","35380","34700"
"In post","2023","Declared disabled","HEO","Male","LGBO","460","450","34970","34700"
"In post","2023","Declared disabled","HEO","Male","Undeclared","390","375","35360","34660"
"In post","2023","Declared disabled","HEO","Male","Unknown","290","280","34920","34610"
"In post","2023","Declared disabled","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Female","Heterosexual / straight","230","215","89570","82060"
"In post","2023","Declared disabled","SCS level","Female","LGBO","30","30","87050","80020"
"In post","2023","Declared disabled","SCS level","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Male","Heterosexual / straight","210","205","95970","85200"
"In post","2023","Declared disabled","SCS level","Male","LGBO","30","30","90520","83050"
"In post","2023","Declared disabled","SCS level","Male","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO","Female","Heterosexual / straight","2705","2565","42420","41800"
"In post","2023","Declared disabled","SEO","Female","LGBO","350","335","41930","41550"
"In post","2023","Declared disabled","SEO","Female","Undeclared","315","300","42370","41800"
"In post","2023","Declared disabled","SEO","Female","Unknown","125","120","42130","41770"
"In post","2023","Declared disabled","SEO","Male","Heterosexual / straight","2020","1965","43480","42510"
"In post","2023","Declared disabled","SEO","Male","LGBO","285","280","42170","41780"
"In post","2023","Declared disabled","SEO","Male","Undeclared","260","255","43390","42510"
"In post","2023","Declared disabled","SEO","Male","Unknown","150","140","43430","42510"
"In post","2023","Declared disabled","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Female","Heterosexual / straight","2660","2455","31180","29050"
"In post","2023","Declared disabled","Unknown","Female","LGBO","330","315","29960","28580"
"In post","2023","Declared disabled","Unknown","Female","Undeclared","210","190","33300","32050"
"In post","2023","Declared disabled","Unknown","Female","Unknown","40","35","33550","29120"
"In post","2023","Declared disabled","Unknown","Male","Heterosexual / straight","810","770","33310","29050"
"In post","2023","Declared disabled","Unknown","Male","LGBO","115","110","30650","29050"
"In post","2023","Declared disabled","Unknown","Male","Undeclared","120","115","34960","35030"
"In post","2023","Declared disabled","Unknown","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA","Female","Heterosexual / straight","3940","3415","22040","22520"
"In post","2023","Declared non-disabled","AA","Female","LGBO","310","290","22640","23230"
"In post","2023","Declared non-disabled","AA","Female","Undeclared","440","345","20860","19930"
"In post","2023","Declared non-disabled","AA","Female","Unknown","335","260","22780","22520"
"In post","2023","Declared non-disabled","AA","Male","Heterosexual / straight","4400","4215","22090","22130"
"In post","2023","Declared non-disabled","AA","Male","LGBO","170","165","22420","23230"
"In post","2023","Declared non-disabled","AA","Male","Undeclared","340","320","21600","21380"
"In post","2023","Declared non-disabled","AA","Male","Unknown","320","290","22760","22820"
"In post","2023","Declared non-disabled","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AO","Female","Heterosexual / straight","31955","27650","23670","22500"
"In post","2023","Declared non-disabled","AO","Female","LGBO","1780","1700","25950","23430"
"In post","2023","Declared non-disabled","AO","Female","Undeclared","3120","2625","23400","22400"
"In post","2023","Declared non-disabled","AO","Female","Unknown","4555","3510","22930","21690"
"In post","2023","Declared non-disabled","AO","Male","Heterosexual / straight","23730","22915","26190","22920"
"In post","2023","Declared non-disabled","AO","Male","LGBO","1330","1290","24390","22520"
"In post","2023","Declared non-disabled","AO","Male","Undeclared","1765","1665","24970","22500"
"In post","2023","Declared non-disabled","AO","Male","Unknown","2490","2305","25120","22520"
"In post","2023","Declared non-disabled","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Female","Heterosexual / straight","36235","32620","28610","28120"
"In post","2023","Declared non-disabled","EO","Female","LGBO","1555","1495","29000","28120"
"In post","2023","Declared non-disabled","EO","Female","Undeclared","3190","2795","28690","28120"
"In post","2023","Declared non-disabled","EO","Female","Unknown","4880","4050","28940","28120"
"In post","2023","Declared non-disabled","EO","Male","Heterosexual / straight","25950","25105","29240","28120"
"In post","2023","Declared non-disabled","EO","Male","LGBO","1610","1575","28610","28120"
"In post","2023","Declared non-disabled","EO","Male","Undeclared","2550","2395","29150","28120"
"In post","2023","Declared non-disabled","EO","Male","Unknown","2775","2600","29550","28120"
"In post","2023","Declared non-disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6","Female","Heterosexual / straight","5800","5485","70400","69040"
"In post","2023","Declared non-disabled","G6","Female","LGBO","235","230","70220","68200"
"In post","2023","Declared non-disabled","G6","Female","Undeclared","400","375","71210","69580"
"In post","2023","Declared non-disabled","G6","Female","Unknown","410","385","70200","69060"
"In post","2023","Declared non-disabled","G6","Male","Heterosexual / straight","6005","5870","71140","70250"
"In post","2023","Declared non-disabled","G6","Male","LGBO","445","440","70360","69750"
"In post","2023","Declared non-disabled","G6","Male","Undeclared","460","445","71940","71050"
"In post","2023","Declared non-disabled","G6","Male","Unknown","435","420","71980","70290"
"In post","2023","Declared non-disabled","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G7","Female","Heterosexual / straight","15130","14375","56410","55720"
"In post","2023","Declared non-disabled","G7","Female","LGBO","740","725","56440","55360"
"In post","2023","Declared non-disabled","G7","Female","Undeclared","1020","970","56840","55930"
"In post","2023","Declared non-disabled","G7","Female","Unknown","1000","915","57180","56250"
"In post","2023","Declared non-disabled","G7","Male","Heterosexual / straight","14835","14565","57120","56340"
"In post","2023","Declared non-disabled","G7","Male","LGBO","1100","1090","56730","55780"
"In post","2023","Declared non-disabled","G7","Male","Undeclared","1135","1105","57350","56480"
"In post","2023","Declared non-disabled","G7","Male","Unknown","1070","1030","57720","56870"
"In post","2023","Declared non-disabled","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","HEO","Female","Heterosexual / straight","23805","22445","34750","34400"
"In post","2023","Declared non-disabled","HEO","Female","LGBO","1250","1225","34690","34400"
"In post","2023","Declared non-disabled","HEO","Female","Undeclared","1730","1620","35070","34450"
"In post","2023","Declared non-disabled","HEO","Female","Unknown","1635","1520","35370","34850"
"In post","2023","Declared non-disabled","HEO","Male","Heterosexual / straight","20065","19625","35440","34700"
"In post","2023","Declared non-disabled","HEO","Male","LGBO","1350","1335","34860","34700"
"In post","2023","Declared non-disabled","HEO","Male","Undeclared","1600","1545","35710","34850"
"In post","2023","Declared non-disabled","HEO","Male","Unknown","1425","1370","35940","34970"
"In post","2023","Declared non-disabled","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
