"Status","Year","Age","Disability","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Outside London","Female","25","25","[c]","[c]"
"In post","2023","16-19","Declared disabled","Outside London","Male","15","15","[c]","[c]"
"In post","2023","16-19","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","Female","30","30","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","Male","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Outside London","Female","300","290","23380","22520"
"In post","2023","16-19","Declared non-disabled","Outside London","Male","280","275","23590","22520"
"In post","2023","16-19","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Outside London","Female","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","Outside London","Male","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Female","35","35","27480","26760"
"In post","2023","16-19","Unknown","London","Male","35","35","27720","26770"
"In post","2023","16-19","Unknown","Outside London","Female","285","275","23010","22440"
"In post","2023","16-19","Unknown","Outside London","Male","350","340","22270","22400"
"In post","2023","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","London","Female","1170","1160","37320","34460"
"In post","2023","20-29","Declared disabled","London","Male","605","600","38350","35410"
"In post","2023","20-29","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Outside London","Female","2900","2820","28530","28120"
"In post","2023","20-29","Declared disabled","Outside London","Male","1845","1830","28710","28120"
"In post","2023","20-29","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Overseas","Female","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Overseas","Male","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Female","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","London","Female","6390","6340","38820","35640"
"In post","2023","20-29","Declared non-disabled","London","Male","4845","4835","40000","36950"
"In post","2023","20-29","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Outside London","Female","19640","19155","28670","28120"
"In post","2023","20-29","Declared non-disabled","Outside London","Male","14850","14755","29330","28120"
"In post","2023","20-29","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Overseas","Female","115","115","35700","33540"
"In post","2023","20-29","Declared non-disabled","Overseas","Male","80","80","38160","33880"
"In post","2023","20-29","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Unknown","Female","45","45","30920","28120"
"In post","2023","20-29","Declared non-disabled","Unknown","Male","40","40","31390","28120"
