"Status","Year","Age","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Operational Delivery","30","30","22570","22110"
"In post","2023","16-19","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Science and Engineering","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Economics","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","15","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Operational Delivery","435","420","23920","22520"
"In post","2023","16-19","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Policy","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Science and Engineering","25","25","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","40","40","23360","22520"
"In post","2023","16-19","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Economics","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Operational Delivery","425","400","23560","22520"
"In post","2023","16-19","Unknown","Operational Research","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Other","50","50","20220","19460"
"In post","2023","16-19","Unknown","Policy","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Project Delivery","10","10","[c]","[c]"
