"Status","Year","Disability","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AO","Female","65","60","25540","25480"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AO","Male","35","35","28150","25610"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","Female","170","150","30250","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","Male","60","60","29900","29890"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G7","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G7","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","HEO","Female","40","40","37380","37520"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","HEO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Female","70","65","31540","30810"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Female","30","30","22180","23230"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","140","125","25840","25340"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","120","115","30600","30380"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","190","170","29400","28480"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","130","125","31640","29550"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Female","30","30","57930","57110"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Female","105","100","35250","34320"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Male","70","70","36820","35250"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","Female","50","50","43440","42500"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","Male","50","45","45970","44930"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","90","85","32980","30810"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","40","40","28910","25490"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","AA","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","AA","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","AO","Female","95","80","23540","21780"
"In post","2023","Declared disabled","Cheshire","AO","Male","55","50","25010","22150"
"In post","2023","Declared disabled","Cheshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","EO","Female","105","95","28780","28120"
"In post","2023","Declared disabled","Cheshire","EO","Male","65","60","29990","28120"
"In post","2023","Declared disabled","Cheshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","G6","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","G7","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","G7","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","HEO","Female","45","40","35110","34170"
"In post","2023","Declared disabled","Cheshire","HEO","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","SEO","Female","35","35","42880","41510"
"In post","2023","Declared disabled","Cheshire","SEO","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Unknown","Female","50","45","29390","26840"
"In post","2023","Declared disabled","Cheshire","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AA","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AA","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AO","Female","60","45","22010","21690"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AO","Male","35","30","21860","21690"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","EO","Female","60","50","28000","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","EO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","HEO","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","HEO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SEO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","Male","10","5","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","AA","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","AA","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","AO","Female","90","75","22300","22150"
"In post","2023","Declared disabled","Cumbria","AO","Male","55","50","22640","22150"
"In post","2023","Declared disabled","Cumbria","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","EO","Female","65","55","27380","28090"
