"Status","Year","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","Heterosexual / straight","75","65","36430","33520"
"In post","2023","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","Unknown","45","45","29280","24890"
"In post","2023","Active Travel England","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Active Travel England","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","125","120","44180","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","LGBO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Undeclared","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Unknown","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","580","520","33570","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","45","45","31730","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","80","75","33270","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","130","125","28200","25160"
"In post","2023","Animal and Plant Health Agency","London","Heterosexual / straight","60","60","36700","32720"
"In post","2023","Animal and Plant Health Agency","London","LGBO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Undeclared","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","Unknown","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Outside London","Heterosexual / straight","2185","2080","31150","29080"
"In post","2023","Animal and Plant Health Agency","Outside London","LGBO","185","185","28330","25920"
"In post","2023","Animal and Plant Health Agency","Outside London","Undeclared","340","315","33340","30320"
"In post","2023","Animal and Plant Health Agency","Outside London","Unknown","300","280","30210","25920"
"In post","2023","Attorney General's Office","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","Unknown","30","30","58870","56290"
"In post","2023","Building Digital UK","London","Heterosexual / straight","105","105","50250","53030"
"In post","2023","Building Digital UK","London","LGBO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Building Digital UK","London","Unknown","20","20","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","Heterosexual / straight","50","50","42350","35880"
"In post","2023","Building Digital UK","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","London","Heterosexual / straight","2310","2260","53880","56430"
"In post","2023","Cabinet Office (excl. agencies)","London","LGBO","280","280","50480","56430"
"In post","2023","Cabinet Office (excl. agencies)","London","Undeclared","290","285","53730","56430"
