"Status","Year","Parent_department","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnet","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","Heterosexual / straight","95","90","41780","35550"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","Unknown","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","Heterosexual / straight","405","385","40390","38760"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","Unknown","100","90","44230","49530"
