"Status","Year","Age","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","AA","Female","Heterosexual / straight","60","55","21770","23230"
"In post","2023","16-19","AA","Female","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","AA","Female","Unknown","55","55","22210","22180"
"In post","2023","16-19","AA","Male","Heterosexual / straight","60","60","20890","22320"
"In post","2023","16-19","AA","Male","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","AA","Male","Unknown","60","55","21720","22180"
"In post","2023","16-19","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","AO","Female","Heterosexual / straight","215","210","23580","22520"
"In post","2023","16-19","AO","Female","LGBO","35","30","23540","22520"
"In post","2023","16-19","AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","AO","Female","Unknown","185","175","23550","22500"
"In post","2023","16-19","AO","Male","Heterosexual / straight","240","235","23320","22520"
"In post","2023","16-19","AO","Male","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","AO","Male","Unknown","195","190","22800","22400"
"In post","2023","16-19","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","EO","Female","Heterosexual / straight","45","45","27220","26990"
"In post","2023","16-19","EO","Female","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","EO","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","EO","Female","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","EO","Male","Heterosexual / straight","50","50","26850","26020"
"In post","2023","16-19","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","EO","Male","Unknown","30","30","26680","25750"
"In post","2023","16-19","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Unknown","35","35","19520","18120"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","AA","Female","Heterosexual / straight","805","760","22660","23230"
"In post","2023","20-29","AA","Female","LGBO","175","170","22660","23230"
"In post","2023","20-29","AA","Female","Undeclared","60","60","21500","22180"
"In post","2023","20-29","AA","Female","Unknown","620","595","22490","22920"
"In post","2023","20-29","AA","Male","Heterosexual / straight","720","705","22490","23230"
"In post","2023","20-29","AA","Male","LGBO","75","75","22370","23230"
"In post","2023","20-29","AA","Male","Undeclared","45","45","22180","23230"
"In post","2023","20-29","AA","Male","Unknown","540","535","22580","23000"
"In post","2023","20-29","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
