"Status","Year","Parent_department","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","Heterosexual / straight","395","370","38290","31330"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","Unknown","85","75","42830","49050"
"In post","2023","Attorney General's Departments","East of England","Outside London","Heterosexual / straight","430","395","41490","35550"
"In post","2023","Attorney General's Departments","East of England","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Outside London","Unknown","90","80","47910","54100"
"In post","2023","Attorney General's Departments","London","London","Heterosexual / straight","3375","3205","49970","52020"
"In post","2023","Attorney General's Departments","London","London","LGBO","270","260","51530","52020"
"In post","2023","Attorney General's Departments","London","London","Undeclared","285","275","52310","54100"
"In post","2023","Attorney General's Departments","London","London","Unknown","895","820","54800","57710"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","Heterosexual / straight","285","265","39710","35000"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","Unknown","75","65","40750","34280"
"In post","2023","Attorney General's Departments","North West (England)","Outside London","Heterosexual / straight","830","785","39530","33810"
"In post","2023","Attorney General's Departments","North West (England)","Outside London","LGBO","50","50","40290","35120"
"In post","2023","Attorney General's Departments","North West (England)","Outside London","Undeclared","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Outside London","Unknown","185","165","43110","38850"
"In post","2023","Attorney General's Departments","Overseas","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Outside London","Heterosexual / straight","580","550","42670","36780"
"In post","2023","Attorney General's Departments","South East (England)","Outside London","LGBO","45","45","33040","28200"
"In post","2023","Attorney General's Departments","South East (England)","Outside London","Undeclared","40","35","42370","40540"
"In post","2023","Attorney General's Departments","South East (England)","Outside London","Unknown","125","110","47140","54100"
"In post","2023","Attorney General's Departments","South West (England)","Outside London","Heterosexual / straight","315","295","42370","42490"
"In post","2023","Attorney General's Departments","South West (England)","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","Outside London","Unknown","65","60","50960","55470"
"In post","2023","Attorney General's Departments","Wales","Outside London","Heterosexual / straight","325","305","41040","38940"
"In post","2023","Attorney General's Departments","Wales","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","Outside London","Unknown","85","70","44100","51270"
"In post","2023","Attorney General's Departments","West Midlands (England)","Outside London","Heterosexual / straight","470","445","40760","38760"
"In post","2023","Attorney General's Departments","West Midlands (England)","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","Outside London","Unknown","130","115","44410","51880"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Outside London","Heterosexual / straight","780","735","41940","38940"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Outside London","LGBO","45","45","38110","31180"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","Outside London","Unknown","195","175","44550","49050"
"In post","2023","Cabinet Office","East Midlands (England)","Outside London","Heterosexual / straight","60","55","54330","54250"
"In post","2023","Cabinet Office","East Midlands (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Midlands (England)","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office","East of England","Outside London","Heterosexual / straight","175","165","48460","40620"
"In post","2023","Cabinet Office","East of England","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","East of England","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Cabinet Office","East of England","Outside London","Unknown","45","45","46060","40620"
"In post","2023","Cabinet Office","London","London","Heterosexual / straight","3150","3090","55740","56430"
"In post","2023","Cabinet Office","London","London","LGBO","365","360","50280","55790"
"In post","2023","Cabinet Office","London","London","Undeclared","370","360","54060","56430"
"In post","2023","Cabinet Office","London","London","Unknown","1700","1685","44490","32960"
