"Status","Year","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","520","485","38870","32420"
"In post","2023","Attorney General's Departments","East of England","560","510","42280","36780"
"In post","2023","Attorney General's Departments","London","4830","4560","51090","52790"
"In post","2023","Attorney General's Departments","North East (England)","395","365","39460","32910"
"In post","2023","Attorney General's Departments","North West (England)","1090","1025","40240","35000"
"In post","2023","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","785","740","42810","36780"
"In post","2023","Attorney General's Departments","South West (England)","425","395","43510","49050"
"In post","2023","Attorney General's Departments","Wales","435","400","41340","38940"
"In post","2023","Attorney General's Departments","West Midlands (England)","640","600","41170","38760"
"In post","2023","Attorney General's Departments","Yorkshire and The Humber","1050","975","42210","38940"
"In post","2023","Cabinet Office","East Midlands (England)","85","80","50130","51020"
"In post","2023","Cabinet Office","East of England","250","235","47710","40620"
"In post","2023","Cabinet Office","London","5585","5500","51850","51290"
"In post","2023","Cabinet Office","North East (England)","415","390","32600","28840"
"In post","2023","Cabinet Office","North West (England)","1055","1040","46220","40620"
"In post","2023","Cabinet Office","Northern Ireland","15","15","34390","33020"
"In post","2023","Cabinet Office","Scotland","495","490","41090","33020"
"In post","2023","Cabinet Office","South East (England)","225","220","49220","36320"
"In post","2023","Cabinet Office","South West (England)","345","340","56040","51290"
"In post","2023","Cabinet Office","Unknown","175","170","42980","35740"
"In post","2023","Cabinet Office","Wales","230","225","40970","37410"
"In post","2023","Cabinet Office","West Midlands (England)","320","315","54850","51020"
"In post","2023","Cabinet Office","Yorkshire and The Humber","1025","985","41820","34790"
"In post","2023","Chancellor's other departments","London","350","335","62560","55180"
"In post","2023","Chancellor's other departments","North East (England)","20","20","50310","45690"
"In post","2023","Chancellor's other departments","North West (England)","25","25","44380","45000"
"In post","2023","Chancellor's other departments","Scotland","30","25","56590","47210"
"In post","2023","Charity Commission","London","80","80","45710","41370"
"In post","2023","Charity Commission","North West (England)","380","360","33830","30170"
"In post","2023","Charity Commission","South West (England)","35","30","34850","32360"
"In post","2023","Charity Commission","Wales","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","London","795","770","62880","58330"
"In post","2023","Competition and Markets Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","North West (England)","15","15","48150","42920"
"In post","2023","Competition and Markets Authority","Northern Ireland","15","15","59620","59300"
"In post","2023","Competition and Markets Authority","Scotland","70","65","59150","55950"
"In post","2023","Competition and Markets Authority","Wales","10","10","56500","57910"
"In post","2023","Department for Business, Energy and Industrial Strategy","East Midlands (England)","235","225","33690","32110"
"In post","2023","Department for Business, Energy and Industrial Strategy","East of England","145","135","34520","32730"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","5735","5600","51130","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy","North East (England)","300","280","35940","32110"
"In post","2023","Department for Business, Energy and Industrial Strategy","North West (England)","835","805","39060","37120"
"In post","2023","Department for Business, Energy and Industrial Strategy","Northern Ireland","45","45","31620","31230"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","30","30","34770","37420"
"In post","2023","Department for Business, Energy and Industrial Strategy","Scotland","485","460","38080","32830"
"In post","2023","Department for Business, Energy and Industrial Strategy","South East (England)","240","225","36450","35210"
"In post","2023","Department for Business, Energy and Industrial Strategy","South West (England)","2220","2120","39830","39650"
"In post","2023","Department for Business, Energy and Industrial Strategy","Wales","3095","2905","37190","31750"
"In post","2023","Department for Business, Energy and Industrial Strategy","West Midlands (England)","850","815","36900","34400"
"In post","2023","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","205","190","35450","32780"
"In post","2023","Department for Digital, Culture, Media and Sport","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","1640","1610","50180","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","North East (England)","35","30","38910","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","North West (England)","160","155","42340","36220"
"In post","2023","Department for Digital, Culture, Media and Sport","Northern Ireland","20","20","33310","31880"
"In post","2023","Department for Digital, Culture, Media and Sport","Scotland","20","20","40160","36020"
"In post","2023","Department for Digital, Culture, Media and Sport","South West (England)","15","15","50400","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Wales","20","20","53290","51370"
"In post","2023","Department for Digital, Culture, Media and Sport","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","10","10","44260","39430"
"In post","2023","Department for Education","East Midlands (England)","385","370","43050","38210"
"In post","2023","Department for Education","East of England","100","95","51640","52150"
"In post","2023","Department for Education","London","2405","2310","52210","55020"
"In post","2023","Department for Education","North East (England)","940","900","40340","37590"
"In post","2023","Department for Education","North West (England)","1240","1210","42190","37590"
"In post","2023","Department for Education","Scotland","5","5","[c]","[c]"
"In post","2023","Department for Education","South East (England)","55","55","60490","62540"
"In post","2023","Department for Education","South West (England)","375","365","46660","43860"
"In post","2023","Department for Education","Wales","5","5","[c]","[c]"
"In post","2023","Department for Education","West Midlands (England)","1300","1265","42560","37880"
"In post","2023","Department for Education","Yorkshire and The Humber","1680","1600","42760","38070"
"In post","2023","Department for Environment, Food and Rural Affairs","East Midlands (England)","320","310","34170","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","East of England","895","850","36060","32490"
"In post","2023","Department for Environment, Food and Rural Affairs","London","2645","2575","46160","40270"
"In post","2023","Department for Environment, Food and Rural Affairs","North East (England)","900","850","32340","26850"
"In post","2023","Department for Environment, Food and Rural Affairs","North West (England)","1900","1760","30490","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Scotland","205","200","34490","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","South East (England)","1560","1495","36820","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","South West (England)","2100","1995","36600","33510"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Wales","405","380","30920","25990"
"In post","2023","Department for Environment, Food and Rural Affairs","West Midlands (England)","770","725","33190","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","1355","1305","35580","30640"
"In post","2023","Department for International Trade","East Midlands (England)","40","35","47380","46070"
"In post","2023","Department for International Trade","East of England","40","40","43610","45190"
"In post","2023","Department for International Trade","London","2690","2660","49260","43290"
"In post","2023","Department for International Trade","North East (England)","195","190","40080","38050"
"In post","2023","Department for International Trade","North West (England)","75","70","43810","40170"
"In post","2023","Department for International Trade","Northern Ireland","15","15","54540","52000"
"In post","2023","Department for International Trade","Overseas","175","175","57480","55370"
"In post","2023","Department for International Trade","Scotland","45","45","46270","50490"
"In post","2023","Department for International Trade","South East (England)","30","30","43340","42920"
"In post","2023","Department for International Trade","South West (England)","50","45","40920","42370"
"In post","2023","Department for International Trade","Wales","50","50","49040","52000"
"In post","2023","Department for International Trade","West Midlands (England)","75","70","41720","38740"
"In post","2023","Department for International Trade","Yorkshire and The Humber","60","55","43080","43540"
"In post","2023","Department for Levelling Up, Housing and Communities","East Midlands (England)","105","100","51400","49700"
"In post","2023","Department for Levelling Up, Housing and Communities","East of England","135","125","47580","43290"
"In post","2023","Department for Levelling Up, Housing and Communities","London","2180","2130","51100","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","North East (England)","140","135","47320","48660"
"In post","2023","Department for Levelling Up, Housing and Communities","North West (England)","250","240","44670","43740"
"In post","2023","Department for Levelling Up, Housing and Communities","Northern Ireland","15","15","46760","41730"
"In post","2023","Department for Levelling Up, Housing and Communities","Scotland","40","40","48160","49700"
"In post","2023","Department for Levelling Up, Housing and Communities","South East (England)","70","60","53540","52100"
"In post","2023","Department for Levelling Up, Housing and Communities","South West (England)","655","610","38900","33450"
"In post","2023","Department for Levelling Up, Housing and Communities","Wales","60","60","51610","55710"
"In post","2023","Department for Levelling Up, Housing and Communities","West Midlands (England)","355","340","41240","37540"
"In post","2023","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","170","160","49630","48660"
"In post","2023","Department for Transport","East Midlands (England)","630","600","34310","29240"
"In post","2023","Department for Transport","East of England","400","375","30420","27490"
"In post","2023","Department for Transport","London","3390","3295","50110","45180"
"In post","2023","Department for Transport","North East (England)","410","385","27870","26960"
"In post","2023","Department for Transport","North West (England)","520","490","30240","27450"
"In post","2023","Department for Transport","Northern Ireland","40","40","33260","31350"
"In post","2023","Department for Transport","Overseas","15","15","64610","61940"
"In post","2023","Department for Transport","Scotland","465","440","31290","27490"
"In post","2023","Department for Transport","South East (England)","1435","1370","36590","31660"
"In post","2023","Department for Transport","South West (England)","755","705","32970","28590"
"In post","2023","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Wales","6790","6075","27920","22500"
"In post","2023","Department for Transport","West Midlands (England)","750","720","31580","27450"
"In post","2023","Department for Transport","Yorkshire and The Humber","785","745","33620","28590"
"In post","2023","Department for Work and Pensions","East Midlands (England)","4495","3975","28390","28120"
"In post","2023","Department for Work and Pensions","East of England","4175","3695","29940","28120"
"In post","2023","Department for Work and Pensions","London","9190","8510","36380","32520"
"In post","2023","Department for Work and Pensions","North East (England)","9855","8810","29750","28120"
"In post","2023","Department for Work and Pensions","North West (England)","18540","16770","29520","28120"
"In post","2023","Department for Work and Pensions","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions","Scotland","8095","7150","27500","28120"
"In post","2023","Department for Work and Pensions","South East (England)","5760","5145","29210","28120"
"In post","2023","Department for Work and Pensions","South West (England)","4995","4325","27840","28120"
"In post","2023","Department for Work and Pensions","Unknown","340","325","34000","28120"
"In post","2023","Department for Work and Pensions","Wales","5570","5020","27590","28120"
"In post","2023","Department for Work and Pensions","West Midlands (England)","7210","6355","27600","28120"
"In post","2023","Department for Work and Pensions","Yorkshire and The Humber","9540","8525","31800","28120"
"In post","2023","Department of Health and Social Care","East Midlands (England)","175","165","50220","49590"
"In post","2023","Department of Health and Social Care","East of England","585","560","47160","41900"
"In post","2023","Department of Health and Social Care","London","5455","5250","50080","42990"
"In post","2023","Department of Health and Social Care","North East (England)","130","120","50840","46400"
"In post","2023","Department of Health and Social Care","North West (England)","520","495","41680","37420"
"In post","2023","Department of Health and Social Care","Northern Ireland","15","15","41010","37490"
"In post","2023","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Scotland","65","60","42830","37420"
"In post","2023","Department of Health and Social Care","South East (England)","540","495","49750","43750"
"In post","2023","Department of Health and Social Care","South West (England)","1085","1030","41810","37060"
"In post","2023","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Wales","45","45","44530","42810"
"In post","2023","Department of Health and Social Care","West Midlands (England)","385","355","45160","38030"
"In post","2023","Department of Health and Social Care","Yorkshire and The Humber","1270","1225","45580","41660"
"In post","2023","Estyn","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Wales","120","115","59550","73210"
"In post","2023","Estyn","West Midlands (England)","[c]","[c]","[c]","[c]"
