"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","90","90","48960","43650"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","15","15","40800","36800"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","20","20","45280","41710"
"In post","2023","Analysis","Digital, Data and Technology","Wales","15","15","45740","39830"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","20","20","43930","39190"
"In post","2023","Analysis","Economics","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","1355","1325","51050","54090"
"In post","2023","Analysis","Economics","North East (England)","50","50","36380","31310"
"In post","2023","Analysis","Economics","North West (England)","105","105","39400","34850"
"In post","2023","Analysis","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","35","30","46520","39660"
"In post","2023","Analysis","Economics","South East (England)","30","30","38680","31560"
"In post","2023","Analysis","Economics","South West (England)","15","15","43660","43250"
"In post","2023","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","115","115","37790","31560"
"In post","2023","Analysis","Economics","West Midlands (England)","40","40","49340","38380"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","55","50","46760","43580"
"In post","2023","Analysis","Finance","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","10","10","47970","39950"
"In post","2023","Analysis","Finance","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","10","10","58460","55750"
"In post","2023","Analysis","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","45","45","51950","47900"
"In post","2023","Analysis","Intelligence Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South West (England)","20","20","37370","35140"
"In post","2023","Analysis","Intelligence Analysis","Wales","35","35","34910","31750"
"In post","2023","Analysis","Intelligence Analysis","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","30","25","49190","48800"
"In post","2023","Analysis","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","South West (England)","10","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","East of England","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","140","135","37200","34370"
"In post","2023","Analysis","Operational Delivery","North East (England)","30","30","36210","34170"
"In post","2023","Analysis","Operational Delivery","North West (England)","65","60","36670","33160"
"In post","2023","Analysis","Operational Delivery","Scotland","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","South East (England)","115","105","33500","31060"
"In post","2023","Analysis","Operational Delivery","South West (England)","10","10","29780","27170"
"In post","2023","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Wales","350","335","33910","31660"
"In post","2023","Analysis","Operational Delivery","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Yorkshire and The Humber","30","25","35210","32160"
"In post","2023","Analysis","Operational Research","East Midlands (England)","15","10","37430","33990"
"In post","2023","Analysis","Operational Research","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","London","320","305","51090","47230"
"In post","2023","Analysis","Operational Research","North East (England)","15","15","38390","37920"
"In post","2023","Analysis","Operational Research","North West (England)","85","80","46650","42510"
"In post","2023","Analysis","Operational Research","Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Research","South East (England)","180","175","42420","39890"
"In post","2023","Analysis","Operational Research","South West (England)","50","50","40160","39890"
"In post","2023","Analysis","Operational Research","Wales","20","20","36590","34000"
"In post","2023","Analysis","Operational Research","West Midlands (England)","20","20","35810","35340"
"In post","2023","Analysis","Operational Research","Yorkshire and The Humber","85","80","43700","43250"
"In post","2023","Analysis","Other","East Midlands (England)","15","15","38100","34170"
"In post","2023","Analysis","Other","East of England","40","40","39030","37310"
