"Status","Year","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","Female","2770","2520","34090","31280"
"In post","2023","Bedfordshire and Hertfordshire","Male","2000","1945","36130","32410"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Female","4815","4435","33790","30950"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Male","4485","4365","37210","34170"
"In post","2023","Cheshire","Female","2570","2365","33100","30410"
"In post","2023","Cheshire","Male","1930","1870","35730","32920"
"In post","2023","Cornwall and Isles of Scilly","Female","965","840","28480","28120"
"In post","2023","Cornwall and Isles of Scilly","Male","765","730","29690","27470"
"In post","2023","Cumbria","Female","1435","1265","28730","25920"
"In post","2023","Cumbria","Male","1030","1005","32180","28090"
"In post","2023","Derbyshire and Nottinghamshire","Female","8150","7395","32690","28130"
"In post","2023","Derbyshire and Nottinghamshire","Male","6205","6000","34380","31260"
"In post","2023","Devon","Female","4725","4170","31780","28120"
"In post","2023","Devon","Male","4815","4625","35310","32730"
"In post","2023","Dorset and Somerset","Female","2740","2460","30930","28120"
"In post","2023","Dorset and Somerset","Male","2825","2720","33680","31240"
"In post","2023","East Anglia","Female","6750","6080","30920","28120"
"In post","2023","East Anglia","Male","6320","6070","33630","31290"
"In post","2023","East Wales","Female","11515","10565","34760","30610"
"In post","2023","East Wales","Male","9755","9465","37200","32740"
"In post","2023","East Wales","Unknown","5","5","[c]","[c]"
"In post","2023","East Yorkshire and Northern Lincolnshire","Female","2615","2320","29210","28120"
"In post","2023","East Yorkshire and Northern Lincolnshire","Male","2460","2335","31310","28880"
"In post","2023","Eastern Scotland","Female","11825","10940","37520","32510"
"In post","2023","Eastern Scotland","Male","9885","9570","38650","34700"
"In post","2023","Essex","Female","2725","2445","31280","30560"
"In post","2023","Essex","Male","1820","1750","32380","30540"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Female","14410","13315","36570","33690"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Male","16145","15755","40950","38790"
"In post","2023","Greater Manchester","Female","12005","11100","33140","28130"
"In post","2023","Greater Manchester","Male","10300","10015","35370","32000"
"In post","2023","Hampshire and Isle of Wight","Female","7925","7140","33170","29050"
"In post","2023","Hampshire and Isle of Wight","Male","7945","7560","36270","32920"
"In post","2023","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Female","2320","2105","30150","28120"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Male","1800","1735","31700","28880"
"In post","2023","Highlands and Islands","Female","1060","965","30820","28120"
"In post","2023","Highlands and Islands","Male","975","940","32110","29560"
"In post","2023","Inner London - East","Female","10115","9510","42590","37760"
"In post","2023","Inner London - East","Male","8620","8420","46400","40260"
"In post","2023","Inner London - West","Female","32045","30765","48580","43760"
"In post","2023","Inner London - West","Male","27135","26800","50910","46600"
"In post","2023","Inner London - West","Unknown","5","5","[c]","[c]"
"In post","2023","Kent","Female","4610","4220","30580","28180"
"In post","2023","Kent","Male","4470","4300","31730","30320"
"In post","2023","Lancashire","Female","8720","7740","30130","28120"
"In post","2023","Lancashire","Male","6200","5910","31980","28120"
"In post","2023","Leicestershire, Rutland and Northamptonshire","Female","3715","3305","28870","27650"
"In post","2023","Leicestershire, Rutland and Northamptonshire","Male","2480","2385","31110","28120"
"In post","2023","Lincolnshire","Female","1625","1490","29400","27740"
"In post","2023","Lincolnshire","Male","1460","1405","32240","30400"
"In post","2023","Merseyside","Female","13735","12370","30090","27320"
"In post","2023","Merseyside","Male","9180","8880","31880","28120"
"In post","2023","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","North Eastern Scotland","Female","960","870","35050","31120"
"In post","2023","North Eastern Scotland","Male","950","915","41990","36900"
"In post","2023","North Yorkshire","Female","2505","2325","34230","30320"
"In post","2023","North Yorkshire","Male","2300","2240","34840","30740"
"In post","2023","Northern Ireland","Female","2135","1965","31500","28090"
"In post","2023","Northern Ireland","Male","2415","2350","30700","27650"
"In post","2023","Northumberland, and Tyne and Wear","Female","13610","11875","30360","28120"
"In post","2023","Northumberland, and Tyne and Wear","Male","10025","9645","33670","28130"
"In post","2023","Outer London - East and North East","Female","2550","2280","32010","32520"
"In post","2023","Outer London - East and North East","Male","1700","1650","34140","32520"
"In post","2023","Outer London - South","Female","7035","6550","38620","33050"
"In post","2023","Outer London - South","Male","5310","5195","42360","38250"
"In post","2023","Outer London - West and North West","Female","4960","4545","34900","32520"
"In post","2023","Outer London - West and North West","Male","4260","4070","35630","32520"
"In post","2023","Overseas","Female","1485","1475","53300","53750"
"In post","2023","Overseas","Male","2030","2025","53550","53630"
