"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","AA/AO","935","810","23610","22520"
"In post","2023","Declared disabled","Asian","EO","1200","1090","29550","28130"
"In post","2023","Declared disabled","Asian","G6/G7","340","330","60300","58270"
"In post","2023","Declared disabled","Asian","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","SEO/HEO","960","925","38400","37840"
"In post","2023","Declared disabled","Asian","Unknown","165","155","30820","29050"
"In post","2023","Declared disabled","Black","AA/AO","495","445","25220","25480"
"In post","2023","Declared disabled","Black","EO","750","695","30630","30930"
"In post","2023","Declared disabled","Black","G6/G7","180","175","59490","57360"
"In post","2023","Declared disabled","Black","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","SEO/HEO","495","485","39130","39150"
"In post","2023","Declared disabled","Black","Unknown","305","295","33510","30840"
"In post","2023","Declared disabled","Mixed","AA/AO","350","315","24080","22520"
"In post","2023","Declared disabled","Mixed","EO","430","400","29350","28120"
"In post","2023","Declared disabled","Mixed","G6/G7","205","195","60080","58560"
"In post","2023","Declared disabled","Mixed","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SEO/HEO","445","430","37560","36360"
"In post","2023","Declared disabled","Mixed","Unknown","170","160","31930","29210"
"In post","2023","Declared disabled","Other ethnicity","AA/AO","65","60","24640","23280"
"In post","2023","Declared disabled","Other ethnicity","EO","110","105","29800","29000"
"In post","2023","Declared disabled","Other ethnicity","G6/G7","70","65","60250","56430"
"In post","2023","Declared disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO/HEO","130","130","37990","37680"
"In post","2023","Declared disabled","Other ethnicity","Unknown","30","30","33740","33050"
"In post","2023","Declared disabled","Undeclared","AA/AO","590","520","23640","22150"
"In post","2023","Declared disabled","Undeclared","EO","710","640","29190","28120"
"In post","2023","Declared disabled","Undeclared","G6/G7","285","275","58840","57230"
"In post","2023","Declared disabled","Undeclared","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SEO/HEO","580","555","38180","37680"
"In post","2023","Declared disabled","Undeclared","Unknown","140","130","34280","33050"
"In post","2023","Declared disabled","Unknown","AA/AO","425","370","24080","22520"
