"Status","Year","Disability","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","3335","3045","30490","28120"
"In post","2023","Declared disabled","East of England","2915","2655","31540","29050"
"In post","2023","Declared disabled","London","10590","10080","43060","37670"
"In post","2023","Declared disabled","North East (England)","4310","3830","29790","28120"
"In post","2023","Declared disabled","North West (England)","8670","7865","30930","28120"
"In post","2023","Declared disabled","Northern Ireland","380","355","31840","28130"
"In post","2023","Declared disabled","Overseas","185","185","49120","44760"
"In post","2023","Declared disabled","Scotland","5320","4865","33060","28130"
"In post","2023","Declared disabled","South East (England)","5370","4930","32800","30120"
"In post","2023","Declared disabled","South West (England)","5920","5505","34890","31920"
"In post","2023","Declared disabled","Unknown","120","110","34170","28120"
"In post","2023","Declared disabled","Wales","4225","3830","30830","28120"
"In post","2023","Declared disabled","West Midlands (England)","4450","4050","31370","28120"
"In post","2023","Declared disabled","Yorkshire and The Humber","5000","4555","32440","28120"
"In post","2023","Declared non-disabled","East Midlands (England)","15155","14075","32790","28480"
"In post","2023","Declared non-disabled","East of England","14615","13580","32920","30410"
"In post","2023","Declared non-disabled","London","63450","60820","46440","41480"
"In post","2023","Declared non-disabled","North East (England)","22235","20335","32160","28120"
"In post","2023","Declared non-disabled","North West (England)","42115","39175","32790","28120"
"In post","2023","Declared non-disabled","Northern Ireland","2605","2475","31750","28130"
"In post","2023","Declared non-disabled","Overseas","1950","1945","51790","48980"
"In post","2023","Declared non-disabled","Scotland","29080","27195","35940","30440"
"In post","2023","Declared non-disabled","South East (England)","26715","24905","34330","31280"
"In post","2023","Declared non-disabled","South West (England)","30960","29095","37300","33990"
"In post","2023","Declared non-disabled","Unknown","590","560","35920","28880"
"In post","2023","Declared non-disabled","Wales","26435","24535","34280","28880"
"In post","2023","Declared non-disabled","West Midlands (England)","22130","20610","33180","28130"
"In post","2023","Declared non-disabled","Yorkshire and The Humber","26155","24215","34340","30330"
"In post","2023","Undeclared","East Midlands (England)","1465","1360","32700","29730"
"In post","2023","Undeclared","East of England","1510","1395","34170","32060"
"In post","2023","Undeclared","London","5890","5645","46260","41120"
"In post","2023","Undeclared","North East (England)","1795","1630","32300","28500"
"In post","2023","Undeclared","North West (England)","3480","3215","32850","29160"
"In post","2023","Undeclared","Northern Ireland","215","205","31580","28130"
"In post","2023","Undeclared","Overseas","140","140","54080","53970"
"In post","2023","Undeclared","Scotland","1535","1430","34170","28130"
"In post","2023","Undeclared","South East (England)","2975","2760","35010","32920"
"In post","2023","Undeclared","South West (England)","2695","2525","37950","34300"
"In post","2023","Undeclared","Unknown","50","50","34730","31200"
"In post","2023","Undeclared","Wales","1815","1670","32370","28130"
"In post","2023","Undeclared","West Midlands (England)","2000","1860","33480","29160"
"In post","2023","Undeclared","Yorkshire and The Humber","2345","2185","34800","32920"
"In post","2023","Unknown","East Midlands (England)","3680","3500","30550","28080"
"In post","2023","Unknown","East of England","3355","3180","32130","28210"
"In post","2023","Unknown","London","23810","23240","44340","39790"
"In post","2023","Unknown","North East (England)","5915","5465","30010","27260"
"In post","2023","Unknown","North West (England)","12845","12265","30690","27650"
"In post","2023","Unknown","Northern Ireland","1345","1280","29460","25880"
"In post","2023","Unknown","Overseas","1235","1230","56510","55830"
"In post","2023","Unknown","Scotland","17565","16620","35220","31940"
"In post","2023","Unknown","South East (England)","7965","7500","32500","28130"
"In post","2023","Unknown","South West (England)","7815","7490","35160","30900"
"In post","2023","Unknown","Unknown","1955","1935","41280","39260"
"In post","2023","Unknown","Wales","6175","5845","31940","28120"
"In post","2023","Unknown","West Midlands (England)","5865","5595","31950","28130"
"In post","2023","Unknown","Yorkshire and The Humber","7355","7065","31670","28120"
"Leaver CS","2023","Declared disabled","East Midlands (England)","275","[c]","27580","27570"
"Leaver CS","2023","Declared disabled","East of England","305","[c]","30540","28120"
"Leaver CS","2023","Declared disabled","London","905","[c]","41650","34020"
"Leaver CS","2023","Declared disabled","North East (England)","315","[c]","28390","26630"
"Leaver CS","2023","Declared disabled","North West (England)","655","[c]","28490","26010"
"Leaver CS","2023","Declared disabled","Northern Ireland","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Scotland","395","[c]","32120","27570"
"Leaver CS","2023","Declared disabled","South East (England)","555","[c]","30770","28060"
"Leaver CS","2023","Declared disabled","South West (England)","480","[c]","31360","27890"
"Leaver CS","2023","Declared disabled","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Wales","335","[c]","28720","22500"
"Leaver CS","2023","Declared disabled","West Midlands (England)","405","[c]","27900","27450"
"Leaver CS","2023","Declared disabled","Yorkshire and The Humber","375","[c]","29640","27570"
"Leaver CS","2023","Declared non-disabled","East Midlands (England)","1420","[c]","30180","27570"
"Leaver CS","2023","Declared non-disabled","East of England","1540","[c]","31850","28120"
"Leaver CS","2023","Declared non-disabled","London","5790","[c]","43810","37410"
