"Status","Year","Age","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Analysis","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Female","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Analysis","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Male","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
