"Status","Year","Ethnicity","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","East of England","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","South East (England)","45","45","32270","29200"
"In post","2023","Asian","Animal and Plant Health Agency","South West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Wales","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","20","20","[c]","[c]"
"In post","2023","Asian","Building Digital UK","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","North West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","340","335","47990","43090"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North East (England)","10","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North West (England)","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South East (England)","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","London","140","140","30690","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","West Midlands (England)","15","15","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Wales","5","5","[c]","[c]"
"In post","2023","Asian","Companies House","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","120","120","50010","43560"
"In post","2023","Asian","Competition and Markets Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scotland","60","55","42180","37940"
"In post","2023","Asian","Crown Prosecution Service","East Midlands (England)","75","75","35870","28850"
"In post","2023","Asian","Crown Prosecution Service","East of England","50","45","44530","40800"
"In post","2023","Asian","Crown Prosecution Service","London","385","360","41490","33130"
"In post","2023","Asian","Crown Prosecution Service","North East (England)","15","15","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","North West (England)","65","60","40410","38850"
"In post","2023","Asian","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South East (England)","40","35","40260","32660"
