"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","AA","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","AO","Heterosexual / straight","135","130","23000","22520"
"In post","2023","Analysis","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","AO","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","AO","Unknown","45","45","23000","22220"
"In post","2023","Analysis","EO","Heterosexual / straight","560","535","27920","27840"
"In post","2023","Analysis","EO","LGBO","70","70","26910","26400"
"In post","2023","Analysis","EO","Undeclared","50","50","27980","27840"
"In post","2023","Analysis","EO","Unknown","235","225","27640","26310"
"In post","2023","Analysis","G6","Heterosexual / straight","615","580","73470","70550"
"In post","2023","Analysis","G6","LGBO","45","40","71350","68640"
"In post","2023","Analysis","G6","Undeclared","55","50","75500","71260"
"In post","2023","Analysis","G6","Unknown","100","95","69700","69200"
"In post","2023","Analysis","G7","Heterosexual / straight","1910","1825","56030","55630"
"In post","2023","Analysis","G7","LGBO","150","145","55940","55280"
"In post","2023","Analysis","G7","Undeclared","175","165","57570","56870"
"In post","2023","Analysis","G7","Unknown","450","435","54930","54440"
"In post","2023","Analysis","HEO","Heterosexual / straight","1835","1785","34140","34110"
"In post","2023","Analysis","HEO","LGBO","260","260","33510","33130"
"In post","2023","Analysis","HEO","Undeclared","205","200","34540","34190"
"In post","2023","Analysis","HEO","Unknown","640","635","33300","32520"
"In post","2023","Analysis","SCS level","Heterosexual / straight","170","160","88710","82210"
"In post","2023","Analysis","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","SEO","Heterosexual / straight","1690","1625","41760","41160"
"In post","2023","Analysis","SEO","LGBO","185","180","41380","40640"
"In post","2023","Analysis","SEO","Undeclared","155","150","42410","42510"
"In post","2023","Analysis","SEO","Unknown","490","475","41090","39890"
"In post","2023","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","AO","Heterosexual / straight","195","185","23550","22500"
"In post","2023","Commercial","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","AO","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","AO","Unknown","95","90","24590","23460"
"In post","2023","Commercial","EO","Heterosexual / straight","520","490","27680","27140"
"In post","2023","Commercial","EO","LGBO","40","40","27620","27140"
"In post","2023","Commercial","EO","Undeclared","55","50","27780","27400"
"In post","2023","Commercial","EO","Unknown","130","125","28020","27470"
"In post","2023","Commercial","G6","Heterosexual / straight","525","515","73870","70710"
"In post","2023","Commercial","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","G6","Undeclared","60","60","71780","70470"
"In post","2023","Commercial","G6","Unknown","115","115","75190","72460"
"In post","2023","Commercial","G7","Heterosexual / straight","1130","1105","58410","56000"
"In post","2023","Commercial","G7","LGBO","75","75","58690","56200"
"In post","2023","Commercial","G7","Undeclared","130","125","57070","56000"
"In post","2023","Commercial","G7","Unknown","335","325","60570","56540"
"In post","2023","Commercial","HEO","Heterosexual / straight","1055","1020","33690","33830"
"In post","2023","Commercial","HEO","LGBO","55","55","33340","32500"
"In post","2023","Commercial","HEO","Undeclared","110","105","34040","34190"
"In post","2023","Commercial","HEO","Unknown","260","260","32890","32500"
"In post","2023","Commercial","SCS level","Heterosexual / straight","230","225","114070","107520"
"In post","2023","Commercial","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","SCS level","Unknown","45","45","120480","115590"
"In post","2023","Commercial","SEO","Heterosexual / straight","1380","1340","41870","41880"
"In post","2023","Commercial","SEO","LGBO","70","70","41110","41190"
"In post","2023","Commercial","SEO","Undeclared","165","155","42290","42620"
"In post","2023","Commercial","SEO","Unknown","240","240","41730","41410"
"In post","2023","Commercial","Unknown","Heterosexual / straight","130","125","43310","42620"
"In post","2023","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
