"Status","Year","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Female","55","55","42410","40540"
"In post","2023","Attorney General's Departments","Communications","Male","40","40","40610","38900"
"In post","2023","Attorney General's Departments","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Female","95","95","43360","38480"
"In post","2023","Attorney General's Departments","Counter Fraud","Male","135","135","50430","43430"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Female","75","75","41970","37730"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Male","125","125","47500","42150"
"In post","2023","Attorney General's Departments","Finance","Female","130","115","31510","27970"
"In post","2023","Attorney General's Departments","Finance","Male","105","105","36780","30870"
"In post","2023","Attorney General's Departments","Human Resources","Female","190","185","39540","33800"
"In post","2023","Attorney General's Departments","Human Resources","Male","70","65","42680","38860"
"In post","2023","Attorney General's Departments","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Female","50","45","43810","39000"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","Male","35","35","40540","33550"
"In post","2023","Attorney General's Departments","Legal","Female","3625","3295","57020","55170"
"In post","2023","Attorney General's Departments","Legal","Male","1985","1925","59000","56450"
"In post","2023","Attorney General's Departments","Operational Delivery","Female","2620","2405","28160","26900"
"In post","2023","Attorney General's Departments","Operational Delivery","Male","955","940","28950","27150"
"In post","2023","Attorney General's Departments","Other","Female","35","35","45070","28870"
"In post","2023","Attorney General's Departments","Other","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","Female","100","100","51670","54920"
"In post","2023","Attorney General's Departments","Policy","Male","45","40","51290","52790"
"In post","2023","Attorney General's Departments","Project Delivery","Female","55","55","41300","38940"
"In post","2023","Attorney General's Departments","Project Delivery","Male","50","50","42220","38940"
"In post","2023","Attorney General's Departments","Property","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","Female","975","950","60970","57790"
"In post","2023","Cabinet Office","Commercial","Male","1015","1010","68460","65500"
"In post","2023","Cabinet Office","Communications","Female","120","120","47700","41870"
"In post","2023","Cabinet Office","Communications","Male","65","65","51540","41870"
"In post","2023","Cabinet Office","Counter Fraud","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","Female","530","515","48320","51290"
"In post","2023","Cabinet Office","Digital, Data and Technology","Male","820","810","50100","51290"
"In post","2023","Cabinet Office","Economics","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Finance","Female","145","140","43570","35650"
"In post","2023","Cabinet Office","Finance","Male","160","160","47530","36680"
"In post","2023","Cabinet Office","Human Resources","Female","660","620","41990","38460"
"In post","2023","Cabinet Office","Human Resources","Male","275","270","42080","38460"
"In post","2023","Cabinet Office","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","Female","30","25","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","Male","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Legal","Female","35","30","78360","81600"
"In post","2023","Cabinet Office","Legal","Male","35","35","84670","81600"
"In post","2023","Cabinet Office","Operational Delivery","Female","100","95","41050","40560"
"In post","2023","Cabinet Office","Operational Delivery","Male","75","75","43850","40620"
"In post","2023","Cabinet Office","Other","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Other","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Policy","Female","215","210","50030","51290"
"In post","2023","Cabinet Office","Policy","Male","185","180","51520","51290"
"In post","2023","Cabinet Office","Project Delivery","Female","235","230","38000","31290"
"In post","2023","Cabinet Office","Project Delivery","Male","165","165","41630","32960"
"In post","2023","Cabinet Office","Property","Female","120","120","45870","41010"
"In post","2023","Cabinet Office","Property","Male","160","160","50960","51020"
