"Status","Year","Ethnicity","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","Outside London","75","75","35870","28850"
"In post","2023","Asian","Attorney General's Departments","East of England","Outside London","50","45","44530","40800"
"In post","2023","Asian","Attorney General's Departments","London","London","755","710","45290","45230"
"In post","2023","Asian","Attorney General's Departments","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Outside London","70","65","41010","44000"
"In post","2023","Asian","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","Outside London","40","35","40260","32660"
"In post","2023","Asian","Attorney General's Departments","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","West Midlands (England)","Outside London","135","130","36410","28850"
"In post","2023","Asian","Attorney General's Departments","Yorkshire and The Humber","Outside London","75","70","41930","47140"
"In post","2023","Asian","Cabinet Office","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","London","545","540","46080","41870"
"In post","2023","Asian","Cabinet Office","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","North West (England)","Outside London","55","55","37710","33020"
"In post","2023","Asian","Cabinet Office","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","West Midlands (England)","Outside London","60","60","39710","32960"
"In post","2023","Asian","Cabinet Office","Yorkshire and The Humber","Outside London","30","30","44490","35650"
"In post","2023","Asian","Chancellor's other departments","London","London","55","55","50180","46910"
"In post","2023","Asian","Chancellor's other departments","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","London","120","120","50010","43560"
"In post","2023","Asian","Competition and Markets Authority","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","Outside London","[c]","[c]","[c]","[c]"
