"Status","Year","Disability","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Analysis","Heterosexual / straight","45","45","43580","38570"
"In post","2023","Declared disabled","Asian","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Heterosexual / straight","30","30","44960","37180"
"In post","2023","Declared disabled","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Heterosexual / straight","130","120","31850","31280"
"In post","2023","Declared disabled","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Debt","Heterosexual / straight","80","70","24180","22520"
"In post","2023","Declared disabled","Asian","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Debt","Undeclared","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Debt","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Heterosexual / straight","110","110","42230","38520"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Heterosexual / straight","80","80","40630","38470"
"In post","2023","Declared disabled","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Heterosexual / straight","105","100","38950","38470"
"In post","2023","Declared disabled","Asian","Human Resources","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Heterosexual / straight","115","105","43540","36050"
"In post","2023","Declared disabled","Asian","Legal","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","No function","Heterosexual / straight","2100","1910","31590","28370"
"In post","2023","Declared disabled","Asian","No function","LGBO","75","75","33080","29530"
"In post","2023","Declared disabled","Asian","No function","Undeclared","160","140","29400","28120"
"In post","2023","Declared disabled","Asian","No function","Unknown","125","105","28420","27650"
"In post","2023","Declared disabled","Asian","Project Delivery","Heterosexual / straight","110","110","44610","42100"
"In post","2023","Declared disabled","Asian","Project Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Heterosexual / straight","30","30","43870","33780"
"In post","2023","Declared disabled","Asian","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Heterosexual / straight","30","30","34860","34190"
"In post","2023","Declared disabled","Asian","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Heterosexual / straight","60","60","39510","34730"
"In post","2023","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Heterosexual / straight","95","85","32090","32520"
"In post","2023","Declared disabled","Black","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Undeclared","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Debt","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Heterosexual / straight","65","65","41100","38420"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","Heterosexual / straight","55","55","42950","39400"
"In post","2023","Declared disabled","Black","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","Heterosexual / straight","65","60","40520","34430"
"In post","2023","Declared disabled","Black","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","No function","Heterosexual / straight","1415","1325","32730","31240"
"In post","2023","Declared disabled","Black","No function","LGBO","70","70","33600","32420"
"In post","2023","Declared disabled","Black","No function","Undeclared","110","100","31620","29980"
"In post","2023","Declared disabled","Black","No function","Unknown","55","50","31120","32520"
"In post","2023","Declared disabled","Black","Project Delivery","Heterosexual / straight","70","70","43560","40790"
"In post","2023","Declared disabled","Black","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Analysis","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Analysis","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","Heterosexual / straight","35","30","31880","32260"
"In post","2023","Declared disabled","Mixed","Counter Fraud","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Debt","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","Heterosexual / straight","35","35","44870","40390"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","Heterosexual / straight","50","45","43370","39350"
"In post","2023","Declared disabled","Mixed","Human Resources","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
