"Status","Year","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","AA","10","10","20610","21050"
"In post","2023","Attorney General's Departments","AO","1640","1515","23240","22870"
"In post","2023","Attorney General's Departments","EO","1995","1880","28570","28200"
"In post","2023","Attorney General's Departments","G6","1195","1105","70510","68520"
"In post","2023","Attorney General's Departments","G7","3930","3650","56320","55170"
"In post","2023","Attorney General's Departments","HEO","915","885","34620","33300"
"In post","2023","Attorney General's Departments","SCS level","330","315","89360","84730"
"In post","2023","Attorney General's Departments","SEO","710","695","40510","40080"
"In post","2023","Cabinet Office","AO","440","410","22560","21720"
"In post","2023","Cabinet Office","EO","875","835","27000","27110"
"In post","2023","Cabinet Office","G6","1125","1110","70340","66530"
"In post","2023","Cabinet Office","G7","2730","2670","57970","56430"
"In post","2023","Cabinet Office","HEO","3030","2990","32360","32960"
"In post","2023","Cabinet Office","SCS level","725","710","103430","95360"
"In post","2023","Cabinet Office","SEO","1300","1275","40720","41200"
"In post","2023","Chancellor's other departments","AO","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","EO","50","50","29520","30090"
"In post","2023","Chancellor's other departments","G6","130","115","89570","82510"
"In post","2023","Chancellor's other departments","G7","85","85","56030","56500"
"In post","2023","Chancellor's other departments","HEO","65","60","37320","37690"
"In post","2023","Chancellor's other departments","SCS level","15","15","117080","113910"
"In post","2023","Chancellor's other departments","SEO","75","75","46920","46700"
"In post","2023","Charity Commission","AO","20","20","21520","21100"
"In post","2023","Charity Commission","EO","120","115","25720","25300"
"In post","2023","Charity Commission","G6","25","25","64840","63870"
"In post","2023","Charity Commission","G7","55","55","53170","52240"
"In post","2023","Charity Commission","HEO","170","160","30490","30170"
"In post","2023","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2023","Charity Commission","SEO","105","100","39420","38800"
"In post","2023","Competition and Markets Authority","AO","25","25","23310","23200"
"In post","2023","Competition and Markets Authority","EO","60","60","28730","28760"
"In post","2023","Competition and Markets Authority","G6","225","220","77260","76720"
"In post","2023","Competition and Markets Authority","G7","245","235","58310","57540"
"In post","2023","Competition and Markets Authority","HEO","160","155","35460","34620"
"In post","2023","Competition and Markets Authority","SCS level","125","120","109770","102320"
"In post","2023","Competition and Markets Authority","SEO","65","65","44850","44000"
"In post","2023","Department for Business, Energy and Industrial Strategy","AA","110","105","19710","20200"
"In post","2023","Department for Business, Energy and Industrial Strategy","AO","1265","1155","22710","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","EO","1830","1735","27110","26180"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6","1130","1085","67540","66790"
"In post","2023","Department for Business, Energy and Industrial Strategy","G7","3305","3210","55440","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy","HEO","2975","2865","34410","34410"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","415","395","85990","78230"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO","3390","3280","42310","41360"
"In post","2023","Department for Digital, Culture, Media and Sport","AO","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","170","170","27860","27780"
"In post","2023","Department for Digital, Culture, Media and Sport","G6","230","225","65410","64440"
"In post","2023","Department for Digital, Culture, Media and Sport","G7","705","695","54680","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","HEO","705","700","36810","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","120","110","87060","78670"
"In post","2023","Department for Education","AO","95","85","22840","22020"
"In post","2023","Department for Education","EO","785","755","27490","26940"
"In post","2023","Department for Education","G6","980","945","66240","65780"
"In post","2023","Department for Education","G7","2310","2230","53610","52150"
"In post","2023","Department for Education","HEO","1630","1570","32170","31080"
"In post","2023","Department for Education","SCS level","300","285","85020","76800"
"In post","2023","Department for Education","SEO","2375","2295","39960","38070"
"In post","2023","Department for Education","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","AA","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","AO","2530","2330","22530","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","2240","2120","26820","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","G6","765","740","62700","62360"
"In post","2023","Department for Environment, Food and Rural Affairs","G7","2225","2150","51950","50340"
"In post","2023","Department for Environment, Food and Rural Affairs","HEO","2400","2320","31760","30810"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","235","230","83710","78170"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO","2630","2525","38940","37710"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","35","30","[c]","[c]"
"In post","2023","Department for International Trade","AO","25","25","27960","28660"
"In post","2023","Department for International Trade","EO","300","295","29030","29280"
"In post","2023","Department for International Trade","G6","350","345","67810","65980"
"In post","2023","Department for International Trade","G7","1010","995","56260","55390"
"In post","2023","Department for International Trade","HEO","700","695","35010","35010"
"In post","2023","Department for International Trade","SCS level","190","185","88250","78430"
"In post","2023","Department for International Trade","SEO","960","950","42070","41550"
"In post","2023","Department for Levelling Up, Housing and Communities","AA","5","5","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","AO","190","175","23400","23250"
"In post","2023","Department for Levelling Up, Housing and Communities","EO","350","335","28600","28850"
"In post","2023","Department for Levelling Up, Housing and Communities","G6","705","660","66410","64970"
"In post","2023","Department for Levelling Up, Housing and Communities","G7","1225","1185","53400","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","HEO","795","770","33740","33880"
"In post","2023","Department for Levelling Up, Housing and Communities","SCS level","185","175","87600","79290"
"In post","2023","Department for Levelling Up, Housing and Communities","SEO","725","710","40700","40800"
"In post","2023","Department for Transport","AA","1160","925","19310","19000"
"In post","2023","Department for Transport","AO","4410","3935","23580","22500"
"In post","2023","Department for Transport","EO","4135","3875","28450","27450"
"In post","2023","Department for Transport","G6","645","625","70980","68020"
"In post","2023","Department for Transport","G7","1585","1550","57330","55740"
"In post","2023","Department for Transport","HEO","2340","2275","34130","32950"
"In post","2023","Department for Transport","SCS level","275","265","89770","81850"
"In post","2023","Department for Transport","SEO","1835","1795","43260","43160"
"In post","2023","Department for Work and Pensions","AA","250","205","21310","21250"
"In post","2023","Department for Work and Pensions","AO","25610","21985","22030","21690"
"In post","2023","Department for Work and Pensions","EO","43345","38780","28800","28120"
"In post","2023","Department for Work and Pensions","G6","1145","1100","70640","68600"
"In post","2023","Department for Work and Pensions","G7","3275","3150","54550","53700"
"In post","2023","Department for Work and Pensions","HEO","9050","8525","35100","34170"
"In post","2023","Department for Work and Pensions","SCS level","320","310","90720","82350"
"In post","2023","Department for Work and Pensions","SEO","4780","4555","42080","38470"
"In post","2023","Department of Health and Social Care","AA","80","65","21750","21320"
"In post","2023","Department of Health and Social Care","AO","545","490","22850","22820"
"In post","2023","Department of Health and Social Care","EO","1215","1165","27590","27960"
"In post","2023","Department of Health and Social Care","G6","1215","1155","69940","67890"
"In post","2023","Department of Health and Social Care","G7","2470","2380","54290","54660"
"In post","2023","Department of Health and Social Care","HEO","1785","1725","33350","33710"
"In post","2023","Department of Health and Social Care","SCS level","730","680","99220","95140"
"In post","2023","Department of Health and Social Care","SEO","2230","2155","41280","41480"
"In post","2023","Estyn","AO","15","10","24680","25620"
"In post","2023","Estyn","EO","25","20","29990","30610"
"In post","2023","Estyn","G6","70","65","78150","78500"
"In post","2023","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","HEO","5","5","[c]","[c]"
"In post","2023","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","SEO","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","AO","10","10","[c]","[c]"
"In post","2023","Food Standards Agency","EO","435","410","28330","28090"
"In post","2023","Food Standards Agency","G6","70","65","64750","62430"
"In post","2023","Food Standards Agency","G7","235","230","54490","53110"
"In post","2023","Food Standards Agency","HEO","370","365","32310","31730"
"In post","2023","Food Standards Agency","SCS level","30","25","89040","84460"
"In post","2023","Food Standards Agency","SEO","435","425","39880","38670"
"In post","2023","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","AO","495","485","27000","26100"
"In post","2023","Foreign, Commonwealth and Development Office","EO","885","860","30610","30030"
"In post","2023","Foreign, Commonwealth and Development Office","G6","1145","1120","68800","68200"
"In post","2023","Foreign, Commonwealth and Development Office","G7","2340","2270","57070","56640"
"In post","2023","Foreign, Commonwealth and Development Office","HEO","2210","2180","36880","36620"
"In post","2023","Foreign, Commonwealth and Development Office","SCS level","590","585","87460","79320"
"In post","2023","Foreign, Commonwealth and Development Office","SEO","1065","1050","44570","44450"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","65","65","24490","23800"
"In post","2023","HM Land Registry","AA","25","25","21500","20380"
"In post","2023","HM Land Registry","AO","1570","1460","23500","23390"
"In post","2023","HM Land Registry","EO","2460","2195","28430","28080"
"In post","2023","HM Land Registry","G6","65","65","72160","70990"
"In post","2023","HM Land Registry","G7","260","240","59940","58140"
"In post","2023","HM Land Registry","HEO","1460","1285","35670","34850"
"In post","2023","HM Land Registry","SCS level","30","30","88760","83000"
"In post","2023","HM Land Registry","SEO","850","795","42850","41680"
"In post","2023","HM Revenue and Customs","AA","620","465","22580","22520"
"In post","2023","HM Revenue and Customs","AO","19645","17400","22760","22520"
