"Status","Year","Age","Disability","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","Outside London","35","35","22260","22040"
"In post","2023","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","London","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","Outside London","55","50","22900","22520"
"In post","2023","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Outside London","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","White","London","25","25","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","White","Outside London","500","490","23600","22520"
"In post","2023","16-19","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","White","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","White","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","London","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","London","45","45","27890","26630"
"In post","2023","16-19","Unknown","Unknown","Outside London","495","475","22730","22400"
"In post","2023","16-19","Unknown","Unknown","Unknown","35","35","20430","17650"
"In post","2023","16-19","Unknown","White","London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","White","Outside London","120","120","22110","22400"
"In post","2023","16-19","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","London","205","205","35100","32960"
"In post","2023","20-29","Declared disabled","Asian","Outside London","255","250","27700","27890"
"In post","2023","20-29","Declared disabled","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","London","145","140","33540","32520"
"In post","2023","20-29","Declared disabled","Black","Outside London","75","75","27890","28120"
"In post","2023","20-29","Declared disabled","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","London","130","130","35670","33050"
"In post","2023","20-29","Declared disabled","Mixed","Outside London","185","180","28330","28120"
"In post","2023","20-29","Declared disabled","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","London","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Outside London","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","London","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Outside London","80","75","29950","28860"
"In post","2023","20-29","Declared disabled","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","London","45","45","37020","33810"
"In post","2023","20-29","Declared disabled","Unknown","Outside London","110","110","28710","28120"
"In post","2023","20-29","Declared disabled","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","White","London","1195","1185","38890","35640"
"In post","2023","20-29","Declared disabled","White","Outside London","4020","3935","28650","28120"
"In post","2023","20-29","Declared disabled","White","Overseas","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","White","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Asian","London","1980","1965","35720","33420"
