"Status","Year","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","London","Female","56705","53650","44340","39450"
"In post","2023","London","Male","47025","46135","47130","41950"
"In post","2023","London","Unknown","5","5","[c]","[c]"
"In post","2023","Outside London","Female","224855","203240","32380","28120"
"In post","2023","Outside London","Male","184955","178470","34980","31290"
"In post","2023","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Overseas","Female","1485","1475","53300","53750"
"In post","2023","Overseas","Male","2030","2025","53550","53630"
"In post","2023","Unknown","Female","665","635","35910","32640"
"In post","2023","Unknown","Male","2050","2025","40910","38710"
"Leaver CS","2023","London","Female","5730","[c]","41230","34310"
"Leaver CS","2023","London","Male","4810","[c]","45370","39840"
"Leaver CS","2023","Outside London","Female","18540","[c]","30000","27080"
"Leaver CS","2023","Outside London","Male","16430","[c]","33380","28120"
"Leaver CS","2023","Overseas","Female","70","[c]","51350","48650"
"Leaver CS","2023","Overseas","Male","80","[c]","49690","44760"
"Leaver CS","2023","Unknown","Female","150","[c]","31540","28120"
"Leaver CS","2023","Unknown","Male","270","[c]","37660","33480"
"Leaver Dept.","2023","London","Female","3655","[c]","42980","36980"
"Leaver Dept.","2023","London","Male","2870","[c]","45030","39330"
"Leaver Dept.","2023","Outside London","Female","4955","[c]","31710","28120"
"Leaver Dept.","2023","Outside London","Male","3675","[c]","33330","28120"
"Leaver Dept.","2023","Overseas","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Overseas","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Female","85","[c]","32710","32000"
"Leaver Dept.","2023","Unknown","Male","70","[c]","35520","32730"
"New entrant CS","2023","London","Female","5345","[c]","35070","29840"
"New entrant CS","2023","London","Male","4405","[c]","37160","33640"
"New entrant CS","2023","Outside London","Female","25235","[c]","27880","24070"
"New entrant CS","2023","Outside London","Male","21345","[c]","29680","26350"
"New entrant CS","2023","Overseas","Female","35","[c]","48520","45690"
"New entrant CS","2023","Overseas","Male","35","[c]","47640","45340"
"New entrant CS","2023","Unknown","Female","110","[c]","28550","24330"
"New entrant CS","2023","Unknown","Male","250","[c]","25760","23230"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
