"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6","15","15","69030","66700"
"In post","2023","Analysis","Digital, Data and Technology","G7","45","45","56810","55720"
"In post","2023","Analysis","Digital, Data and Technology","HEO","60","55","34590","35410"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO","55","50","42780","43650"
"In post","2023","Analysis","Economics","AO","60","60","23030","22520"
"In post","2023","Analysis","Economics","EO","170","165","27780","28510"
"In post","2023","Analysis","Economics","G6","205","195","71670","70210"
"In post","2023","Analysis","Economics","G7","550","535","57420","55740"
"In post","2023","Analysis","Economics","HEO","560","555","35340","35000"
"In post","2023","Analysis","Economics","SCS level","85","80","92190","84240"
"In post","2023","Analysis","Economics","SEO","175","175","43320","43650"
"In post","2023","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","G7","10","10","[c]","[c]"
"In post","2023","Analysis","Finance","HEO","15","10","35440","34850"
"In post","2023","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","SEO","10","5","[c]","[c]"
"In post","2023","Analysis","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","EO","15","15","25570","25040"
"In post","2023","Analysis","Intelligence Analysis","G6","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","G7","25","25","56340","57580"
"In post","2023","Analysis","Intelligence Analysis","HEO","40","35","33310","31750"
"In post","2023","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","SEO","40","40","43020","43070"
"In post","2023","Analysis","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","G7","15","15","57000","57110"
"In post","2023","Analysis","Knowledge and Information Management","HEO","20","20","34440","34170"
"In post","2023","Analysis","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","SEO","10","10","43850","43000"
"In post","2023","Analysis","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","AO","25","25","22220","21200"
"In post","2023","Analysis","Operational Delivery","EO","210","190","26850","26070"
"In post","2023","Analysis","Operational Delivery","G6","15","15","64710","65530"
"In post","2023","Analysis","Operational Delivery","G7","70","70","53360","51460"
"In post","2023","Analysis","Operational Delivery","HEO","255","245","32470","31560"
"In post","2023","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","SEO","185","180","38900","37760"
"In post","2023","Analysis","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","AO","20","20","22480","22500"
"In post","2023","Analysis","Operational Research","EO","30","30","28120","27450"
"In post","2023","Analysis","Operational Research","G6","45","45","69710","69940"
"In post","2023","Analysis","Operational Research","G7","265","255","55720","55780"
"In post","2023","Analysis","Operational Research","HEO","215","215","34160","34400"
"In post","2023","Analysis","Operational Research","SCS level","10","10","81710","80500"
"In post","2023","Analysis","Operational Research","SEO","200","190","42870","43170"
"In post","2023","Analysis","Other","AO","10","10","24130","24010"
"In post","2023","Analysis","Other","EO","90","85","29110","29660"
"In post","2023","Analysis","Other","G6","125","110","89070","81290"
"In post","2023","Analysis","Other","G7","90","85","56150","55740"
"In post","2023","Analysis","Other","HEO","150","145","34900","35410"
"In post","2023","Analysis","Other","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Other","SEO","120","115","42910","43140"
"In post","2023","Analysis","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","EO","15","15","29900","29310"
"In post","2023","Analysis","Policy","G6","30","30","71040","70570"
"In post","2023","Analysis","Policy","G7","70","65","57290","58370"
"In post","2023","Analysis","Policy","HEO","80","80","37280","37380"
"In post","2023","Analysis","Policy","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","SEO","45","45","43260","43670"
"In post","2023","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Project Delivery","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","AO","45","45","22930","23340"
"In post","2023","Analysis","Science and Engineering","EO","110","105","26010","25970"
"In post","2023","Analysis","Science and Engineering","G6","65","65","69950","70550"
"In post","2023","Analysis","Science and Engineering","G7","475","450","52780","49400"
"In post","2023","Analysis","Science and Engineering","HEO","290","280","30170","30350"
