"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","AA/AO","Heterosexual / straight","65","65","22630","22520"
"In post","2023","16-19","Asian","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Asian","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Black","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Mixed","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","Unknown","465","445","22900","22400"
"In post","2023","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Unknown","55","55","26700","25790"
"In post","2023","16-19","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","60","55","20180","18870"
"In post","2023","16-19","White","AA/AO","Heterosexual / straight","475","465","23080","22520"
"In post","2023","16-19","White","AA/AO","LGBO","60","60","23470","22520"
"In post","2023","16-19","White","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2023","16-19","White","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","White","EO","Heterosexual / straight","70","70","27010","26990"
"In post","2023","16-19","White","EO","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","White","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","Heterosexual / straight","35","35","21190","19460"
"In post","2023","16-19","White","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","AA/AO","Heterosexual / straight","1905","1830","23420","22520"
"In post","2023","20-29","Asian","AA/AO","LGBO","45","40","24250","22520"
"In post","2023","20-29","Asian","AA/AO","Undeclared","60","60","22930","22520"
"In post","2023","20-29","Asian","AA/AO","Unknown","85","80","22970","22520"
"In post","2023","20-29","Asian","EO","Heterosexual / straight","2025","1995","28920","28120"
"In post","2023","20-29","Asian","EO","LGBO","45","45","28910","28120"
