"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","AA","Male","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Commercial","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AO","Female","Heterosexual / straight","145","130","23570","22500"
"In post","2023","Commercial","AO","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","AO","Female","Unknown","55","50","24560","22520"
"In post","2023","Commercial","AO","Male","Heterosexual / straight","80","80","23630","22500"
"In post","2023","Commercial","AO","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","AO","Male","Unknown","55","50","24180","23190"
"In post","2023","Commercial","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","EO","Female","Heterosexual / straight","310","290","27900","27290"
"In post","2023","Commercial","EO","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Commercial","EO","Female","Undeclared","35","30","28160","27470"
"In post","2023","Commercial","EO","Female","Unknown","80","75","28740","28120"
