"Status","Year","Organisation","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","Female","75","65","32730","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","Male","45","45","36120","31940"
"In post","2023","Active Travel England","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","Female","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Female","55","55","40960","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Male","35","30","40580","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","Female","455","405","31560","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","Male","300","280","32540","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","Female","40","35","37200","32720"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","London","Male","40","40","34300","32720"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","Female","1220","1140","27970","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Outside London","Male","810","790","29340","25920"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","Female","355","335","32130","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","Outside London","Male","215","210","34350","29770"
"In post","2023","Animal and Plant Health Agency","Unknown","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","London","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","Female","180","165","42650","38550"
"In post","2023","Animal and Plant Health Agency","Veterinarian","Outside London","Male","130","125","44020","38880"
"In post","2023","Attorney General's Office","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","London","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","Female","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Finance","London","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","Female","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","London","Female","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","London","Male","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","Female","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Other","London","Male","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Other","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Other","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","London","Female","35","35","49410","53030"
"In post","2023","Building Digital UK","Project Delivery","London","Male","35","35","53040","53030"
"In post","2023","Building Digital UK","Project Delivery","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","Female","45","40","55830","56430"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","London","Male","50","50","70880","56430"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","Female","40","40","45530","50690"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","Female","80","80","51180","56430"
"In post","2023","Cabinet Office (excl. agencies)","Communications","London","Male","55","55","54430","49730"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","Female","270","265","54830","56430"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","Male","435","430","54910","56430"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","Female","120","120","45160","38460"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Outside London","Male","195","195","48220","51290"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","London","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","London","Male","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","London","Female","35","35","61300","50600"
"In post","2023","Cabinet Office (excl. agencies)","Finance","London","Male","45","45","60090","44050"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Finance","Outside London","Male","20","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","London","Female","255","245","50350","43740"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","London","Male","100","100","51100","56430"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Outside London","Female","355","325","36040","33020"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Outside London","Male","165","160","35030","33020"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Human Resources","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Intelligence Analysis","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Intelligence Analysis","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","Female","25","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","London","Female","30","25","81140","81600"
"In post","2023","Cabinet Office (excl. agencies)","Legal","London","Male","30","30","85630","81600"
"In post","2023","Cabinet Office (excl. agencies)","Legal","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Legal","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Policy","London","Female","150","145","51890","56430"
"In post","2023","Cabinet Office (excl. agencies)","Policy","London","Male","135","135","52090","55790"
"In post","2023","Cabinet Office (excl. agencies)","Policy","Outside London","Female","50","50","44150","41050"
"In post","2023","Cabinet Office (excl. agencies)","Policy","Outside London","Male","35","35","50540","51290"
"In post","2023","Cabinet Office (excl. agencies)","Policy","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Policy","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","London","Female","30","30","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","London","Male","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","Outside London","Female","20","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","London","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Property","Outside London","Male","5","5","[c]","[c]"
