"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","London","AO","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","London","EO","Heterosexual / straight","70","70","31060","31190"
"In post","2023","Commercial","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","London","EO","Unknown","30","30","[c]","[c]"
"In post","2023","Commercial","London","G6","Heterosexual / straight","190","185","76010","72500"
"In post","2023","Commercial","London","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","London","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","London","G6","Unknown","55","55","75700","72500"
"In post","2023","Commercial","London","G7","Heterosexual / straight","305","300","61500","58300"
"In post","2023","Commercial","London","G7","LGBO","30","30","61380","57640"
"In post","2023","Commercial","London","G7","Undeclared","40","40","59360","58280"
"In post","2023","Commercial","London","G7","Unknown","110","110","60750","57250"
"In post","2023","Commercial","London","HEO","Heterosexual / straight","170","165","36460","35760"
"In post","2023","Commercial","London","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","London","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","London","HEO","Unknown","95","95","32880","31990"
"In post","2023","Commercial","London","SCS level","Heterosexual / straight","130","125","119540","116600"
"In post","2023","Commercial","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","London","SEO","Heterosexual / straight","220","215","45030","43760"
"In post","2023","Commercial","London","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","London","SEO","Undeclared","30","30","44920","43650"
"In post","2023","Commercial","London","SEO","Unknown","60","60","44360","43750"
"In post","2023","Commercial","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","G7","Heterosexual / straight","30","30","57650","55640"
"In post","2023","Commercial","North East (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Commercial","North East (England)","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","North East (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","North East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SEO","Heterosexual / straight","50","45","40700","39090"
"In post","2023","Commercial","North East (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","EO","Heterosexual / straight","60","55","27530","27650"
"In post","2023","Commercial","North West (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","G6","Heterosexual / straight","65","65","73530","70180"
"In post","2023","Commercial","North West (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","G7","Heterosexual / straight","130","125","59790","57030"
"In post","2023","Commercial","North West (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","G7","Unknown","40","40","59600","56000"
"In post","2023","Commercial","North West (England)","HEO","Heterosexual / straight","135","135","33160","34170"
"In post","2023","Commercial","North West (England)","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","HEO","Unknown","50","45","32080","32250"
"In post","2023","Commercial","North West (England)","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","SEO","Heterosexual / straight","225","220","40550","39860"
"In post","2023","Commercial","North West (England)","SEO","LGBO","20","20","[c]","[c]"
"In post","2023","Commercial","North West (England)","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","SEO","Unknown","50","50","40070","40340"
"In post","2023","Commercial","North West (England)","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","AA","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Scotland","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","AO","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","EO","Heterosexual / straight","35","35","29160","27140"
"In post","2023","Commercial","Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","EO","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","Scotland","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","G7","Heterosexual / straight","40","40","58530","56630"
"In post","2023","Commercial","Scotland","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","G7","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","Scotland","HEO","Heterosexual / straight","65","65","35040","34170"
"In post","2023","Commercial","Scotland","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","SEO","Heterosexual / straight","50","50","42820","42700"
"In post","2023","Commercial","Scotland","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","SEO","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","EO","Heterosexual / straight","75","75","27670","27470"
"In post","2023","Commercial","South East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","EO","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","South East (England)","G6","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Commercial","South East (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","G7","Heterosexual / straight","70","70","58990","58110"
"In post","2023","Commercial","South East (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","HEO","Heterosexual / straight","110","105","34220","34300"
"In post","2023","Commercial","South East (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","SEO","Heterosexual / straight","150","145","43070","42700"
"In post","2023","Commercial","South East (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","SEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","South East (England)","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","AO","Heterosexual / straight","85","80","23430","22390"
"In post","2023","Commercial","South West (England)","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","South West (England)","AO","Unknown","40","40","23920","22220"
"In post","2023","Commercial","South West (England)","EO","Heterosexual / straight","100","90","26560","27080"
"In post","2023","Commercial","South West (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","EO","Undeclared","10","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","EO","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","South West (England)","G6","Heterosexual / straight","100","95","72180","70710"
"In post","2023","Commercial","South West (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","South West (England)","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","South West (England)","G7","Heterosexual / straight","210","205","54830","55110"
"In post","2023","Commercial","South West (England)","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","South West (England)","G7","Undeclared","35","35","53260","54810"
"In post","2023","Commercial","South West (England)","G7","Unknown","30","25","[c]","[c]"
"In post","2023","Commercial","South West (England)","HEO","Heterosexual / straight","305","285","33370","33830"
"In post","2023","Commercial","South West (England)","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","South West (England)","HEO","Undeclared","30","30","34290","34430"
"In post","2023","Commercial","South West (England)","HEO","Unknown","50","50","33080","33830"
"In post","2023","Commercial","South West (England)","SCS level","Heterosexual / straight","35","35","103490","97240"
"In post","2023","Commercial","South West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","South West (England)","SEO","Heterosexual / straight","375","360","42140","42620"
"In post","2023","Commercial","South West (England)","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","South West (England)","SEO","Undeclared","50","50","42080","42620"
"In post","2023","Commercial","South West (England)","SEO","Unknown","45","45","42210","42620"
"In post","2023","Commercial","South West (England)","Unknown","Heterosexual / straight","105","105","43990","42620"
"In post","2023","Commercial","South West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","South West (England)","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Wales","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Commercial","Wales","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Wales","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","EO","Heterosexual / straight","55","50","27230","26960"
"In post","2023","Commercial","Wales","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","Wales","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","G7","Heterosexual / straight","40","35","55840","53740"
"In post","2023","Commercial","Wales","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Wales","HEO","Heterosexual / straight","85","85","32690","32070"
"In post","2023","Commercial","Wales","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","Wales","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Wales","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","SEO","Heterosexual / straight","85","80","41560","40470"
"In post","2023","Commercial","Wales","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","SEO","Undeclared","15","10","[c]","[c]"
"In post","2023","Commercial","Wales","SEO","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","EO","Heterosexual / straight","40","35","26940","26380"
"In post","2023","Commercial","West Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","G7","Heterosexual / straight","45","45","62500","65500"
"In post","2023","Commercial","West Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","G7","Unknown","30","30","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","HEO","Heterosexual / straight","55","55","33280","32690"
"In post","2023","Commercial","West Midlands (England)","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
