"Status","Year","Age","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","AA/AO","Female","Heterosexual / straight","270","265","23190","22520"
"In post","2023","16-19","AA/AO","Female","LGBO","45","45","23140","22520"
"In post","2023","16-19","AA/AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","16-19","AA/AO","Female","Unknown","240","225","23240","22500"
"In post","2023","16-19","AA/AO","Male","Heterosexual / straight","300","295","22820","22520"
"In post","2023","16-19","AA/AO","Male","LGBO","20","20","[c]","[c]"
"In post","2023","16-19","AA/AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","AA/AO","Male","Unknown","255","245","22550","22400"
"In post","2023","16-19","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","EO","Female","Heterosexual / straight","45","45","27220","26990"
"In post","2023","16-19","EO","Female","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","EO","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","EO","Female","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","EO","Male","Heterosexual / straight","50","50","26850","26020"
"In post","2023","16-19","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","EO","Male","Unknown","30","30","26680","25750"
"In post","2023","16-19","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Unknown","35","35","19520","18120"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","AA/AO","Female","Heterosexual / straight","7920","7600","24470","22520"
"In post","2023","20-29","AA/AO","Female","LGBO","1340","1310","25040","23230"
"In post","2023","20-29","AA/AO","Female","Undeclared","580","560","24070","22520"
"In post","2023","20-29","AA/AO","Female","Unknown","4595","4410","24130","22520"
"In post","2023","20-29","AA/AO","Male","Heterosexual / straight","7310","7240","25320","23230"
"In post","2023","20-29","AA/AO","Male","LGBO","760","755","23740","22520"
"In post","2023","20-29","AA/AO","Male","Undeclared","475","465","24440","22520"
"In post","2023","20-29","AA/AO","Male","Unknown","4380","4325","24590","22520"
"In post","2023","20-29","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","EO","Female","Heterosexual / straight","7360","7225","28700","28120"
"In post","2023","20-29","EO","Female","LGBO","925","915","28390","28120"
"In post","2023","20-29","EO","Female","Undeclared","575","570","28700","28120"
"In post","2023","20-29","EO","Female","Unknown","3195","3150","28290","28080"
"In post","2023","20-29","EO","Male","Heterosexual / straight","5235","5205","28640","28120"
"In post","2023","20-29","EO","Male","LGBO","615","615","28120","28120"
"In post","2023","20-29","EO","Male","Undeclared","415","410","28630","28120"
"In post","2023","20-29","EO","Male","Unknown","2765","2750","28080","27890"
"In post","2023","20-29","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","G6/G7","Female","Heterosexual / straight","1865","1860","55610","54980"
"In post","2023","20-29","G6/G7","Female","LGBO","250","250","55900","55120"
"In post","2023","20-29","G6/G7","Female","Undeclared","210","210","55930","55020"
"In post","2023","20-29","G6/G7","Female","Unknown","565","560","56820","55720"
"In post","2023","20-29","G6/G7","Male","Heterosexual / straight","1450","1445","56070","55120"
"In post","2023","20-29","G6/G7","Male","LGBO","330","325","56610","55370"
"In post","2023","20-29","G6/G7","Male","Undeclared","180","180","56270","55000"
"In post","2023","20-29","G6/G7","Male","Unknown","510","510","57420","55870"
"In post","2023","20-29","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SEO/HEO","Female","Heterosexual / straight","8685","8630","36440","35010"
"In post","2023","20-29","SEO/HEO","Female","LGBO","1285","1275","36220","35000"
"In post","2023","20-29","SEO/HEO","Female","Undeclared","850","845","36400","34730"
"In post","2023","20-29","SEO/HEO","Female","Unknown","3515","3505","35640","35000"
"In post","2023","20-29","SEO/HEO","Male","Heterosexual / straight","6715","6700","36440","35000"
"In post","2023","20-29","SEO/HEO","Male","LGBO","1000","995","36510","35130"
"In post","2023","20-29","SEO/HEO","Male","Undeclared","690","690","36530","35000"
"In post","2023","20-29","SEO/HEO","Male","Unknown","3195","3185","36170","35010"
"In post","2023","20-29","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Female","Heterosexual / straight","2670","2615","26370","24570"
"In post","2023","20-29","Unknown","Female","LGBO","350","340","25190","24330"
"In post","2023","20-29","Unknown","Female","Undeclared","115","110","26130","24570"
"In post","2023","20-29","Unknown","Female","Unknown","840","810","25370","24310"
"In post","2023","20-29","Unknown","Male","Heterosexual / straight","695","690","27650","26520"
"In post","2023","20-29","Unknown","Male","LGBO","105","105","25140","23640"
"In post","2023","20-29","Unknown","Male","Undeclared","40","40","27840","26070"
"In post","2023","20-29","Unknown","Male","Unknown","540","540","29180","26910"
"In post","2023","20-29","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","AA/AO","Female","Heterosexual / straight","8080","6930","23860","22500"
"In post","2023","30-39","AA/AO","Female","LGBO","835","795","25890","23230"
"In post","2023","30-39","AA/AO","Female","Undeclared","665","575","24090","22500"
"In post","2023","30-39","AA/AO","Female","Unknown","3570","3075","23720","22520"
"In post","2023","30-39","AA/AO","Male","Heterosexual / straight","7705","7590","26610","24360"
"In post","2023","30-39","AA/AO","Male","LGBO","625","615","24640","22520"
"In post","2023","30-39","AA/AO","Male","Undeclared","680","665","25810","22520"
"In post","2023","30-39","AA/AO","Male","Unknown","3295","3230","25720","22920"
"In post","2023","30-39","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","EO","Female","Heterosexual / straight","9850","9000","28690","28120"
"In post","2023","30-39","EO","Female","LGBO","875","850","29250","28120"
"In post","2023","30-39","EO","Female","Undeclared","700","645","28880","28120"
"In post","2023","30-39","EO","Female","Unknown","3095","2855","28840","28120"
"In post","2023","30-39","EO","Male","Heterosexual / straight","7695","7645","29360","28120"
"In post","2023","30-39","EO","Male","LGBO","765","760","28650","28120"
"In post","2023","30-39","EO","Male","Undeclared","785","775","29580","28120"
"In post","2023","30-39","EO","Male","Unknown","3035","3015","29120","28120"
"In post","2023","30-39","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","G6/G7","Female","Heterosexual / straight","7615","7270","58610","56430"
"In post","2023","30-39","G6/G7","Female","LGBO","650","635","57500","55740"
"In post","2023","30-39","G6/G7","Female","Undeclared","730","710","58650","56220"
"In post","2023","30-39","G6/G7","Female","Unknown","1740","1680","59070","56870"
"In post","2023","30-39","G6/G7","Male","Heterosexual / straight","6395","6345","59070","57030"
"In post","2023","30-39","G6/G7","Male","LGBO","805","800","59180","57140"
"In post","2023","30-39","G6/G7","Male","Undeclared","770","765","58830","56870"
"In post","2023","30-39","G6/G7","Male","Unknown","1795","1780","59430","57970"
"In post","2023","30-39","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","SCS level","Female","Heterosexual / straight","395","375","81450","77170"
"In post","2023","30-39","SCS level","Female","LGBO","30","30","78800","74300"
"In post","2023","30-39","SCS level","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","30-39","SCS level","Female","Unknown","100","95","81500","76510"
"In post","2023","30-39","SCS level","Male","Heterosexual / straight","305","300","82700","78330"
"In post","2023","30-39","SCS level","Male","LGBO","55","55","81600","77460"
"In post","2023","30-39","SCS level","Male","Undeclared","30","30","81080","79430"
"In post","2023","30-39","SCS level","Male","Unknown","85","85","82830","79000"
"In post","2023","30-39","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","SEO/HEO","Female","Heterosexual / straight","13835","13155","37860","37540"
"In post","2023","30-39","SEO/HEO","Female","LGBO","1230","1195","37820","37590"
"In post","2023","30-39","SEO/HEO","Female","Undeclared","1115","1070","38230","38100"
"In post","2023","30-39","SEO/HEO","Female","Unknown","3170","3045","38080","37320"
"In post","2023","30-39","SEO/HEO","Male","Heterosexual / straight","11475","11410","38420","37890"
"In post","2023","30-39","SEO/HEO","Male","LGBO","1220","1215","38010","37680"
"In post","2023","30-39","SEO/HEO","Male","Undeclared","1235","1225","38740","38120"
"In post","2023","30-39","SEO/HEO","Male","Unknown","3425","3400","38150","37420"
"In post","2023","30-39","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Unknown","Female","Heterosexual / straight","3050","2805","30720","30810"
"In post","2023","30-39","Unknown","Female","LGBO","260","255","29360","26840"
"In post","2023","30-39","Unknown","Female","Undeclared","170","160","31180","30810"
"In post","2023","30-39","Unknown","Female","Unknown","645","575","28860","26840"
"In post","2023","30-39","Unknown","Male","Heterosexual / straight","970","960","33640","31920"
"In post","2023","30-39","Unknown","Male","LGBO","100","100","28790","25300"
"In post","2023","30-39","Unknown","Male","Undeclared","80","80","35120","33930"
"In post","2023","30-39","Unknown","Male","Unknown","565","555","36850","35190"
"In post","2023","30-39","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","AA/AO","Female","Heterosexual / straight","9405","7930","23290","22400"
"In post","2023","40-49","AA/AO","Female","LGBO","440","405","24840","22520"
"In post","2023","40-49","AA/AO","Female","Undeclared","1095","910","23040","22400"
"In post","2023","40-49","AA/AO","Female","Unknown","3645","3045","23460","22520"
"In post","2023","40-49","AA/AO","Male","Heterosexual / straight","6715","6565","25880","22520"
"In post","2023","40-49","AA/AO","Male","LGBO","395","385","24520","22520"
"In post","2023","40-49","AA/AO","Male","Undeclared","915","895","25080","22500"
"In post","2023","40-49","AA/AO","Male","Unknown","2475","2405","25210","22520"
"In post","2023","40-49","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","EO","Female","Heterosexual / straight","10890","9735","28630","28120"
"In post","2023","40-49","EO","Female","LGBO","475","450","29100","28120"
"In post","2023","40-49","EO","Female","Undeclared","1105","990","28650","28120"
"In post","2023","40-49","EO","Female","Unknown","3035","2665","28900","28120"
"In post","2023","40-49","EO","Male","Heterosexual / straight","7530","7445","29330","28120"
"In post","2023","40-49","EO","Male","LGBO","505","500","28800","28120"
"In post","2023","40-49","EO","Male","Undeclared","1000","985","29310","28120"
"In post","2023","40-49","EO","Male","Unknown","2265","2235","29530","28120"
"In post","2023","40-49","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","G6/G7","Female","Heterosexual / straight","8900","8360","60830","59030"
"In post","2023","40-49","G6/G7","Female","LGBO","405","390","61050","59000"
"In post","2023","40-49","G6/G7","Female","Undeclared","795","745","61340","59420"
"In post","2023","40-49","G6/G7","Female","Unknown","1785","1660","61330","59490"
"In post","2023","40-49","G6/G7","Male","Heterosexual / straight","7790","7725","61270","59340"
"In post","2023","40-49","G6/G7","Male","LGBO","595","590","61930","59580"
"In post","2023","40-49","G6/G7","Male","Undeclared","940","930","61330","59290"
"In post","2023","40-49","G6/G7","Male","Unknown","1755","1735","61640","59890"
"In post","2023","40-49","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","SCS level","Female","Heterosexual / straight","1145","1085","87720","81600"
"In post","2023","40-49","SCS level","Female","LGBO","65","60","86000","79000"
"In post","2023","40-49","SCS level","Female","Undeclared","95","90","88310","81790"
"In post","2023","40-49","SCS level","Female","Unknown","215","205","91190","83750"
"In post","2023","40-49","SCS level","Male","Heterosexual / straight","1055","1045","90450","82650"
"In post","2023","40-49","SCS level","Male","LGBO","125","120","89860","81800"
"In post","2023","40-49","SCS level","Male","Undeclared","90","90","89900","83510"
"In post","2023","40-49","SCS level","Male","Unknown","210","210","92930","84990"
"In post","2023","40-49","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","SEO/HEO","Female","Heterosexual / straight","14075","13240","38750","38330"
"In post","2023","40-49","SEO/HEO","Female","LGBO","620","605","39410","38470"
"In post","2023","40-49","SEO/HEO","Female","Undeclared","1410","1325","38630","38180"
"In post","2023","40-49","SEO/HEO","Female","Unknown","2595","2435","39010","38330"
"In post","2023","40-49","SEO/HEO","Male","Heterosexual / straight","11205","11125","39470","39150"
"In post","2023","40-49","SEO/HEO","Male","LGBO","630","625","38530","38470"
"In post","2023","40-49","SEO/HEO","Male","Undeclared","1490","1470","39500","39190"
"In post","2023","40-49","SEO/HEO","Male","Unknown","2565","2535","39180","38470"
"In post","2023","40-49","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
