"Status","Year","Disability","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Communications","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","Finance","AO","20","15","[c]","[c]"
