"Status","Year","Age","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Heterosexual / straight","50","50","21670","20980"
"In post","2023","16-19","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Heterosexual / straight","45","45","21520","22500"
"In post","2023","16-19","Department for Transport","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","Unknown","40","35","21650","20750"
"In post","2023","16-19","Department for Work and Pensions","Heterosexual / straight","60","55","23050","21690"
"In post","2023","16-19","Department for Work and Pensions","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Heterosexual / straight","95","90","23310","22520"
"In post","2023","16-19","HM Revenue and Customs","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","Unknown","80","80","23250","22520"
"In post","2023","16-19","HM Treasury","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Unknown","115","105","23760","22400"
"In post","2023","16-19","Ministry of Defence","Heterosexual / straight","95","95","20690","19460"
"In post","2023","16-19","Ministry of Defence","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","125","125","19760","18780"
"In post","2023","16-19","Ministry of Justice","Heterosexual / straight","185","185","25660","24070"
"In post","2023","16-19","Ministry of Justice","LGBO","25","25","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Unknown","125","120","25580","23230"
"In post","2023","16-19","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government","Unknown","55","50","23010","22180"
"In post","2023","16-19","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Welsh Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Departments","Heterosexual / straight","1370","1355","30560","27760"
"In post","2023","20-29","Attorney General's Departments","LGBO","155","155","30800","27760"
"In post","2023","20-29","Attorney General's Departments","Undeclared","90","90","30870","27760"
"In post","2023","20-29","Attorney General's Departments","Unknown","110","105","35470","31410"
"In post","2023","20-29","Cabinet Office","Heterosexual / straight","1225","1220","36610","32960"
"In post","2023","20-29","Cabinet Office","LGBO","245","245","37860","34250"
"In post","2023","20-29","Cabinet Office","Undeclared","125","125","38040","32960"
"In post","2023","20-29","Cabinet Office","Unknown","1385","1380","32610","30130"
"In post","2023","20-29","Chancellor's other departments","Heterosexual / straight","55","55","36540","32940"
"In post","2023","20-29","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Chancellor's other departments","Undeclared","5","5","[c]","[c]"
