"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Counter Fraud","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","Heterosexual / straight","75","75","39480","40000"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","Heterosexual / straight","50","50","61210","57700"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","85","85","38090","38940"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","AA/AO","Heterosexual / straight","55","50","22890","22870"
"In post","2023","Attorney General's Departments","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","EO","Heterosexual / straight","55","50","27750","27440"
"In post","2023","Attorney General's Departments","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SEO/HEO","Heterosexual / straight","55","55","35370","33720"
"In post","2023","Attorney General's Departments","Finance","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","EO","Heterosexual / straight","35","35","27760","27760"
"In post","2023","Attorney General's Departments","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","G6/G7","Heterosexual / straight","50","45","59270","56950"
"In post","2023","Attorney General's Departments","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SEO/HEO","Heterosexual / straight","100","95","34980","33300"
"In post","2023","Attorney General's Departments","Human Resources","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Intelligence Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","30","30","36400","38860"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","EO","Heterosexual / straight","200","200","29500","28200"
"In post","2023","Attorney General's Departments","Legal","EO","LGBO","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","EO","Unknown","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","G6/G7","Heterosexual / straight","3195","2975","58540","56450"
"In post","2023","Attorney General's Departments","Legal","G6/G7","LGBO","185","175","60120","56450"
"In post","2023","Attorney General's Departments","Legal","G6/G7","Undeclared","215","205","60460","56450"
"In post","2023","Attorney General's Departments","Legal","G6/G7","Unknown","995","885","61970","60930"
"In post","2023","Attorney General's Departments","Legal","SCS level","Heterosexual / straight","185","175","88730","84760"
"In post","2023","Attorney General's Departments","Legal","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","SCS level","Unknown","60","55","89150","84250"
"In post","2023","Attorney General's Departments","Legal","SEO/HEO","Heterosexual / straight","345","325","39750","38760"
"In post","2023","Attorney General's Departments","Legal","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Legal","SEO/HEO","Unknown","70","70","37990","36780"
"In post","2023","Attorney General's Departments","Operational Delivery","AA/AO","Heterosexual / straight","1160","1085","23180","22870"
"In post","2023","Attorney General's Departments","Operational Delivery","AA/AO","LGBO","85","80","22700","22870"
"In post","2023","Attorney General's Departments","Operational Delivery","AA/AO","Undeclared","55","55","23400","23650"
"In post","2023","Attorney General's Departments","Operational Delivery","AA/AO","Unknown","235","205","23480","22870"
"In post","2023","Attorney General's Departments","Operational Delivery","EO","Heterosexual / straight","1040","975","28380","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","EO","LGBO","85","80","28150","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","EO","Undeclared","55","50","28630","28200"
"In post","2023","Attorney General's Departments","Operational Delivery","EO","Unknown","270","240","29040","28850"
"In post","2023","Attorney General's Departments","Operational Delivery","G6/G7","Heterosexual / straight","100","95","61740","59200"
"In post","2023","Attorney General's Departments","Operational Delivery","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","SEO/HEO","Heterosexual / straight","340","330","35250","33790"
"In post","2023","Attorney General's Departments","Operational Delivery","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Operational Delivery","SEO/HEO","Unknown","75","70","35510","33810"
"In post","2023","Attorney General's Departments","Other","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Other","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","G6/G7","Heterosexual / straight","55","55","59670","56950"
"In post","2023","Attorney General's Departments","Policy","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SEO/HEO","Heterosexual / straight","30","30","37400","38940"
"In post","2023","Attorney General's Departments","Policy","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SEO/HEO","Heterosexual / straight","50","50","36270","35550"
"In post","2023","Attorney General's Departments","Project Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","G6/G7","Heterosexual / straight","775","765","68090","66270"
"In post","2023","Cabinet Office","Commercial","G6/G7","LGBO","45","45","66480","65880"
"In post","2023","Cabinet Office","Commercial","G6/G7","Undeclared","70","70","65140","65500"
"In post","2023","Cabinet Office","Commercial","G6/G7","Unknown","320","310","65540","65500"
"In post","2023","Cabinet Office","Commercial","SCS level","Heterosexual / straight","180","180","119190","116600"
"In post","2023","Cabinet Office","Commercial","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","SCS level","Unknown","40","40","120860","118410"
"In post","2023","Cabinet Office","Commercial","SEO/HEO","Heterosexual / straight","290","285","36860","38050"
"In post","2023","Cabinet Office","Commercial","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","SEO/HEO","Unknown","165","165","34260","32250"
"In post","2023","Cabinet Office","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","G6/G7","Heterosexual / straight","45","45","61120","60250"
"In post","2023","Cabinet Office","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Communications","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SEO/HEO","Heterosexual / straight","55","55","38330","38660"
"In post","2023","Cabinet Office","Communications","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Communications","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
