"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","AA/AO","65","55","23670","22500"
"In post","2023","Declared disabled","Commercial","EO","85","85","28150","27470"
"In post","2023","Declared disabled","Commercial","G6/G7","240","235","64090","65310"
"In post","2023","Declared disabled","Commercial","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","435","420","38780","38470"
"In post","2023","Declared disabled","Commercial","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","60","55","28650","28080"
"In post","2023","Declared disabled","Communications","G6/G7","70","70","59170","57810"
"In post","2023","Declared disabled","Communications","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO/HEO","180","175","39120","39210"
"In post","2023","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA/AO","300","255","23040","21690"
"In post","2023","Declared disabled","Counter Fraud","EO","750","675","28980","28120"
"In post","2023","Declared disabled","Counter Fraud","G6/G7","35","35","60460","57970"
"In post","2023","Declared disabled","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO/HEO","325","305","36730","34700"
"In post","2023","Declared disabled","Digital, Data and Technology","AA/AO","65","60","22830","22220"
"In post","2023","Declared disabled","Digital, Data and Technology","EO","410","385","28550","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","G6/G7","630","620","59070","57230"
"In post","2023","Declared disabled","Digital, Data and Technology","SCS level","30","30","93810","87700"
"In post","2023","Declared disabled","Digital, Data and Technology","SEO/HEO","1105","1070","38080","37690"
"In post","2023","Declared disabled","Digital, Data and Technology","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Economics","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","G6/G7","60","55","61420","59370"
"In post","2023","Declared disabled","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Economics","SEO/HEO","60","60","37870","36440"
"In post","2023","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA/AO","125","110","22940","22400"
"In post","2023","Declared disabled","Finance","EO","175","165","28350","28090"
"In post","2023","Declared disabled","Finance","G6/G7","200","195","59560","58110"
"In post","2023","Declared disabled","Finance","SCS level","30","30","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO/HEO","430","405","38490","37680"
"In post","2023","Declared disabled","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Geography","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA/AO","160","145","22740","22220"
"In post","2023","Declared disabled","Human Resources","EO","335","315","28770","28080"
"In post","2023","Declared disabled","Human Resources","G6/G7","365","355","58640","56870"
"In post","2023","Declared disabled","Human Resources","SCS level","45","40","88920","82400"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","830","790","37860","37680"
"In post","2023","Declared disabled","Human Resources","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","G6/G7","45","45","75760","77470"
"In post","2023","Declared disabled","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inspector of Education and Training","SEO/HEO","35","35","50130","52750"
"In post","2023","Declared disabled","Intelligence Analysis","AA/AO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","EO","150","145","28940","28480"
"In post","2023","Declared disabled","Intelligence Analysis","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Intelligence Analysis","SEO/HEO","110","105","38050","37400"
"In post","2023","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","20","20","[c]","[c]"
