"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","20","15","27920","28120"
"In post","2023","Commercial","East Midlands (England)","G6/G7","45","45","63420","57550"
"In post","2023","Commercial","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SEO/HEO","70","70","39840","39490"
"In post","2023","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","EO","20","20","27300","27470"
"In post","2023","Commercial","East of England","G6/G7","65","60","65770","65500"
"In post","2023","Commercial","East of England","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","SEO/HEO","165","155","38840","39860"
"In post","2023","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","AA/AO","50","50","25510","25200"
"In post","2023","Commercial","London","EO","115","110","30780","30950"
"In post","2023","Commercial","London","G6/G7","760","750","66490","66270"
"In post","2023","Commercial","London","SCS level","165","160","120850","117940"
"In post","2023","Commercial","London","SEO/HEO","615","605","40330","40870"
"In post","2023","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","20","15","27360","26080"
"In post","2023","Commercial","North East (England)","G6/G7","55","55","61930","58030"
"In post","2023","Commercial","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SEO/HEO","100","100","37410","37640"
"In post","2023","Commercial","North West (England)","AA/AO","30","25","22180","21690"
"In post","2023","Commercial","North West (England)","EO","85","80","27500","27650"
"In post","2023","Commercial","North West (England)","G6/G7","270","265","63960","65500"
"In post","2023","Commercial","North West (England)","SCS level","20","20","96060","87160"
"In post","2023","Commercial","North West (England)","SEO/HEO","515","500","37560","38470"
"In post","2023","Commercial","North West (England)","Unknown","20","20","40760","42250"
"In post","2023","Commercial","Northern Ireland","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6/G7","10","10","78870","85900"
"In post","2023","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO/HEO","15","15","59390","58690"
"In post","2023","Commercial","Scotland","AA/AO","55","55","26100","28490"
"In post","2023","Commercial","Scotland","EO","55","55","29130","27140"
"In post","2023","Commercial","Scotland","G6/G7","90","85","64230","65500"
"In post","2023","Commercial","Scotland","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","SEO/HEO","165","165","38720","38470"
"In post","2023","Commercial","Scotland","Unknown","15","10","38040","33690"
"In post","2023","Commercial","South East (England)","AA/AO","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","EO","105","100","27620","27470"
"In post","2023","Commercial","South East (England)","G6/G7","120","120","64290","65410"
