"Status","Year","Organisation","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","Female","75","65","32730","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","Male","45","45","36120","31940"
"In post","2023","Active Travel England","Communications","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Planning","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North East (England)","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","South West (England)","Male","[c]","[c]","[c]","[c]"
