"Status","Year","Function_of_post","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Female","40","40","32990","30130"
"In post","2023","Analysis","Cabinet Office","London","Male","55","55","34830","32960"
"In post","2023","Analysis","Cabinet Office","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Scotland","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","Female","70","65","68400","67430"
"In post","2023","Analysis","Chancellor's other departments","London","Male","125","120","70410","61650"
"In post","2023","Analysis","Chancellor's other departments","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Scotland","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","North West (England)","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","North West (England)","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","Female","40","40","66500","58050"
"In post","2023","Analysis","Competition and Markets Authority","London","Male","85","85","62920","58050"
"In post","2023","Analysis","Competition and Markets Authority","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Female","85","80","45020","36960"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Male","130","125","43790","38910"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","Female","[c]","[c]","[c]","[c]"
