"Status","Year","Organisation","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","HEO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","HEO","Male","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO","Female","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G7","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G7","Male","10","10","[c]","[c]"
