"Status","Year","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Female","75","65","32730","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Male","45","45","36120","31940"
"In post","2023","Active Travel England","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Male","40","40","47400","45330"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","510","460","32590","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","330","310","33340","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","5","5","[c]","[c]"
