"Status","Year","Disability","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AO","Heterosexual / straight","175","160","23280","22870"
"In post","2023","Declared disabled","Attorney General's Departments","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AO","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Heterosexual / straight","185","170","28760","28850"
"In post","2023","Declared disabled","Attorney General's Departments","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G6","Heterosexual / straight","70","65","72330","69820"
"In post","2023","Declared disabled","Attorney General's Departments","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G7","Heterosexual / straight","320","295","57380","56450"
"In post","2023","Declared disabled","Attorney General's Departments","G7","LGBO","40","35","56390","55170"
"In post","2023","Declared disabled","Attorney General's Departments","G7","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G7","Unknown","45","40","59720","58820"
"In post","2023","Declared disabled","Attorney General's Departments","HEO","Heterosexual / straight","80","75","34270","33540"
"In post","2023","Declared disabled","Attorney General's Departments","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO","Heterosexual / straight","60","60","40310","40000"
"In post","2023","Declared disabled","Attorney General's Departments","SEO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","AO","Heterosexual / straight","70","60","22470","21720"
"In post","2023","Declared disabled","Cabinet Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","EO","Heterosexual / straight","95","90","27330","27430"
"In post","2023","Declared disabled","Cabinet Office","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","G6","Heterosexual / straight","80","80","71500","68080"
"In post","2023","Declared disabled","Cabinet Office","G6","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","G7","Heterosexual / straight","205","200","57290","56430"
"In post","2023","Declared disabled","Cabinet Office","G7","LGBO","50","50","56700","56430"
"In post","2023","Declared disabled","Cabinet Office","G7","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","G7","Unknown","35","35","62150","58020"
"In post","2023","Declared disabled","Cabinet Office","HEO","Heterosexual / straight","190","190","33750","33020"
"In post","2023","Declared disabled","Cabinet Office","HEO","LGBO","50","50","33330","33020"
"In post","2023","Declared disabled","Cabinet Office","HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","HEO","Unknown","225","225","30110","30130"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Heterosexual / straight","55","55","96810","81810"
"In post","2023","Declared disabled","Cabinet Office","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SEO","Heterosexual / straight","135","130","40650","41050"
"In post","2023","Declared disabled","Cabinet Office","SEO","LGBO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","G6","Undeclared","[c]","[c]","[c]","[c]"
