"Status","Year","Age","Disability","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Declared disabled","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","Male","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Female","Heterosexual / straight","265","260","23740","22520"
"In post","2023","16-19","Declared non-disabled","Female","LGBO","45","40","23640","22520"
"In post","2023","16-19","Declared non-disabled","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Female","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Male","Heterosexual / straight","275","270","23740","22520"
"In post","2023","16-19","Declared non-disabled","Male","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Male","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Female","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Male","Undeclared","[c]","[c]","[c]","[c]"
