"Status","Year","Function_of_post","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","London","G6/G7","35","35","61520","60490"
"In post","2023","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","SEO/HEO","55","55","39890","41750"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","G6/G7","25","25","57820","56080"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","SEO/HEO","55","55","37140","37520"
"In post","2023","Analysis","Economics","London","AA/AO","25","25","25020","23210"
"In post","2023","Analysis","Economics","London","EO","110","110","28710","28850"
"In post","2023","Analysis","Economics","London","G6/G7","620","605","61610","58960"
"In post","2023","Analysis","Economics","London","SCS level","80","75","93120","84240"
"In post","2023","Analysis","Economics","London","SEO/HEO","520","515","37990","36580"
"In post","2023","Analysis","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Outside London","AA/AO","35","35","21680","21200"
"In post","2023","Analysis","Economics","Outside London","EO","60","60","26080","25320"
"In post","2023","Analysis","Economics","Outside London","G6/G7","130","125","59800","55270"
"In post","2023","Analysis","Economics","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","Outside London","SEO/HEO","215","215","35420","34400"
"In post","2023","Analysis","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","SEO/HEO","15","15","37150","34850"
"In post","2023","Analysis","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","G6/G7","20","20","62900","58330"
"In post","2023","Analysis","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","SEO/HEO","25","25","41960","43210"
"In post","2023","Analysis","Intelligence Analysis","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Outside London","EO","15","15","25570","25040"
"In post","2023","Analysis","Intelligence Analysis","Outside London","G6/G7","10","10","56140","55840"
"In post","2023","Analysis","Intelligence Analysis","Outside London","SEO/HEO","55","50","36580","36820"
"In post","2023","Analysis","International Trade","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","G6/G7","10","10","61270","59390"
"In post","2023","Analysis","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","SEO/HEO","10","10","41230","42250"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","SEO/HEO","20","15","36040","34530"
"In post","2023","Analysis","Legal","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","EO","55","55","29160","28500"
"In post","2023","Analysis","Operational Delivery","London","G6/G7","15","15","61900","60150"
"In post","2023","Analysis","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","SEO/HEO","60","55","38220","36310"
"In post","2023","Analysis","Operational Delivery","Outside London","AA/AO","20","20","21410","21200"
"In post","2023","Analysis","Operational Delivery","Outside London","EO","155","135","25980","25600"
"In post","2023","Analysis","Operational Delivery","Outside London","G6/G7","70","70","53800","51460"
"In post","2023","Analysis","Operational Delivery","Outside London","SEO/HEO","380","370","34740","34170"
"In post","2023","Analysis","Operational Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","London","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Research","London","G6/G7","130","120","62580","61530"
"In post","2023","Analysis","Operational Research","London","SCS level","10","10","81710","80500"
"In post","2023","Analysis","Operational Research","London","SEO/HEO","170","165","41370","40540"
"In post","2023","Analysis","Operational Research","Outside London","AA/AO","25","20","22050","22500"
"In post","2023","Analysis","Operational Research","Outside London","EO","20","20","26750","26960"
"In post","2023","Analysis","Operational Research","Outside London","G6/G7","185","175","54530","52140"
"In post","2023","Analysis","Operational Research","Outside London","SEO/HEO","250","240","36270","35600"
"In post","2023","Analysis","Other","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Other","London","EO","60","55","30430","30090"
"In post","2023","Analysis","Other","London","G6/G7","170","155","78910","69950"
"In post","2023","Analysis","Other","London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Other","London","SEO/HEO","155","150","40780","39150"
"In post","2023","Analysis","Other","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Other","Outside London","EO","30","30","26560","25920"
"In post","2023","Analysis","Other","Outside London","G6/G7","45","40","60350","53990"
"In post","2023","Analysis","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Other","Outside London","SEO/HEO","115","110","35440","34530"
"In post","2023","Analysis","Other","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","London","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Policy","London","G6/G7","60","60","62640","58830"
"In post","2023","Analysis","Policy","London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","London","SEO/HEO","70","70","40820","39380"
"In post","2023","Analysis","Policy","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Policy","Outside London","G6/G7","40","35","59650","54170"
"In post","2023","Analysis","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","Outside London","SEO/HEO","55","50","37440","37380"
"In post","2023","Analysis","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","SEO/HEO","10","10","36280","34170"
"In post","2023","Analysis","Science and Engineering","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Outside London","AA/AO","50","50","22860","23340"
"In post","2023","Analysis","Science and Engineering","Outside London","EO","110","105","26010","25970"
"In post","2023","Analysis","Science and Engineering","Outside London","G6/G7","540","515","54830","49400"
"In post","2023","Analysis","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Outside London","SEO/HEO","635","615","35090","37300"
"In post","2023","Analysis","Social Research","London","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","London","G6/G7","240","230","62090","61530"
"In post","2023","Analysis","Social Research","London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Social Research","London","SEO/HEO","305","300","40660","41550"
"In post","2023","Analysis","Social Research","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Social Research","Outside London","EO","10","10","27500","26390"
"In post","2023","Analysis","Social Research","Outside London","G6/G7","205","195","55310","52490"
"In post","2023","Analysis","Social Research","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Social Research","Outside London","SEO/HEO","640","610","36640","38470"
"In post","2023","Analysis","Statistics","London","AA/AO","35","35","24200","23500"
"In post","2023","Analysis","Statistics","London","EO","85","85","30950","30950"
"In post","2023","Analysis","Statistics","London","G6/G7","395","380","62560","61540"
"In post","2023","Analysis","Statistics","London","SCS level","40","40","88810","82980"
"In post","2023","Analysis","Statistics","London","SEO/HEO","625","610","39940","39960"
"In post","2023","Analysis","Statistics","Outside London","AA/AO","10","10","21800","21710"
"In post","2023","Analysis","Statistics","Outside London","EO","125","120","27370","27140"
"In post","2023","Analysis","Statistics","Outside London","G6/G7","440","415","56740","53960"
"In post","2023","Analysis","Statistics","Outside London","SCS level","30","30","83300","73880"
"In post","2023","Analysis","Statistics","Outside London","SEO/HEO","935","900","37100","37760"
