"Status","Year","Disability","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","Female","6365","5980","41900","36050"
"In post","2023","Declared disabled","London","Male","4225","4105","44810","39780"
"In post","2023","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Outside London","Female","30400","27010","31150","28120"
"In post","2023","Declared disabled","Outside London","Male","19500","18475","33130","28880"
"In post","2023","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Female","75","75","48400","44650"
"In post","2023","Declared disabled","Overseas","Male","115","115","49580","44770"
"In post","2023","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Female","75","65","34040","28120"
"In post","2023","Declared disabled","Unknown","Male","45","45","34400","28120"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","London","Female","34505","32425","45070","39990"
"In post","2023","Declared non-disabled","London","Male","28940","28390","48070","43210"
"In post","2023","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Outside London","Female","144190","129945","32850","28120"
"In post","2023","Declared non-disabled","Outside London","Male","114015","110255","35750","32060"
"In post","2023","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Overseas","Female","765","760","51570","47710"
"In post","2023","Declared non-disabled","Overseas","Male","1190","1185","51930","49280"
"In post","2023","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Female","290","275","35330","28120"
"In post","2023","Declared non-disabled","Unknown","Male","295","285","36510","28880"
"In post","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","London","Female","2930","2765","44620","39450"
"In post","2023","Undeclared","London","Male","2955","2885","47880","43190"
"In post","2023","Undeclared","Outside London","Female","10145","9130","32710","28130"
"In post","2023","Undeclared","Outside London","Male","11690","11100","35340","32920"
"In post","2023","Undeclared","Overseas","Female","50","50","52520","53640"
"In post","2023","Undeclared","Overseas","Male","90","90","54900","53970"
"In post","2023","Undeclared","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Undeclared","Unknown","Male","30","30","36640","34170"
"In post","2023","Unknown","London","Female","12900","12480","43500","39450"
"In post","2023","Unknown","London","Male","10905","10755","45320","40390"
"In post","2023","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Outside London","Female","40120","37160","31550","27890"
"In post","2023","Unknown","Outside London","Male","39755","38640","33590","29100"
"In post","2023","Unknown","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","Overseas","Female","595","595","56060","55670"
"In post","2023","Unknown","Overseas","Male","635","635","56930","55900"
"In post","2023","Unknown","Unknown","Female","280","270","37320","34580"
"In post","2023","Unknown","Unknown","Male","1675","1665","41930","40220"
"Leaver CS","2023","Declared disabled","London","Female","530","[c]","40190","33480"
"Leaver CS","2023","Declared disabled","London","Male","375","[c]","43690","35410"
"Leaver CS","2023","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Outside London","Female","2450","[c]","28900","27470"
"Leaver CS","2023","Declared disabled","Outside London","Male","1670","[c]","30990","27570"
"Leaver CS","2023","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","London","Female","3160","[c]","41890","35020"
"Leaver CS","2023","Declared non-disabled","London","Male","2630","[c]","46100","40220"
"Leaver CS","2023","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Outside London","Female","11105","[c]","30070","27570"
"Leaver CS","2023","Declared non-disabled","Outside London","Male","9285","[c]","33970","28120"
"Leaver CS","2023","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Female","45","[c]","32380","28120"
"Leaver CS","2023","Declared non-disabled","Unknown","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","London","Female","240","[c]","40460","35480"
"Leaver CS","2023","Undeclared","London","Male","295","[c]","47170","41280"
"Leaver CS","2023","Undeclared","Outside London","Female","825","[c]","29560","27420"
"Leaver CS","2023","Undeclared","Outside London","Male","1025","[c]","34520","28720"
"Leaver CS","2023","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","London","Female","1795","[c]","40290","33790"
"Leaver CS","2023","Unknown","London","Male","1515","[c]","43990","38160"
"Leaver CS","2023","Unknown","Outside London","Female","4160","[c]","30590","25750"
"Leaver CS","2023","Unknown","Outside London","Male","4450","[c]","32870","27610"
"Leaver CS","2023","Unknown","Overseas","Female","60","[c]","49680","48610"
"Leaver CS","2023","Unknown","Overseas","Male","45","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Female","95","[c]","30720","28120"
"Leaver CS","2023","Unknown","Unknown","Male","235","[c]","38240","33690"
"Leaver Dept.","2023","Declared disabled","London","Female","345","[c]","42010","36670"
"Leaver Dept.","2023","Declared disabled","London","Male","210","[c]","44250","38020"
"Leaver Dept.","2023","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Outside London","Female","555","[c]","30670","28120"
"Leaver Dept.","2023","Declared disabled","Outside London","Male","350","[c]","32180","28120"
"Leaver Dept.","2023","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","London","Female","1925","[c]","44410","40050"
"Leaver Dept.","2023","Declared non-disabled","London","Male","1485","[c]","46540","40600"
"Leaver Dept.","2023","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Outside London","Female","3105","[c]","31560","28120"
"Leaver Dept.","2023","Declared non-disabled","Outside London","Male","2260","[c]","33350","28120"
"Leaver Dept.","2023","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","London","Female","120","[c]","44720","41160"
"Leaver Dept.","2023","Undeclared","London","Male","155","[c]","45040","41060"
"Leaver Dept.","2023","Undeclared","Outside London","Female","240","[c]","30860","28120"
"Leaver Dept.","2023","Undeclared","Outside London","Male","185","[c]","33730","30390"
"Leaver Dept.","2023","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","London","Female","1265","[c]","40410","34550"
"Leaver Dept.","2023","Unknown","London","Male","1020","[c]","42500","36180"
"Leaver Dept.","2023","Unknown","Outside London","Female","1055","[c]","33110","31040"
"Leaver Dept.","2023","Unknown","Outside London","Male","880","[c]","33740","30360"
"Leaver Dept.","2023","Unknown","Overseas","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Overseas","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Female","55","[c]","32800","32000"
"Leaver Dept.","2023","Unknown","Unknown","Male","45","[c]","34150","32000"
"New entrant CS","2023","Declared disabled","London","Female","380","[c]","34850","29750"
"New entrant CS","2023","Declared disabled","London","Male","230","[c]","35730","33800"
"New entrant CS","2023","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Outside London","Female","1835","[c]","27220","23640"
"New entrant CS","2023","Declared disabled","Outside London","Male","1330","[c]","28760","24950"
"New entrant CS","2023","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Unknown","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Unknown","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","London","Female","1925","[c]","37170","33800"
"New entrant CS","2023","Declared non-disabled","London","Male","1650","[c]","39470","34390"
"New entrant CS","2023","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Outside London","Female","11035","[c]","28510","24070"
"New entrant CS","2023","Declared non-disabled","Outside London","Male","8590","[c]","30600","28120"
"New entrant CS","2023","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Unknown","Female","30","[c]","[c]","[c]"
"New entrant CS","2023","Declared non-disabled","Unknown","Male","40","[c]","32370","28880"
"New entrant CS","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","London","Female","120","[c]","34050","32660"
"New entrant CS","2023","Undeclared","London","Male","125","[c]","37450","33970"
"New entrant CS","2023","Undeclared","Outside London","Female","490","[c]","26920","23640"
"New entrant CS","2023","Undeclared","Outside London","Male","435","[c]","29870","26780"
"New entrant CS","2023","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","London","Female","2915","[c]","33740","29750"
"New entrant CS","2023","Unknown","London","Male","2400","[c]","35670","29890"
"New entrant CS","2023","Unknown","Outside London","Female","11875","[c]","27430","24070"
"New entrant CS","2023","Unknown","Outside London","Male","10990","[c]","29070","25750"
"New entrant CS","2023","Unknown","Overseas","Female","35","[c]","49950","45690"
"New entrant CS","2023","Unknown","Overseas","Male","30","[c]","47980","45610"
"New entrant CS","2023","Unknown","Unknown","Female","70","[c]","27520","23230"
"New entrant CS","2023","Unknown","Unknown","Male","200","[c]","24260","21690"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
