"Status","Year","Disability","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","600","550","33590","31280"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","1120","1055","34080","31280"
"In post","2023","Declared disabled","Cheshire","Outside London","550","500","31800","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","255","230","27880","28120"
"In post","2023","Declared disabled","Cumbria","Outside London","360","325","29410","25980"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","1975","1810","31600","28120"
"In post","2023","Declared disabled","Devon","Outside London","1235","1110","31110","28120"
"In post","2023","Declared disabled","Dorset and Somerset","Outside London","745","690","31220","28120"
"In post","2023","Declared disabled","East Anglia","Outside London","1660","1515","30940","28120"
"In post","2023","Declared disabled","East Wales","Outside London","2025","1880","33850","29890"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","635","570","29150","28120"
"In post","2023","Declared disabled","Eastern Scotland","Outside London","2225","2070","35730","31540"
"In post","2023","Declared disabled","Essex","Outside London","650","585","31170","31280"
"In post","2023","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","3680","3475","37390","34170"
"In post","2023","Declared disabled","Greater Manchester","Outside London","2730","2530","33000","28120"
"In post","2023","Declared disabled","Hampshire and Isle of Wight","Outside London","1980","1800","33700","30650"
"In post","2023","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Outside London","535","485","30140","28120"
"In post","2023","Declared disabled","Highlands and Islands","Outside London","190","175","29850","28120"
"In post","2023","Declared disabled","Inner London - East","London","1985","1880","41240","35410"
"In post","2023","Declared disabled","Inner London - West","London","5780","5590","47140","42170"
"In post","2023","Declared disabled","Kent","Outside London","1105","1020","31430","31280"
"In post","2023","Declared disabled","Lancashire","Outside London","2325","2075","29290","28120"
"In post","2023","Declared disabled","Leicestershire, Rutland and Northamptonshire","Outside London","880","790","28320","28120"
"In post","2023","Declared disabled","Lincolnshire","Outside London","480","440","29890","28120"
"In post","2023","Declared disabled","Merseyside","Outside London","2710","2440","30270","28120"
"In post","2023","Declared disabled","North Eastern Scotland","Outside London","155","145","34880","29450"
"In post","2023","Declared disabled","North Yorkshire","Outside London","605","570","33170","29050"
"In post","2023","Declared disabled","Northern Ireland","Outside London","380","355","31840","28130"
"In post","2023","Declared disabled","Northumberland, and Tyne and Wear","Outside London","2885","2555","29700","28120"
"In post","2023","Declared disabled","Outer London - East and North East","London","640","585","32170","32520"
"In post","2023","Declared disabled","Outer London - South","London","1260","1185","39250","34370"
"In post","2023","Declared disabled","Outer London - West and North West","London","920","840","34190","32520"
"In post","2023","Declared disabled","Overseas","Overseas","185","185","49120","44760"
"In post","2023","Declared disabled","Shropshire and Staffordshire","Outside London","1235","1140","32200","28120"
"In post","2023","Declared disabled","South Yorkshire","Outside London","1470","1320","32630","28120"
"In post","2023","Declared disabled","Southern Scotland","Outside London","495","435","29910","28120"
"In post","2023","Declared disabled","Surrey, East and West Sussex","Outside London","1170","1055","31350","28120"
"In post","2023","Declared disabled","Tees Valley and Durham","Outside London","1425","1275","29970","28120"
"In post","2023","Declared disabled","Unknown","Unknown","120","110","34170","28120"
"In post","2023","Declared disabled","West Central Scotland","Outside London","2255","2045","31260","28120"
"In post","2023","Declared disabled","West Midlands","Outside London","2675","2425","31230","28120"
"In post","2023","Declared disabled","West Wales and The Valleys","Outside London","2200","1950","28040","27450"
"In post","2023","Declared disabled","West Yorkshire","Outside London","2290","2100","33040","28130"
"In post","2023","Declared non-disabled","Bedfordshire and Hertfordshire","Outside London","3075","2870","34930","31280"
"In post","2023","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","5800","5495","35650","32380"
"In post","2023","Declared non-disabled","Cheshire","Outside London","2460","2295","34000","30410"
"In post","2023","Declared non-disabled","Cornwall and Isles of Scilly","Outside London","1170","1070","29120","28120"
"In post","2023","Declared non-disabled","Cumbria","Outside London","1565","1445","30720","26850"
"In post","2023","Declared non-disabled","Derbyshire and Nottinghamshire","Outside London","9025","8410","34330","30330"
"In post","2023","Declared non-disabled","Devon","Outside London","6575","6050","34670","31580"
"In post","2023","Declared non-disabled","Dorset and Somerset","Outside London","3600","3350","32490","28880"
"In post","2023","Declared non-disabled","East Anglia","Outside London","8560","7965","32440","28880"
"In post","2023","Declared non-disabled","East Wales","Outside London","14080","13255","37110","32310"
"In post","2023","Declared non-disabled","East Yorkshire and Northern Lincolnshire","Outside London","3515","3210","30500","28120"
"In post","2023","Declared non-disabled","Eastern Scotland","Outside London","11125","10505","39070","34100"
"In post","2023","Declared non-disabled","Essex","Outside London","2980","2745","32210","31280"
"In post","2023","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","19615","18630","39550","35710"
"In post","2023","Declared non-disabled","Greater Manchester","Outside London","13970","13210","34800","30410"
"In post","2023","Declared non-disabled","Hampshire and Isle of Wight","Outside London","9430","8775","35610","32060"
"In post","2023","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","Outside London","2715","2535","31110","28120"
"In post","2023","Declared non-disabled","Highlands and Islands","Outside London","1370","1285","31640","28120"
"In post","2023","Declared non-disabled","Inner London - East","London","11145","10655","45410","39790"
"In post","2023","Declared non-disabled","Inner London - West","London","35915","34835","50790","47420"
"In post","2023","Declared non-disabled","Kent","Outside London","5610","5235","31570","30810"
"In post","2023","Declared non-disabled","Lancashire","Outside London","10055","9210","31410","28120"
"In post","2023","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","Outside London","4110","3765","30250","28120"
"In post","2023","Declared non-disabled","Lincolnshire","Outside London","2020","1900","31080","28120"
"In post","2023","Declared non-disabled","Merseyside","Outside London","14070","13010","31810","28120"
"In post","2023","Declared non-disabled","North Eastern Scotland","Outside London","1065","990","40690","33390"
"In post","2023","Declared non-disabled","North Yorkshire","Outside London","3135","2980","34980","31260"
"In post","2023","Declared non-disabled","Northern Ireland","Outside London","2605","2475","31750","28130"
"In post","2023","Declared non-disabled","Northumberland, and Tyne and Wear","Outside London","15385","14050","32500","28120"
"In post","2023","Declared non-disabled","Outer London - East and North East","London","2875","2650","33060","32520"
"In post","2023","Declared non-disabled","Outer London - South","London","7715","7295","41090","36180"
"In post","2023","Declared non-disabled","Outer London - West and North West","London","5795","5385","35190","32520"
"In post","2023","Declared non-disabled","Overseas","Overseas","1950","1945","51790","48980"
"In post","2023","Declared non-disabled","Shropshire and Staffordshire","Outside London","6090","5725","33910","30440"
"In post","2023","Declared non-disabled","South Yorkshire","Outside London","7135","6520","34540","30810"
"In post","2023","Declared non-disabled","Southern Scotland","Outside London","3285","2995","31360","28120"
"In post","2023","Declared non-disabled","Surrey, East and West Sussex","Outside London","5875","5400","33600","29730"
"In post","2023","Declared non-disabled","Tees Valley and Durham","Outside London","6850","6285","31400","28130"
"In post","2023","Declared non-disabled","Unknown","Unknown","590","560","35920","28880"
"In post","2023","Declared non-disabled","West Central Scotland","Outside London","12235","11420","34390","29100"
"In post","2023","Declared non-disabled","West Midlands","Outside London","13325","12355","33270","28120"
"In post","2023","Declared non-disabled","West Wales and The Valleys","Outside London","12355","11280","31060","28120"
"In post","2023","Declared non-disabled","West Yorkshire","Outside London","12370","11510","35150","31270"
"In post","2023","Undeclared","Bedfordshire and Hertfordshire","Outside London","255","245","35180","32420"
"In post","2023","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","Outside London","775","725","38480","35710"
"In post","2023","Undeclared","Cheshire","Outside London","265","245","32730","31660"
"In post","2023","Undeclared","Cornwall and Isles of Scilly","Outside London","90","80","29980","28120"
"In post","2023","Undeclared","Cumbria","Outside London","135","120","28930","25920"
"In post","2023","Undeclared","Derbyshire and Nottinghamshire","Outside London","800","745","34330","31780"
"In post","2023","Undeclared","Devon","Outside London","445","405","32290","29050"
"In post","2023","Undeclared","Dorset and Somerset","Outside London","375","345","32910","31150"
"In post","2023","Undeclared","East Anglia","Outside London","1010","925","34050","32910"
"In post","2023","Undeclared","East Wales","Outside London","875","820","34430","31060"
"In post","2023","Undeclared","East Yorkshire and Northern Lincolnshire","Outside London","365","330","32480","32920"
"In post","2023","Undeclared","Eastern Scotland","Outside London","550","515","35710","29730"
"In post","2023","Undeclared","Essex","Outside London","245","225","33640","31280"
"In post","2023","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1785","1690","40820","38560"
"In post","2023","Undeclared","Greater Manchester","Outside London","1235","1160","34310","32160"
"In post","2023","Undeclared","Hampshire and Isle of Wight","Outside London","930","855","33650","32060"
"In post","2023","Undeclared","Herefordshire, Worcestershire and Warwickshire","Outside London","375","350","32180","30410"
"In post","2023","Undeclared","Highlands and Islands","Outside London","45","40","30690","27450"
"In post","2023","Undeclared","Inner London - East","London","1055","1005","44620","39450"
"In post","2023","Undeclared","Inner London - West","London","3170","3085","49590","45750"
"In post","2023","Undeclared","Kent","Outside London","655","610","32290","31280"
"In post","2023","Undeclared","Lancashire","Outside London","950","865","31410","28120"
"In post","2023","Undeclared","Leicestershire, Rutland and Northamptonshire","Outside London","415","385","30320","28120"
"In post","2023","Undeclared","Lincolnshire","Outside London","245","230","31440","29050"
"In post","2023","Undeclared","Merseyside","Outside London","895","825","32980","28130"
"In post","2023","Undeclared","North Eastern Scotland","Outside London","50","50","45480","32950"
