"Status","Year","Disability","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Commercial","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","Female","55","50","29890","28120"
"In post","2023","Declared disabled","Asian","Counter Fraud","Male","45","40","30270","28120"
"In post","2023","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Female","45","45","44250","41240"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Male","80","80","43070","39170"
"In post","2023","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Finance","Female","35","35","39340","36520"
"In post","2023","Declared disabled","Asian","Finance","Male","30","30","42300","39580"
"In post","2023","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Female","80","75","40440","39150"
"In post","2023","Declared disabled","Asian","Human Resources","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Female","65","60","51500","52020"
"In post","2023","Declared disabled","Asian","Legal","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Medicine","Male","[c]","[c]","[c]","[c]"
