"Status","Year","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","95","95","34080","30130"
"In post","2023","Analysis","Cabinet Office","Outside London","40","40","33090","32960"
"In post","2023","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","195","185","69680","65800"
"In post","2023","Analysis","Chancellor's other departments","Outside London","20","15","62250","67430"
"In post","2023","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Outside London","15","15","31120","30170"
"In post","2023","Analysis","Competition and Markets Authority","London","125","120","64110","58050"
"In post","2023","Analysis","Competition and Markets Authority","Outside London","15","15","55620","55130"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","210","210","44280","37550"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","110","110","39490","37350"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","120","120","51290","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Outside London","25","25","43750","38680"
"In post","2023","Analysis","Department for Education","London","230","215","50870","47320"
"In post","2023","Analysis","Department for Education","Outside London","375","360","43790","43250"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Outside London","545","520","35470","30820"
"In post","2023","Analysis","Department for International Trade","London","245","240","49200","55370"
"In post","2023","Analysis","Department for International Trade","Outside London","10","10","39400","31930"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","210","205","49480","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Outside London","60","60","42380","41560"
"In post","2023","Analysis","Department for Transport","London","320","310","51080","55230"
"In post","2023","Analysis","Department for Transport","Outside London","95","90","35490","32790"
"In post","2023","Analysis","Department for Work and Pensions","London","225","215","50310","43760"
"In post","2023","Analysis","Department for Work and Pensions","Outside London","455","425","42880","38470"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","London","150","145","44750","41480"
"In post","2023","Analysis","Department of Health and Social Care","Outside London","90","90","47270","50830"
"In post","2023","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","15","15","39630","39790"
"In post","2023","Analysis","Food Standards Agency","Outside London","35","35","38660","37910"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","London","45","40","53970","55850"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","10","10","57230","59150"
"In post","2023","Analysis","HM Land Registry","Outside London","20","20","42390","39520"
"In post","2023","Analysis","HM Revenue and Customs","London","430","415","53040","45960"
"In post","2023","Analysis","HM Revenue and Customs","Outside London","410","395","44560","42140"
"In post","2023","Analysis","HM Treasury","London","210","205","47050","43320"
"In post","2023","Analysis","HM Treasury","Outside London","20","20","39390","33630"
"In post","2023","Analysis","Home Office","London","475","465","46750","43700"
"In post","2023","Analysis","Home Office","Outside London","105","100","40180","39000"
"In post","2023","Analysis","Ministry of Defence","London","140","140","46890","45750"
"In post","2023","Analysis","Ministry of Defence","Outside London","1230","1185","43710","41000"
"In post","2023","Analysis","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","London","565","545","49030","43650"
"In post","2023","Analysis","Ministry of Justice","Outside London","200","190","39290","37680"
"In post","2023","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","London","35","30","48530","36330"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","140","130","41310","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","London","110","110","49660","46250"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Outside London","55","55","43540","39250"
"In post","2023","Analysis","Office of Rail and Road","London","30","30","58950","57140"
"In post","2023","Analysis","Office of Rail and Road","Outside London","30","30","50080","52360"
"In post","2023","Analysis","Scottish Government","Outside London","20","20","40080","38170"
"In post","2023","Analysis","UK Export Finance","London","20","20","53170","51570"
"In post","2023","Analysis","UK Statistics Authority","London","175","170","46930","41890"
"In post","2023","Analysis","UK Statistics Authority","Outside London","1750","1670","38800","37760"
"In post","2023","Analysis","Water Services Regulation Authority","London","30","30","59140","48200"
"In post","2023","Analysis","Water Services Regulation Authority","Outside London","20","20","61820","54660"
"In post","2023","Analysis","Welsh Government","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Attorney General's Departments","London","15","15","36980","35190"
"In post","2023","Commercial","Attorney General's Departments","Outside London","30","30","42580","38940"
"In post","2023","Commercial","Cabinet Office","London","835","825","71240","66270"
"In post","2023","Commercial","Cabinet Office","Outside London","1290","1265","59910","56000"
"In post","2023","Commercial","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Chancellor's other departments","London","10","10","53630","49640"
"In post","2023","Commercial","Chancellor's other departments","Outside London","10","10","45710","50000"
"In post","2023","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","London","30","25","47790","45190"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","205","195","43030","43770"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","London","30","30","48130","40040"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport","Outside London","15","15","38700","31880"
"In post","2023","Commercial","Department for Education","London","25","20","53150","55380"
"In post","2023","Commercial","Department for Education","Outside London","265","260","42870","39090"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","London","20","20","37240","40140"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs","Outside London","220","210","36990","37300"
"In post","2023","Commercial","Department for International Trade","London","35","35","39920","38160"
"In post","2023","Commercial","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities","London","30","30","44520","41820"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities","Outside London","15","15","42590","42160"
"In post","2023","Commercial","Department for Transport","London","120","115","53870","55190"
"In post","2023","Commercial","Department for Transport","Outside London","280","255","35160","31660"
"In post","2023","Commercial","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions","Outside London","90","85","36940","34170"
"In post","2023","Commercial","Department of Health and Social Care","London","125","125","47320","42120"
"In post","2023","Commercial","Department of Health and Social Care","Outside London","125","120","44780","38880"
"In post","2023","Commercial","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Food Standards Agency","Outside London","15","15","37420","37720"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","London","35","35","51430","45260"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","Outside London","130","125","41610","40560"
"In post","2023","Commercial","Foreign, Commonwealth and Development Office","Overseas","5","5","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","London","5","5","[c]","[c]"
"In post","2023","Commercial","HM Land Registry","Outside London","15","15","43660","39520"
"In post","2023","Commercial","HM Revenue and Customs","London","10","5","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs","Outside London","140","135","39130","41780"
"In post","2023","Commercial","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","London","60","60","43370","43210"
"In post","2023","Commercial","Home Office","Outside London","60","60","38240","39190"
"In post","2023","Commercial","Ministry of Defence","London","60","55","42590","38680"
"In post","2023","Commercial","Ministry of Defence","Outside London","2135","2050","39350","35800"
"In post","2023","Commercial","Ministry of Defence","Overseas","25","25","70880","70090"
"In post","2023","Commercial","Ministry of Justice","London","105","105","41910","43650"
"In post","2023","Commercial","Ministry of Justice","Outside London","175","175","32440","31270"
"In post","2023","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","London","10","10","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","Outside London","20","20","47960","47380"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","15","15","36140","27140"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scottish Government","Outside London","105","105","36070","31970"
"In post","2023","Commercial","The National Archives","London","40","35","32340","24640"
"In post","2023","Commercial","UK Export Finance","London","205","200","53740","48320"
"In post","2023","Commercial","UK Export Finance","Outside London","25","20","54890","52100"
"In post","2023","Commercial","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","Outside London","35","35","44100","39060"
"In post","2023","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Departments","London","65","60","44020","40540"
"In post","2023","Communications","Attorney General's Departments","Outside London","20","20","39690","41320"
"In post","2023","Communications","Cabinet Office","London","240","235","52120","44770"
"In post","2023","Communications","Cabinet Office","Outside London","25","25","41800","40450"
"In post","2023","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Chancellor's other departments","London","25","25","47440","45690"
"In post","2023","Communications","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Charity Commission","London","10","10","51790","52240"
"In post","2023","Communications","Charity Commission","Outside London","15","15","33020","30230"
"In post","2023","Communications","Competition and Markets Authority","London","25","25","47420","42920"
"In post","2023","Communications","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy","London","120","120","49080","46110"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy","Outside London","130","125","38990","37420"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport","London","45","45","54300","53030"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport","Outside London","10","10","42690","35620"
"In post","2023","Communications","Department for Education","London","125","120","46860","46600"
"In post","2023","Communications","Department for Education","Outside London","160","150","37390","34750"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","London","100","100","45670","40260"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","Outside London","185","170","37470","37300"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for International Trade","London","100","100","47850","41750"
"In post","2023","Communications","Department for International Trade","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities","London","85","80","50410","46920"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities","Outside London","15","15","36680","36300"
"In post","2023","Communications","Department for Transport","London","70","70","49750","43750"
"In post","2023","Communications","Department for Transport","Outside London","145","135","34410","31660"
"In post","2023","Communications","Department for Work and Pensions","London","120","115","45780","44360"
