"Status","Year","Organisation","Parent_department","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Birmingham","60","55","32240","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Bristol, City of","35","35","33170","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Cardiff and Vale of Glamorgan","75","70","30780","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Glasgow City","85","75","31920","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Leeds","60","55","33250","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Manchester","135","125","31910","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","North Hampshire","15","15","35080","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Nottingham","95","90","30080","29500"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Suffolk CC","35","35","34570","33680"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Tyneside","125","115","30690","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Wandsworth","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Westminster","80","75","41050","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","South Nottinghamshire","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","West Surrey","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Worcestershire CC","10","10","30720","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Aberdeen City and Aberdeenshire","10","10","32000","26710"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Bristol, City of","70","70","24440","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cambridgeshire CC","25","25","32100","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cardiff and Vale of Glamorgan","85","85","27500","22580"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Central Hampshire","30","30","31200","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cheshire East","20","20","33020","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cornwall and Isles of Scilly","45","40","27350","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Devon CC","175","165","25620","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Dorset","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Cumbria","160","150","24560","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Kent","35","35","30140","29740"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Riding of Yorkshire","30","25","29300","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Gloucestershire CC","45","40","29470","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Gwynedd","60","50","26530","24050"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Harrow and Hillingdon","10","10","37980","35390"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Heart of Essex","30","30","31390","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Hertfordshire CC","10","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Hounslow and Richmond upon Thames","45","45","34840","32720"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Inverness and Nairn, Moray, and Badenoch and Strathspey","15","15","24750","24030"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Leicestershire CC and Rutland","15","15","31430","28010"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Lincolnshire CC","20","15","33820","32220"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Manchester","20","20","30710","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Mid Kent","25","25","30550","29150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Mid Lancashire","90","80","29850","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","North Yorkshire CC","110","105","30300","26030"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","North and West Norfolk","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Norwich and East Norfolk","10","10","30050","28590"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Nottingham","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Oxfordshire CC","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Perth and Kinross, and Stirling","35","35","26910","24230"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Powys","15","15","35440","31010"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Scottish Borders","10","10","31180","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Shropshire","25","25","30830","26850"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Somerset CC","15","15","32720","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South Ayrshire","10","10","26800","24030"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South Lanarkshire","10","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South West Wales","120","110","26680","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South and West Derbyshire","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Staffordshire CC","85","85","25780","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Suffolk CC","30","30","31020","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Tyneside","30","30","32280","28370"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Surrey","165","155","32930","29080"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Sussex (North East)","20","20","32390","30640"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Westminster","15","15","37850","29570"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Wiltshire","10","10","31150","26850"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Worcestershire CC","115","105","28150","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","York","125","125","26700","24920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","West Surrey","15","15","37140","40260"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
