"Status","Year","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","AA/AO","Heterosexual / straight","85590","77400","24290","22520"
"In post","2023","AA/AO","LGBO","5660","5405","24650","22520"
"In post","2023","AA/AO","Undeclared","10380","9150","23900","22500"
"In post","2023","AA/AO","Unknown","34970","31600","24270","22520"
"In post","2023","EO","Heterosexual / straight","84540","78365","29030","28120"
"In post","2023","EO","LGBO","5405","5230","28840","28120"
"In post","2023","EO","Undeclared","10545","9615","29140","28120"
"In post","2023","EO","Unknown","26845","24930","29160","28120"
"In post","2023","G6/G7","Heterosexual / straight","53295","51425","60600","58370"
"In post","2023","G6/G7","LGBO","3760","3695","59860","57830"
"In post","2023","G6/G7","Undeclared","6135","5910","61030","58940"
"In post","2023","G6/G7","Unknown","12035","11580","60880","58970"
"In post","2023","SCS level","Heterosexual / straight","5350","5175","91950","83550"
"In post","2023","SCS level","LGBO","405","400","88780","80790"
"In post","2023","SCS level","Undeclared","490","470","91860","84150"
"In post","2023","SCS level","Unknown","1135","1095","95830","85930"
"In post","2023","SEO/HEO","Heterosexual / straight","102690","98750","38600","37980"
"In post","2023","SEO/HEO","LGBO","7220","7085","37830","37300"
"In post","2023","SEO/HEO","Undeclared","12480","11925","38970","38470"
"In post","2023","SEO/HEO","Unknown","25140","24320","38240","37470"
"In post","2023","Unknown","Heterosexual / straight","17735","16615","32140","29050"
"In post","2023","Unknown","LGBO","1320","1285","30020","26840"
"In post","2023","Unknown","Undeclared","1445","1340","34670","33050"
"In post","2023","Unknown","Unknown","5215","4900","33010","29050"
"Leaver CS","2023","AA/AO","Heterosexual / straight","8875","[c]","22490","21690"
"Leaver CS","2023","AA/AO","LGBO","740","[c]","22250","21690"
"Leaver CS","2023","AA/AO","Undeclared","1045","[c]","22640","21690"
"Leaver CS","2023","AA/AO","Unknown","6605","[c]","22730","21780"
"Leaver CS","2023","EO","Heterosexual / straight","6245","[c]","28550","28120"
"Leaver CS","2023","EO","LGBO","515","[c]","28340","28080"
"Leaver CS","2023","EO","Undeclared","820","[c]","28640","28120"
"Leaver CS","2023","EO","Unknown","2860","[c]","28400","28120"
"Leaver CS","2023","G6/G7","Heterosexual / straight","2985","[c]","60730","58140"
"Leaver CS","2023","G6/G7","LGBO","280","[c]","59450","56770"
"Leaver CS","2023","G6/G7","Undeclared","435","[c]","61270","59200"
"Leaver CS","2023","G6/G7","Unknown","1490","[c]","60680","58620"
"Leaver CS","2023","SCS level","Heterosexual / straight","450","[c]","99170","91840"
"Leaver CS","2023","SCS level","LGBO","35","[c]","91990","85810"
"Leaver CS","2023","SCS level","Undeclared","45","[c]","88940","89260"
"Leaver CS","2023","SCS level","Unknown","195","[c]","103440","92900"
"Leaver CS","2023","SEO/HEO","Heterosexual / straight","5810","[c]","38390","37720"
"Leaver CS","2023","SEO/HEO","LGBO","510","[c]","37020","36330"
"Leaver CS","2023","SEO/HEO","Undeclared","875","[c]","39130","38720"
"Leaver CS","2023","SEO/HEO","Unknown","2885","[c]","37570","37590"
"Leaver CS","2023","Unknown","Heterosexual / straight","1355","[c]","40070","34820"
"Leaver CS","2023","Unknown","LGBO","135","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Undeclared","130","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","760","[c]","36540","33690"
"Leaver Dept.","2023","AA/AO","Heterosexual / straight","1410","[c]","22230","21690"
"Leaver Dept.","2023","AA/AO","LGBO","145","[c]","22170","21690"
"Leaver Dept.","2023","AA/AO","Undeclared","150","[c]","22350","21780"
"Leaver Dept.","2023","AA/AO","Unknown","1000","[c]","22570","22060"
"Leaver Dept.","2023","EO","Heterosexual / straight","2330","[c]","28180","28120"
"Leaver Dept.","2023","EO","LGBO","220","[c]","27930","28120"
"Leaver Dept.","2023","EO","Undeclared","230","[c]","28270","28120"
"Leaver Dept.","2023","EO","Unknown","785","[c]","27930","27890"
"Leaver Dept.","2023","G6/G7","Heterosexual / straight","1555","[c]","58140","56180"
"Leaver Dept.","2023","G6/G7","LGBO","170","[c]","57740","55370"
"Leaver Dept.","2023","G6/G7","Undeclared","230","[c]","58720","56430"
"Leaver Dept.","2023","G6/G7","Unknown","640","[c]","58520","56430"
"Leaver Dept.","2023","SCS level","Heterosexual / straight","260","[c]","90740","82340"
"Leaver Dept.","2023","SCS level","LGBO","20","[c]","[c]","[c]"
"Leaver Dept.","2023","SCS level","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2023","SCS level","Unknown","75","[c]","87790","76740"
"Leaver Dept.","2023","SEO/HEO","Heterosexual / straight","3265","[c]","37050","36180"
"Leaver Dept.","2023","SEO/HEO","LGBO","375","[c]","36880","36050"
"Leaver Dept.","2023","SEO/HEO","Undeclared","435","[c]","37330","36330"
"Leaver Dept.","2023","SEO/HEO","Unknown","1855","[c]","35200","33550"
"Leaver Dept.","2023","Unknown","Heterosexual / straight","120","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","35","[c]","[c]","[c]"
"New entrant CS","2023","AA/AO","Heterosexual / straight","12095","[c]","24060","22520"
"New entrant CS","2023","AA/AO","LGBO","1360","[c]","23910","22520"
"New entrant CS","2023","AA/AO","Undeclared","740","[c]","23440","22500"
"New entrant CS","2023","AA/AO","Unknown","11755","[c]","23830","22500"
"New entrant CS","2023","EO","Heterosexual / straight","4780","[c]","27920","27760"
"New entrant CS","2023","EO","LGBO","655","[c]","27450","27650"
"New entrant CS","2023","EO","Undeclared","450","[c]","27670","27420"
"New entrant CS","2023","EO","Unknown","4955","[c]","27600","26960"
"New entrant CS","2023","G6/G7","Heterosexual / straight","2220","[c]","58210","55000"
"New entrant CS","2023","G6/G7","LGBO","200","[c]","57780","54690"
"New entrant CS","2023","G6/G7","Undeclared","220","[c]","56260","54490"
"New entrant CS","2023","G6/G7","Unknown","970","[c]","60400","56590"
"New entrant CS","2023","SCS level","Heterosexual / straight","155","[c]","98400","91000"
"New entrant CS","2023","SCS level","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2023","SCS level","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2023","SCS level","Unknown","120","[c]","110290","99430"
"New entrant CS","2023","SEO/HEO","Heterosexual / straight","6440","[c]","37080","35800"
"New entrant CS","2023","SEO/HEO","LGBO","750","[c]","35960","34850"
"New entrant CS","2023","SEO/HEO","Undeclared","630","[c]","36730","35130"
"New entrant CS","2023","SEO/HEO","Unknown","3740","[c]","35820","35000"
"New entrant CS","2023","Unknown","Heterosexual / straight","2685","[c]","23990","23640"
"New entrant CS","2023","Unknown","LGBO","345","[c]","23010","23640"
"New entrant CS","2023","Unknown","Undeclared","125","[c]","24280","23640"
"New entrant CS","2023","Unknown","Unknown","1340","[c]","23400","23640"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
