"Status","Year","Disability","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scotland","10","5","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","25","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","25","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","30","30","31380","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","20","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","15","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","20","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","15","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","East of England","20","20","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","North East (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","North West (England)","50","45","27730","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Scotland","25","25","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","South East (England)","100","95","32580","29120"
"In post","2023","Declared disabled","Animal and Plant Health Agency","South West (England)","60","60","26790","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Wales","45","40","28620","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","West Midlands (England)","45","45","30040","25920"
