"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","G6/G7","35","35","61520","60490"
"In post","2023","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","SEO/HEO","55","55","39890","41750"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","SEO/HEO","10","10","40350","39590"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","G6/G7","10","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","SEO/HEO","10","10","37760","37760"
"In post","2023","Analysis","Digital, Data and Technology","Wales","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Wales","SEO/HEO","10","10","39130","38690"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","SEO/HEO","10","10","35210","34920"
"In post","2023","Analysis","Economics","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","AA/AO","25","25","25020","23210"
"In post","2023","Analysis","Economics","London","EO","110","110","28710","28850"
"In post","2023","Analysis","Economics","London","G6/G7","620","605","61610","58960"
"In post","2023","Analysis","Economics","London","SCS level","80","75","93120","84240"
"In post","2023","Analysis","Economics","London","SEO/HEO","520","515","37990","36580"
"In post","2023","Analysis","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","AA/AO","10","10","21710","21200"
"In post","2023","Analysis","Economics","North East (England)","EO","10","10","25090","24840"
"In post","2023","Analysis","Economics","North East (England)","G6/G7","10","10","61640","60120"
"In post","2023","Analysis","Economics","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North East (England)","SEO/HEO","15","15","33410","31930"
"In post","2023","Analysis","Economics","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","EO","20","20","26990","27650"
"In post","2023","Analysis","Economics","North West (England)","G6/G7","25","25","57660","55780"
"In post","2023","Analysis","Economics","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","North West (England)","SEO/HEO","55","55","36730","34850"
"In post","2023","Analysis","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","G6/G7","15","15","59180","55290"
"In post","2023","Analysis","Economics","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","SEO/HEO","20","20","35680","34510"
"In post","2023","Analysis","Economics","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","G6/G7","10","10","[c]","[c]"
"In post","2023","Analysis","Economics","South East (England)","SEO/HEO","20","20","32940","31560"
"In post","2023","Analysis","Economics","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","South West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","AA/AO","20","20","21390","21200"
"In post","2023","Analysis","Economics","Wales","EO","10","10","24840","24840"
"In post","2023","Analysis","Economics","Wales","G6/G7","30","25","56540","52490"
"In post","2023","Analysis","Economics","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","SEO/HEO","55","55","34110","31560"
"In post","2023","Analysis","Economics","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","West Midlands (England)","G6/G7","10","10","77470","76500"
"In post","2023","Analysis","Economics","West Midlands (England)","SEO/HEO","20","20","38510","36230"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","G6/G7","25","25","58500","54200"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Yorkshire and The Humber","SEO/HEO","20","20","35540","33470"
"In post","2023","Analysis","Finance","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","G6/G7","20","20","62900","58330"
"In post","2023","Analysis","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","SEO/HEO","25","25","41960","43210"
"In post","2023","Analysis","Intelligence Analysis","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","North West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South West (England)","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","South West (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Wales","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Wales","SEO/HEO","20","20","36590","35230"
"In post","2023","Analysis","Intelligence Analysis","West Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","G6/G7","10","10","61270","59390"
"In post","2023","Analysis","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","SEO/HEO","10","10","41230","42250"
"In post","2023","Analysis","Knowledge and Information Management","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
