"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicester","10","10","32970","30070"
"In post","2023","Commercial","East Midlands (England)","Leicestershire CC and Rutland","10","10","49890","46310"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire CC","15","15","40270","38460"
"In post","2023","Commercial","East Midlands (England)","North Northamptonshire","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Nottinghamshire","10","10","48880","48660"
"In post","2023","Commercial","East Midlands (England)","Nottingham","50","50","47950","42210"
"In post","2023","Commercial","East Midlands (England)","South Nottinghamshire","10","10","41500","38610"
"In post","2023","Commercial","East Midlands (England)","South and West Derbyshire","25","25","53750","55290"
"In post","2023","Commercial","East Midlands (England)","West Northamptonshire","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Cambridgeshire CC","65","60","41000","38460"
"In post","2023","Commercial","East of England","Central Bedfordshire","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Hertfordshire CC","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","North and West Norfolk","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Norwich and East Norfolk","90","85","44480","40570"
"In post","2023","Commercial","East of England","Peterborough","50","50","52010","46860"
"In post","2023","Commercial","East of England","Suffolk CC","25","25","46320","46110"
"In post","2023","Commercial","East of England","West Essex","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Barnet","15","15","46120","42040"
"In post","2023","Commercial","London","Bexley and Greenwich","10","10","[c]","[c]"
"In post","2023","Commercial","London","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Croydon","145","145","48810","43660"
"In post","2023","Commercial","London","Enfield","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Hackney and Newham","10","10","60210","65500"
"In post","2023","Commercial","London","Haringey and Islington","[c]","[c]","[c]","[c]"
