"Status","Year","Age","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Female","25","25","[c]","[c]"
"In post","2023","16-19","Analysis","Male","35","35","25580","24920"
"In post","2023","16-19","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Female","5","5","[c]","[c]"
"In post","2023","16-19","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Male","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Female","25","25","[c]","[c]"
"In post","2023","16-19","Debt","Male","30","30","22540","22520"
"In post","2023","16-19","Digital, Data & Technology","Female","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Male","30","30","23660","22750"
"In post","2023","16-19","Finance","Female","15","15","[c]","[c]"
"In post","2023","16-19","Finance","Male","20","20","[c]","[c]"
"In post","2023","16-19","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Male","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","Female","15","15","[c]","[c]"
"In post","2023","16-19","Human Resources","Male","5","5","[c]","[c]"
"In post","2023","16-19","Legal","Female","45","45","21390","20980"
"In post","2023","16-19","Legal","Male","15","15","[c]","[c]"
"In post","2023","16-19","No function","Female","475","455","23820","22520"
"In post","2023","16-19","No function","Male","450","430","23340","22520"
"In post","2023","16-19","Project Delivery","Female","10","10","[c]","[c]"
"In post","2023","16-19","Project Delivery","Male","25","25","[c]","[c]"
"In post","2023","16-19","Property","Female","10","10","[c]","[c]"
"In post","2023","16-19","Property","Male","40","40","23100","22640"
"In post","2023","16-19","Security","Female","5","5","[c]","[c]"
"In post","2023","16-19","Security","Male","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Female","55","55","22490","22180"
"In post","2023","16-19","Unknown","Male","60","60","21310","22180"
"In post","2023","20-29","Analysis","Female","1745","1730","37440","35410"
"In post","2023","20-29","Analysis","Male","1950","1945","37810","35410"
"In post","2023","20-29","Analysis","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Female","650","645","35780","33020"
"In post","2023","20-29","Commercial","Male","555","555","35350","32500"
"In post","2023","20-29","Communications","Female","555","555","36290","35410"
"In post","2023","20-29","Communications","Male","295","295","36730","35240"
"In post","2023","20-29","Counter Fraud","Female","1100","1085","30550","28120"
"In post","2023","20-29","Counter Fraud","Male","900","900","30840","28130"
"In post","2023","20-29","Debt","Female","900","855","23400","22520"
"In post","2023","20-29","Debt","Male","820","810","23480","22520"
"In post","2023","20-29","Digital, Data & Technology","Female","1565","1555","35660","34400"
"In post","2023","20-29","Digital, Data & Technology","Male","2440","2425","35120","33990"
"In post","2023","20-29","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Female","825","810","32840","30430"
"In post","2023","20-29","Finance","Male","895","890","33760","31920"
"In post","2023","20-29","Grants Management","Female","235","225","24600","22150"
"In post","2023","20-29","Grants Management","Male","195","190","24090","22150"
"In post","2023","20-29","Human Resources","Female","1195","1175","33400","31060"
"In post","2023","20-29","Human Resources","Male","480","475","32030","29500"
"In post","2023","20-29","Internal Audit","Female","30","25","[c]","[c]"
"In post","2023","20-29","Internal Audit","Male","25","25","[c]","[c]"
"In post","2023","20-29","Legal","Female","1385","1370","32450","28120"
"In post","2023","20-29","Legal","Male","595","595","33240","28200"
"In post","2023","20-29","No function","Female","31610","30885","30110","28120"
"In post","2023","20-29","No function","Male","22585","22415","30560","28460"
"In post","2023","20-29","Project Delivery","Female","1805","1790","35240","33830"
"In post","2023","20-29","Project Delivery","Male","1530","1530","34850","32910"
"In post","2023","20-29","Property","Female","540","525","29540","27140"
"In post","2023","20-29","Property","Male","570","570","30560","28720"
"In post","2023","20-29","Security","Female","430","425","31360","28410"
"In post","2023","20-29","Security","Male","880","880","29840","28050"
"In post","2023","20-29","Unknown","Female","3150","3100","31650","30130"
"In post","2023","20-29","Unknown","Male","2705","2690","31390","30130"
"In post","2023","30-39","Analysis","Female","1365","1285","46620","43650"
"In post","2023","30-39","Analysis","Male","1505","1485","47990","45170"
"In post","2023","30-39","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","Female","965","920","42570","39580"
"In post","2023","30-39","Commercial","Male","800","795","47330","42620"
"In post","2023","30-39","Communications","Female","760","730","45870","43000"
"In post","2023","30-39","Communications","Male","460","460","46220","43670"
"In post","2023","30-39","Counter Fraud","Female","1745","1630","33170","31280"
"In post","2023","30-39","Counter Fraud","Male","1790","1785","35040","34170"
"In post","2023","30-39","Debt","Female","895","770","24300","22520"
"In post","2023","30-39","Debt","Male","700","685","24300","22520"
"In post","2023","30-39","Digital, Data & Technology","Female","2520","2425","42670","39650"
"In post","2023","30-39","Digital, Data & Technology","Male","3885","3860","43270","40640"
"In post","2023","30-39","Finance","Female","1405","1315","40960","38030"
"In post","2023","30-39","Finance","Male","1235","1225","43660","40180"
"In post","2023","30-39","Grants Management","Female","275","245","26580","22150"
"In post","2023","30-39","Grants Management","Male","220","215","26150","22150"
"In post","2023","30-39","Human Resources","Female","2050","1935","39080","35000"
"In post","2023","30-39","Human Resources","Male","960","955","38900","35410"
"In post","2023","30-39","Internal Audit","Female","75","75","42570","41800"
"In post","2023","30-39","Internal Audit","Male","55","55","48330","43940"
"In post","2023","30-39","Legal","Female","2095","1960","48390","52020"
"In post","2023","30-39","Legal","Male","1055","1045","49450","52020"
"In post","2023","30-39","No function","Female","40210","36870","33780","30020"
"In post","2023","30-39","No function","Male","33220","32840","35130","32000"
"In post","2023","30-39","Project Delivery","Female","2730","2600","44250","41480"
"In post","2023","30-39","Project Delivery","Male","2470","2460","45390","42230"
"In post","2023","30-39","Property","Female","705","665","35750","33830"
"In post","2023","30-39","Property","Male","720","715","37010","34300"
"In post","2023","30-39","Security","Female","535","515","36260","34310"
"In post","2023","30-39","Security","Male","1370","1370","35300","33470"
"In post","2023","30-39","Unknown","Female","4095","3850","40380","38330"
"In post","2023","30-39","Unknown","Male","3460","3435","40160","38330"
"In post","2023","40-49","Analysis","Female","970","865","50620","49400"
"In post","2023","40-49","Analysis","Male","1070","1045","52270","49700"
"In post","2023","40-49","Commercial","Female","1065","1010","50320","43300"
"In post","2023","40-49","Commercial","Male","835","835","54610","52150"
"In post","2023","40-49","Communications","Female","635","580","48810","44000"
"In post","2023","40-49","Communications","Male","415","410","50210","45730"
"In post","2023","40-49","Counter Fraud","Female","1970","1790","33860","32520"
"In post","2023","40-49","Counter Fraud","Male","1790","1775","36750","34700"
"In post","2023","40-49","Debt","Female","940","795","24970","22520"
"In post","2023","40-49","Debt","Male","515","500","24860","22520"
"In post","2023","40-49","Digital, Data & Technology","Female","2595","2465","45020","41780"
"In post","2023","40-49","Digital, Data & Technology","Male","4400","4370","47690","43760"
"In post","2023","40-49","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Female","1855","1725","42290","38470"
"In post","2023","40-49","Finance","Male","1385","1375","46940","42170"
"In post","2023","40-49","Grants Management","Female","475","405","26970","25920"
"In post","2023","40-49","Grants Management","Male","300","295","26720","22150"
"In post","2023","40-49","Human Resources","Female","2380","2240","42060","38460"
"In post","2023","40-49","Human Resources","Male","1165","1155","42030","37360"
"In post","2023","40-49","Internal Audit","Female","100","95","46620","44280"
"In post","2023","40-49","Internal Audit","Male","80","80","52570","51350"
"In post","2023","40-49","Legal","Female","2380","2115","51820","54100"
"In post","2023","40-49","Legal","Male","1120","1105","53690","54680"
"In post","2023","40-49","No function","Female","42245","37860","34460","28770"
"In post","2023","40-49","No function","Male","30360","29850","36720","32160"
"In post","2023","40-49","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Project Delivery","Female","2935","2760","47940","42510"
"In post","2023","40-49","Project Delivery","Male","2655","2640","50780","48910"
"In post","2023","40-49","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Property","Female","935","870","38380","34700"
"In post","2023","40-49","Property","Male","1010","1005","40920","38560"
"In post","2023","40-49","Security","Female","595","565","38200","35110"
"In post","2023","40-49","Security","Male","1535","1530","37850","39190"
"In post","2023","40-49","Unknown","Female","4235","3935","45700","41640"
"In post","2023","40-49","Unknown","Male","3420","3385","47570","43760"
"In post","2023","50-59","Analysis","Female","535","495","47370","42060"
"In post","2023","50-59","Analysis","Male","755","740","53280","49400"
"In post","2023","50-59","Commercial","Female","955","915","49350","43000"
"In post","2023","50-59","Commercial","Male","930","920","58960","54510"
"In post","2023","50-59","Communications","Female","440","420","44020","40350"
"In post","2023","50-59","Communications","Male","355","350","44800","39260"
"In post","2023","50-59","Counter Fraud","Female","3075","2820","33370","30930"
"In post","2023","50-59","Counter Fraud","Male","2490","2435","36940","34370"
"In post","2023","50-59","Debt","Female","1275","1100","25460","22520"
"In post","2023","50-59","Debt","Male","660","635","26140","22520"
"In post","2023","50-59","Digital, Data & Technology","Female","2460","2345","43590","40080"
"In post","2023","50-59","Digital, Data & Technology","Male","4420","4370","47020","42940"
"In post","2023","50-59","Finance","Female","2325","2160","39530","35240"
"In post","2023","50-59","Finance","Male","1610","1580","46190","42510"
"In post","2023","50-59","Grants Management","Female","370","335","27590","25920"
"In post","2023","50-59","Grants Management","Male","275","265","28710","25920"
"In post","2023","50-59","Human Resources","Female","2655","2535","41920","37680"
"In post","2023","50-59","Human Resources","Male","1855","1840","40150","34770"
"In post","2023","50-59","Internal Audit","Female","140","135","50100","46200"
"In post","2023","50-59","Internal Audit","Male","130","125","53260","51350"
"In post","2023","50-59","Legal","Female","2280","2080","48800","51270"
"In post","2023","50-59","Legal","Male","1335","1310","54370","56450"
"In post","2023","50-59","No function","Female","51685","46690","32000","28120"
"In post","2023","50-59","No function","Male","38705","37415","35910","32060"
"In post","2023","50-59","Project Delivery","Female","3100","2965","47560","42510"
"In post","2023","50-59","Project Delivery","Male","3160","3115","52750","49260"
"In post","2023","50-59","Property","Female","1285","1210","37800","34300"
"In post","2023","50-59","Property","Male","1715","1695","41940","39140"
"In post","2023","50-59","Security","Female","820","790","35310","32200"
"In post","2023","50-59","Security","Male","2565","2540","35890","33990"
"In post","2023","50-59","Unknown","Female","3705","3505","46120","41640"
"In post","2023","50-59","Unknown","Male","3525","3480","48560","44890"
"In post","2023","60-64","Analysis","Female","80","65","40270","39780"
"In post","2023","60-64","Analysis","Male","185","165","49160","49260"
"In post","2023","60-64","Commercial","Female","175","155","42000","40780"
"In post","2023","60-64","Commercial","Male","240","220","54790","45220"
"In post","2023","60-64","Communications","Female","95","85","40490","36610"
"In post","2023","60-64","Communications","Male","90","80","42650","36920"
"In post","2023","60-64","Counter Fraud","Female","960","725","31690","28130"
"In post","2023","60-64","Counter Fraud","Male","765","615","35770","31980"
"In post","2023","60-64","Debt","Female","510","390","25230","22520"
"In post","2023","60-64","Debt","Male","250","215","26090","22520"
"In post","2023","60-64","Digital, Data & Technology","Female","525","455","39850","36810"
"In post","2023","60-64","Digital, Data & Technology","Male","1040","945","43580","40570"
"In post","2023","60-64","Finance","Female","595","485","34700","30240"
"In post","2023","60-64","Finance","Male","400","350","44070","41460"
"In post","2023","60-64","Grants Management","Female","115","90","25310","22150"
"In post","2023","60-64","Grants Management","Male","85","75","27900","22150"
"In post","2023","60-64","Human Resources","Female","625","535","37930","34300"
"In post","2023","60-64","Human Resources","Male","655","605","37080","34300"
"In post","2023","60-64","Internal Audit","Female","40","35","47120","45140"
"In post","2023","60-64","Internal Audit","Male","45","40","49310","46830"
"In post","2023","60-64","Legal","Female","470","385","46170","40130"
"In post","2023","60-64","Legal","Male","350","305","53970","56450"
"In post","2023","60-64","No function","Female","16610","13160","29110","27390"
"In post","2023","60-64","No function","Male","12850","10890","33510","29050"
"In post","2023","60-64","Project Delivery","Female","655","540","43480","39780"
"In post","2023","60-64","Project Delivery","Male","825","715","50070","44530"
"In post","2023","60-64","Property","Female","370","320","32720","28840"
"In post","2023","60-64","Property","Male","620","560","38450","35020"
"In post","2023","60-64","Security","Female","170","145","31150","27430"
"In post","2023","60-64","Security","Male","795","730","30720","24380"
"In post","2023","60-64","Unknown","Female","800","690","41190","38330"
"In post","2023","60-64","Unknown","Male","1015","920","45850","40880"
"In post","2023","65+","Analysis","Female","35","25","34660","30360"
"In post","2023","65+","Analysis","Male","65","50","54500","49260"
"In post","2023","65+","Commercial","Female","40","30","43630","38680"
"In post","2023","65+","Commercial","Male","70","60","48700","44010"
"In post","2023","65+","Communications","Female","20","20","[c]","[c]"
"In post","2023","65+","Communications","Male","25","20","[c]","[c]"
"In post","2023","65+","Counter Fraud","Female","275","185","29380","28120"
"In post","2023","65+","Counter Fraud","Male","270","190","34410","29730"
"In post","2023","65+","Debt","Female","135","95","25000","22520"
"In post","2023","65+","Debt","Male","100","75","25730","22520"
"In post","2023","65+","Digital, Data & Technology","Female","125","105","35090","32530"
"In post","2023","65+","Digital, Data & Technology","Male","320","270","42580","39790"
"In post","2023","65+","Finance","Female","165","130","31600","28820"
"In post","2023","65+","Finance","Male","135","110","39420","36930"
"In post","2023","65+","Grants Management","Female","40","30","23380","22150"
"In post","2023","65+","Grants Management","Male","30","25","[c]","[c]"
"In post","2023","65+","Human Resources","Female","165","130","33510","28290"
"In post","2023","65+","Human Resources","Male","215","190","34890","33470"
"In post","2023","65+","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","Male","10","5","[c]","[c]"
"In post","2023","65+","Legal","Female","125","95","44520","35000"
"In post","2023","65+","Legal","Male","135","100","54870","58880"
"In post","2023","65+","No function","Female","4985","3655","27890","25610"
"In post","2023","65+","No function","Male","4670","3635","32220","28120"
"In post","2023","65+","Project Delivery","Female","135","100","43150","35590"
"In post","2023","65+","Project Delivery","Male","265","220","51040","44990"
"In post","2023","65+","Property","Female","100","85","30740","27810"
"In post","2023","65+","Property","Male","285","250","35970","34300"
"In post","2023","65+","Security","Female","55","45","29870","25900"
"In post","2023","65+","Security","Male","280","240","29550","24010"
"In post","2023","65+","Unknown","Female","235","185","39730","31940"
"In post","2023","65+","Unknown","Male","360","300","45090","39690"
"In post","2023","Unknown","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","Female","15","10","[c]","[c]"
"In post","2023","Unknown","No function","Male","5","5","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Analysis","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Debt","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Digital, Data & Technology","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Grants Management","Male","[c]","[c]","[c]","[c]"
