"Status","Year","Age","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Heterosexual / straight","85","80","23570","22520"
"In post","2023","16-19","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Mixed","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","580","555","23000","22500"
"In post","2023","16-19","White","Heterosexual / straight","585","575","23460","22520"
"In post","2023","16-19","White","LGBO","75","75","23960","22520"
"In post","2023","16-19","White","Undeclared","30","30","[c]","[c]"
"In post","2023","16-19","White","Unknown","25","20","[c]","[c]"
"In post","2023","20-29","Asian","Heterosexual / straight","6250","6125","30690","28130"
"In post","2023","20-29","Asian","LGBO","210","205","34300","33520"
"In post","2023","20-29","Asian","Undeclared","210","205","32230","29840"
"In post","2023","20-29","Asian","Unknown","405","395","30950","28880"
"In post","2023","20-29","Black","Heterosexual / straight","1960","1935","31790","31240"
"In post","2023","20-29","Black","LGBO","90","90","32690","32060"
"In post","2023","20-29","Black","Undeclared","80","80","32660","32520"
"In post","2023","20-29","Black","Unknown","95","95","31860","30130"
"In post","2023","20-29","Mixed","Heterosexual / straight","1855","1820","32470","30890"
"In post","2023","20-29","Mixed","LGBO","315","310","31930","29710"
"In post","2023","20-29","Mixed","Undeclared","145","145","32830","30130"
"In post","2023","20-29","Mixed","Unknown","165","160","31880","29890"
"In post","2023","20-29","Other ethnicity","Heterosexual / straight","400","395","33160","32040"
"In post","2023","20-29","Other ethnicity","LGBO","55","55","34220","32260"
"In post","2023","20-29","Other ethnicity","Undeclared","75","75","38590","34690"
"In post","2023","20-29","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Heterosexual / straight","245","240","31930","29750"
"In post","2023","20-29","Undeclared","LGBO","40","35","30050","28120"
"In post","2023","20-29","Undeclared","Undeclared","770","760","33520","32000"
"In post","2023","20-29","Undeclared","Unknown","150","150","35870","34240"
"In post","2023","20-29","Unknown","Heterosexual / straight","515","505","31070","29420"
"In post","2023","20-29","Unknown","LGBO","60","60","32770","30630"
"In post","2023","20-29","Unknown","Undeclared","460","460","37490","34190"
"In post","2023","20-29","Unknown","Unknown","20965","20630","29980","28000"
"In post","2023","20-29","White","Heterosexual / straight","38695","38200","31670","29490"
"In post","2023","20-29","White","LGBO","6195","6130","31860","29450"
"In post","2023","20-29","White","Undeclared","2390","2355","31860","30080"
"In post","2023","20-29","White","Unknown","2310","2290","30750","28840"
"In post","2023","30-39","Asian","Heterosexual / straight","8525","8105","35930","32520"
"In post","2023","30-39","Asian","LGBO","205","200","39690","38470"
