"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","AA/AO","Female","535","435","23410","22500"
"In post","2023","Declared disabled","Asian","AA/AO","Male","400","370","23880","22520"
"In post","2023","Declared disabled","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","EO","Female","750","660","29600","28370"
"In post","2023","Declared disabled","Asian","EO","Male","450","425","29450","28120"
"In post","2023","Declared disabled","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","G6/G7","Female","200","195","60040","57970"
"In post","2023","Declared disabled","Asian","G6/G7","Male","140","135","60670","59000"
"In post","2023","Declared disabled","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","SEO/HEO","Female","505","480","38320","37950"
"In post","2023","Declared disabled","Asian","SEO/HEO","Male","455","445","38490","37710"
"In post","2023","Declared disabled","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Female","115","105","31120","29050"
"In post","2023","Declared disabled","Asian","Unknown","Male","55","50","30210","29050"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","AA/AO","Female","350","305","25070","25480"
"In post","2023","Declared disabled","Black","AA/AO","Male","145","140","25570","24000"
"In post","2023","Declared disabled","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","EO","Female","570","520","30620","31030"
"In post","2023","Declared disabled","Black","EO","Male","180","170","30660","30500"
"In post","2023","Declared disabled","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","G6/G7","Female","125","125","59330","56660"
"In post","2023","Declared disabled","Black","G6/G7","Male","55","50","59870","58350"
"In post","2023","Declared disabled","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","SEO/HEO","Female","355","345","39160","39150"
"In post","2023","Declared disabled","Black","SEO/HEO","Male","140","140","39030","39150"
"In post","2023","Declared disabled","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Female","235","225","33050","30840"
"In post","2023","Declared disabled","Black","Unknown","Male","70","70","35060","33200"
"In post","2023","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","AA/AO","Female","215","185","23420","22370"
"In post","2023","Declared disabled","Mixed","AA/AO","Male","135","130","25150","22520"
"In post","2023","Declared disabled","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","EO","Female","270","245","29220","28120"
"In post","2023","Declared disabled","Mixed","EO","Male","160","150","29570","28120"
"In post","2023","Declared disabled","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","G6/G7","Female","115","110","59460","56330"
"In post","2023","Declared disabled","Mixed","G6/G7","Male","90","85","60900","59240"
"In post","2023","Declared disabled","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","SEO/HEO","Female","280","270","36980","35410"
"In post","2023","Declared disabled","Mixed","SEO/HEO","Male","165","160","38540","38180"
"In post","2023","Declared disabled","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Female","125","120","32080","30810"
"In post","2023","Declared disabled","Mixed","Unknown","Male","40","40","31480","29050"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","AA/AO","Male","40","35","24540","22500"
"In post","2023","Declared disabled","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","EO","Female","65","60","29970","29660"
"In post","2023","Declared disabled","Other ethnicity","EO","Male","45","40","29540","28300"
"In post","2023","Declared disabled","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","G6/G7","Female","35","30","58890","57940"
"In post","2023","Declared disabled","Other ethnicity","G6/G7","Male","35","35","61540","55790"
"In post","2023","Declared disabled","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","SEO/HEO","Female","70","70","38360","37680"
"In post","2023","Declared disabled","Other ethnicity","SEO/HEO","Male","60","60","37580","37640"
"In post","2023","Declared disabled","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","AA/AO","Female","285","240","22910","21780"
"In post","2023","Declared disabled","Undeclared","AA/AO","Male","305","275","24330","22220"
"In post","2023","Declared disabled","Undeclared","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","EO","Female","380","335","29080","28120"
"In post","2023","Declared disabled","Undeclared","EO","Male","330","310","29310","28120"
"In post","2023","Declared disabled","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","G6/G7","Female","80","75","58890","56910"
"In post","2023","Declared disabled","Undeclared","G6/G7","Male","200","200","58830","57780"
"In post","2023","Declared disabled","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","SEO/HEO","Female","230","220","37710","37070"
"In post","2023","Declared disabled","Undeclared","SEO/HEO","Male","350","335","38490","38070"
"In post","2023","Declared disabled","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","Female","70","65","33130","31450"
"In post","2023","Declared disabled","Undeclared","Unknown","Male","65","65","35520","38290"
"In post","2023","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","Female","255","220","23680","22520"
"In post","2023","Declared disabled","Unknown","AA/AO","Male","165","155","24690","22520"
"In post","2023","Declared disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","EO","Female","220","205","29680","28130"
"In post","2023","Declared disabled","Unknown","EO","Male","175","160","31880","31180"
"In post","2023","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","G6/G7","Female","75","70","59260","57290"
"In post","2023","Declared disabled","Unknown","G6/G7","Male","85","80","60540","58600"
"In post","2023","Declared disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Female","185","175","38040","37350"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Male","190","175","39860","39040"
"In post","2023","Declared disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Female","45","40","33220","29120"
"In post","2023","Declared disabled","Unknown","Unknown","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","AA/AO","Female","8305","6975","22910","22120"
"In post","2023","Declared disabled","White","AA/AO","Male","5525","5155","24220","22400"
"In post","2023","Declared disabled","White","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","EO","Female","8590","7535","28430","28120"
"In post","2023","Declared disabled","White","EO","Male","4835","4560","29090","28120"
