"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","AA/AO","Female","Heterosexual / straight","145","130","23570","22500"
"In post","2023","Commercial","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","AA/AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","AA/AO","Female","Unknown","60","55","24370","22920"
"In post","2023","Commercial","AA/AO","Male","Heterosexual / straight","90","85","23250","22360"
"In post","2023","Commercial","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","AA/AO","Male","Undeclared","20","15","[c]","[c]"
"In post","2023","Commercial","AA/AO","Male","Unknown","65","60","24060","22920"
"In post","2023","Commercial","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","EO","Female","Heterosexual / straight","310","290","27900","27290"
"In post","2023","Commercial","EO","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Commercial","EO","Female","Undeclared","35","30","28160","27470"
"In post","2023","Commercial","EO","Female","Unknown","80","75","28740","28120"
"In post","2023","Commercial","EO","Male","Heterosexual / straight","205","200","27830","27250"
"In post","2023","Commercial","EO","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Commercial","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","EO","Male","Unknown","55","55","27580","27080"
"In post","2023","Commercial","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","G6/G7","Female","Heterosexual / straight","785","760","62990","61420"
"In post","2023","Commercial","G6/G7","Female","LGBO","40","35","63550","65000"
"In post","2023","Commercial","G6/G7","Female","Undeclared","85","85","60220","58200"
"In post","2023","Commercial","G6/G7","Female","Unknown","180","175","63070","60710"
"In post","2023","Commercial","G6/G7","Male","Heterosexual / straight","785","775","65470","65500"
"In post","2023","Commercial","G6/G7","Male","LGBO","45","45","62190","59990"
"In post","2023","Commercial","G6/G7","Male","Undeclared","90","85","63990","62260"
"In post","2023","Commercial","G6/G7","Male","Unknown","260","255","64880","65500"
"In post","2023","Commercial","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","SCS level","Female","Heterosexual / straight","95","95","105480","99500"
"In post","2023","Commercial","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","SCS level","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","SCS level","Male","Heterosexual / straight","135","130","119070","117800"
"In post","2023","Commercial","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","SCS level","Male","Unknown","30","30","119570","115640"
"In post","2023","Commercial","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","SEO/HEO","Female","Heterosexual / straight","1595","1520","38260","38220"
"In post","2023","Commercial","SEO/HEO","Female","LGBO","65","65","38590","38180"
"In post","2023","Commercial","SEO/HEO","Female","Undeclared","155","145","39670","40520"
"In post","2023","Commercial","SEO/HEO","Female","Unknown","290","280","37160","36970"
"In post","2023","Commercial","SEO/HEO","Male","Heterosexual / straight","1095","1070","39250","38650"
"In post","2023","Commercial","SEO/HEO","Male","LGBO","80","80","38450","38090"
"In post","2023","Commercial","SEO/HEO","Male","Undeclared","125","125","39590","40160"
"In post","2023","Commercial","SEO/HEO","Male","Unknown","255","255","37720","38050"
"In post","2023","Commercial","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","Heterosexual / straight","85","85","40840","42250"
"In post","2023","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","Heterosexual / straight","65","65","46050","43360"
"In post","2023","Commercial","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","Female","Heterosexual / straight","75","65","23050","22500"
"In post","2023","Communications","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Communications","AA/AO","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Communications","AA/AO","Male","Heterosexual / straight","50","50","23470","22490"
"In post","2023","Communications","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Communications","AA/AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Communications","AA/AO","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Communications","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","EO","Female","Heterosexual / straight","210","195","28440","27860"
"In post","2023","Communications","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Communications","EO","Female","Undeclared","30","25","[c]","[c]"
"In post","2023","Communications","EO","Female","Unknown","45","40","29000","29080"
"In post","2023","Communications","EO","Male","Heterosexual / straight","145","140","28660","28420"
"In post","2023","Communications","EO","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Communications","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Communications","EO","Male","Unknown","30","30","28720","28140"
"In post","2023","Communications","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","G6/G7","Female","Heterosexual / straight","470","445","59700","58510"
"In post","2023","Communications","G6/G7","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Communications","G6/G7","Female","Undeclared","35","35","61380","59590"
"In post","2023","Communications","G6/G7","Female","Unknown","135","130","59480","56530"
"In post","2023","Communications","G6/G7","Male","Heterosexual / straight","250","250","60210","58540"
"In post","2023","Communications","G6/G7","Male","LGBO","40","40","60830","60140"
"In post","2023","Communications","G6/G7","Male","Undeclared","35","35","59650","56440"
"In post","2023","Communications","G6/G7","Male","Unknown","70","70","59780","57430"
"In post","2023","Communications","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SCS level","Female","Heterosexual / straight","40","40","86060","81600"
"In post","2023","Communications","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Communications","SCS level","Male","Heterosexual / straight","35","35","92740","87750"
"In post","2023","Communications","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Communications","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SEO/HEO","Female","Heterosexual / straight","935","880","38930","39070"
"In post","2023","Communications","SEO/HEO","Female","LGBO","70","65","39540","39710"
"In post","2023","Communications","SEO/HEO","Female","Undeclared","85","80","39760","40240"
"In post","2023","Communications","SEO/HEO","Female","Unknown","265","255","39230","39260"
"In post","2023","Communications","SEO/HEO","Male","Heterosexual / straight","530","525","39680","39700"
"In post","2023","Communications","SEO/HEO","Male","LGBO","75","75","39510","39000"
"In post","2023","Communications","SEO/HEO","Male","Undeclared","65","65","39340","39690"
"In post","2023","Communications","SEO/HEO","Male","Unknown","210","205","39100","39460"
"In post","2023","Communications","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Communications","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Communications","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Corporate Finance","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
