"Status","Year","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","London","90","90","48960","43650"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","90","85","43030","39420"
"In post","2023","Analysis","Economics","London","1355","1325","51050","54090"
"In post","2023","Analysis","Economics","Outside London","450","440","41000","35000"
"In post","2023","Analysis","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","10","10","47970","39950"
"In post","2023","Analysis","Finance","Outside London","25","25","40840","39520"
"In post","2023","Analysis","Human Resources","London","10","10","58460","55750"
"In post","2023","Analysis","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","45","45","51950","47900"
"In post","2023","Analysis","Intelligence Analysis","Outside London","80","80","36460","32740"
"In post","2023","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","30","25","49190","48800"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","30","30","38120","34530"
"In post","2023","Analysis","Legal","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","140","135","37200","34370"
"In post","2023","Analysis","Operational Delivery","Outside London","625","590","34310","31660"
"In post","2023","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Research","London","320","305","51090","47230"
"In post","2023","Analysis","Operational Research","Outside London","480","455","42280","40590"
"In post","2023","Analysis","Other","London","395","375","57000","47810"
"In post","2023","Analysis","Other","Outside London","195","185","39660","37300"
"In post","2023","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Policy","London","150","145","51100","46290"
"In post","2023","Analysis","Policy","Outside London","105","100","45060","38470"
"In post","2023","Analysis","Project Delivery","London","10","10","[c]","[c]"
"In post","2023","Analysis","Project Delivery","Outside London","15","10","38590","34170"
"In post","2023","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Science and Engineering","Outside London","1335","1290","41950","39890"
"In post","2023","Analysis","Social Research","London","565","545","50370","45960"
"In post","2023","Analysis","Social Research","Outside London","865","825","41220","39300"
"In post","2023","Analysis","Statistics","London","1185","1150","47990","44530"
"In post","2023","Analysis","Statistics","Outside London","1540","1480","42640","39300"
"In post","2023","Analysis","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Tax","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","London","110","110","50470","46250"
"In post","2023","Analysis","Unknown","Outside London","60","55","42530","38960"
"In post","2023","Commercial","Commercial","London","1400","1375","60140","56000"
"In post","2023","Commercial","Commercial","Outside London","4830","4675","44360","40460"
"In post","2023","Commercial","Commercial","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Digital, Data and Technology","London","15","15","53000","56000"
"In post","2023","Commercial","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2023","Commercial","Economics","London","5","5","[c]","[c]"
"In post","2023","Commercial","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Finance","London","10","10","48840","41890"
"In post","2023","Commercial","Finance","Outside London","10","10","41290","39630"
"In post","2023","Commercial","Human Resources","London","30","30","55380","56430"
"In post","2023","Commercial","Human Resources","Outside London","25","20","43910","41050"
"In post","2023","Commercial","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Operational Delivery","London","235","230","52110","46510"
"In post","2023","Commercial","Operational Delivery","Outside London","135","125","37750","35000"
"In post","2023","Commercial","Other","London","15","15","41700","37540"
"In post","2023","Commercial","Other","Outside London","160","150","40780","38300"
"In post","2023","Commercial","Policy","London","15","15","49180","42780"
"In post","2023","Commercial","Policy","Outside London","45","40","51540","52790"
"In post","2023","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Project Delivery","London","15","15","46770","42670"
"In post","2023","Commercial","Project Delivery","Outside London","65","65","38530","34170"
"In post","2023","Commercial","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Science and Engineering","Outside London","20","20","31610","30320"
